# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
3.437746770784939621e-01 4.195739999999999886e-02 1.501369999999999962e-02 5.697109999999999674e-02 3.748247623052157030e-07 3.210775355135044786e-07 6.005354760100205525e+00 5.144229251020420612e+00 8.604745327967808156e-08
3.565070725258456252e-01 4.844910000000000189e-02 1.507750000000000062e-02 6.352660000000000251e-02 4.179547655751515514e-07 3.218962022171731373e-07 6.696373594734553514e+00 5.157345737656937601e+00 9.014075122520245923e-08
3.692394679731971774e-01 5.431710000000000010e-02 1.684070000000000011e-02 7.115779999999999328e-02 4.681620237482175122e-07 3.224397653282069651e-07 7.500782553755471760e+00 5.166054578812965481e+00 9.424272139507228601e-08
3.819718634205487851e-01 5.888709999999999778e-02 2.015199999999999977e-02 7.903910000000000102e-02 5.200147420414591975e-07 3.228027337910036961e-07 8.331554690343633496e+00 5.171869974712683948e+00 9.835046272418389326e-08
3.947042588679004482e-01 6.169870000000000215e-02 2.442230000000000095e-02 8.612100000000000311e-02 5.666080408222324049e-07 3.230580626912820046e-07 9.078061636418988556e+00 5.175960794692791467e+00 1.024621402565608794e-07
4.074366543152521114e-01 6.250050000000000050e-02 2.878599999999999909e-02 9.128649999999999265e-02 6.005929438640832325e-07 3.232729044379312355e-07 9.622559812043078864e+00 5.179402938957683666e+00 1.065768109882400771e-07
4.201690497626037191e-01 6.123579999999999995e-02 3.233409999999999757e-02 9.356989999999999752e-02 6.156159092315718056e-07 3.235295241604425520e-07 9.863254252894892105e+00 5.183514440189995298e+00 1.106944831368510272e-07
4.329014452099553822e-01 5.803969999999999962e-02 3.435540000000000121e-02 9.239510000000000778e-02 6.078866547366408485e-07 3.239393440030682481e-07 9.739417943394713006e+00 5.190080477950039572e+00 1.148163979715045428e-07
4.456338406573069344e-01 5.324969999999999704e-02 3.452299999999999813e-02 8.777269999999999517e-02 5.774749199925401300e-07 3.246399284572187805e-07 9.252168235330671564e+00 5.201305078375876079e+00 1.189453818594645087e-07
4.583662361046585421e-01 4.740840000000000332e-02 3.297830000000000206e-02 8.038670000000000537e-02 5.288808838165436078e-07 3.257710881191220162e-07 8.473605942201348995e+00 5.219428254172123083e+00 1.230860269926464701e-07
4.710986315520102052e-01 4.123360000000000219e-02 3.029190000000000008e-02 7.152550000000000574e-02 4.705811988229419279e-07 3.193571916727837085e-07 7.539542011538258315e+00 5.116666303979934050e+00 1.271930411789365929e-07
4.838310269993618684e-01 3.553549999999999764e-02 2.731259999999999938e-02 6.284809999999999008e-02 4.134907724062625449e-07 3.143246714653966693e-07 6.624852539239258320e+00 5.036036441115850693e+00 1.312271852135815253e-07
4.965634224467134761e-01 3.108570000000000083e-02 2.494209999999999830e-02 5.602780000000000260e-02 3.686185946468325906e-07 3.109603142817812336e-07 5.905920992010726955e+00 4.982133496435663389e+00 1.352078730664938777e-07
5.092958178940650837e-01 2.846610000000000112e-02 2.389430000000000026e-02 5.236040000000000139e-02 3.444900043040421564e-07 3.092152486470128197e-07 5.519338355424957321e+00 4.954174462587440431e+00 1.391560333234905310e-07
5.220282133414166914e-01 2.794380000000000128e-02 2.450240000000000057e-02 5.244619999999999838e-02 3.450545004188404824e-07 3.087177121980854702e-07 5.528382580276094416e+00 4.946203049857093248e+00 1.430899167322068374e-07
5.347606087887682991e-01 2.941229999999999886e-02 2.662679999999999908e-02 5.603909999999999447e-02 3.686929397062407406e-07 3.088637002080493467e-07 5.907112131181097681e+00 4.948542035641176007e+00 1.470215621140512697e-07
5.474930042361200178e-01 3.242479999999999668e-02 2.969060000000000102e-02 6.211540000000000117e-02 4.086701861205663048e-07 3.089601903282793543e-07 6.547618232148024298e+00 4.950087977801620021e+00 1.509547511596161996e-07
