#Distance(A)    Macroscopic-Average    Planar-Average
 15.3823            -5.73637            -5.06613
 15.4345            -5.74842            -5.87290
 15.4866            -5.76012            -6.79370
 15.5388            -5.77118            -7.85172
 15.5909            -5.78135            -9.04086
 15.6431            -5.79043           -10.32110
 15.6952            -5.79822           -11.62072
 15.7473            -5.80457           -12.85097
 15.7995            -5.80937           -13.92219
 15.8516            -5.81253           -14.76155
 15.9038            -5.81402           -15.32620
 15.9559            -5.81380           -15.61007
 16.0081            -5.81191           -15.64129
 16.0602            -5.80838           -15.47319
 16.1124            -5.80329           -15.16796
 16.1645            -5.79672           -14.77780
 16.2166            -5.78880           -14.32197
 16.2688            -5.77966           -13.77657
 16.3209            -5.76945           -13.07693
 16.3731            -5.75831           -12.17008
 16.4252            -5.74637           -11.09912
 16.4774            -5.73379            -9.89235
 16.5295            -5.72066            -8.57564
 16.5816            -5.70713            -7.18183
 16.6338            -5.69329            -5.74917
 16.6859            -5.67927            -4.31783
 16.7381            -5.66520            -2.93022
 16.7902            -5.65123            -1.62564
 16.8424            -5.63755            -0.44108
 16.8945            -5.62436             0.59302
 16.9466            -5.61190             1.44829
 16.9988            -5.60040             2.11248
 17.0509            -5.59012             2.59920
 17.1031            -5.58127             2.94464
 17.1552            -5.57407             3.19103
 17.2074            -5.56868             3.37365
 17.2595            -5.56521             3.44957
 17.3117            -5.56374             3.43155
 17.3638            -5.56430             3.29311
 17.4159            -5.56688             2.95297
 17.4681            -5.57140             2.37576
 17.5202            -5.57778             1.57086
 17.5724            -5.58588             0.59588
 17.6245            -5.59552            -0.47000
 17.6767            -5.60653            -1.54060
 17.7288            -5.61867            -2.51525
 17.7809            -5.63171            -3.35427
 17.8331            -5.64536            -4.10366
 17.8852            -5.65934            -4.82918
 17.9374            -5.67336            -5.60998
 17.9895            -5.68712            -6.50141
 18.0417            -5.70035            -7.53221
 18.0938            -5.71278            -8.69869
 18.1459            -5.72418            -9.96585
 18.1981            -5.73435           -11.26435
 18.2502            -5.74311           -12.50794
 18.3024            -5.75034           -13.60577
 18.3545            -5.75592           -14.48376
 18.4067            -5.75980           -15.09484
 18.4588            -5.76194           -15.42978
 18.5110            -5.76233           -15.51234
 18.5631            -5.76100           -15.39383
 18.6152            -5.75801           -15.13475
 18.6674            -5.75344           -14.78847
 18.7195            -5.74738           -14.37659
 18.7717            -5.73997           -13.87849
 18.8238            -5.73133           -13.23188
 18.8760            -5.72161           -12.37812
 18.9281            -5.71094           -11.35105
 18.9802            -5.69943           -10.18295
 19.0324            -5.68721            -8.89594
 19.0845            -5.67438            -7.52343
 19.1367            -5.66106            -6.10098
 19.1888            -5.64736            -4.66988
