# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.5332397400e+00 2.0056104000e+01 9.7813694200e-01 1.0153538264e+08 1.4827500709e+07 1.9752822591e-07 3.0411719269e-08
3.5650707300e+00 2.0222185100e+01 1.0218371700e+00 1.0269228898e+08 1.4976429309e+07 1.9692019042e-07 3.0393423568e-08
3.5969017100e+00 2.0385637600e+01 1.0699857700e+00 1.0408380180e+08 1.5131337223e+07 1.9585792647e-07 3.0272079037e-08
3.6287327000e+00 2.0546107700e+01 1.1223047200e+00 1.0567230663e+08 1.5284663691e+07 1.9443228180e-07 3.0061699105e-08
3.6605636900e+00 2.0703266700e+01 1.1784654500e+00 1.0744525697e+08 1.5422115351e+07 1.9268665070e-07 2.9752635894e-08
3.6923946800e+00 2.0856811500e+01 1.2381393900e+00 1.0935871764e+08 1.5527689297e+07 1.9071923986e-07 2.9351447613e-08
3.7242256700e+00 2.1006375400e+01 1.3010358700e+00 1.1139107397e+08 1.5577243419e+07 1.8858221445e-07 2.8842598740e-08
3.7560566600e+00 2.1151655300e+01 1.3667505000e+00 1.1350539573e+08 1.5554805563e+07 1.8634933753e-07 2.8233827836e-08
3.7878876500e+00 2.1292246700e+01 1.4349547000e+00 1.1568442438e+08 1.5433988076e+07 1.8405456754e-07 2.7510650877e-08
3.8197186300e+00 2.1427934800e+01 1.5052567100e+00 1.1790840845e+08 1.5207509668e+07 1.8173372944e-07 2.6690643547e-08
3.8515496200e+00 2.1558315100e+01 1.5773279600e+00 1.2017562512e+08 1.4855327985e+07 1.7939008079e-07 2.5768250310e-08
3.8833806100e+00 2.1683097100e+01 1.6507261500e+00 1.2248805620e+08 1.4383534561e+07 1.7702213402e-07 2.4773657442e-08
3.9152116000e+00 2.1801990000e+01 1.7251100500e+00 1.2486640855e+08 1.3785496731e+07 1.7460252324e-07 2.3716113312e-08
3.9470425900e+00 2.1914690600e+01 1.8000500000e+00 1.2733102504e+08 1.3081271177e+07 1.7210801997e-07 2.2638033272e-08
3.9788735800e+00 2.2020857600e+01 1.8751795100e+00 1.2992609748e+08 1.2281703006e+07 1.6948756276e-07 2.1563545474e-08
4.0107045700e+00 2.2120263600e+01 1.9501194600e+00 1.3268161463e+08 1.1417902038e+07 1.6671687077e-07 2.0539089719e-08
4.0425355500e+00 2.2212618000e+01 2.0244275300e+00 1.3565921695e+08 1.0517009797e+07 1.6373836220e-07 1.9591490590e-08
4.0743665400e+00 2.2297617300e+01 2.0977751700e+00 1.3888692217e+08 9.6147682054e+06 1.6054511794e-07 1.8752601987e-08
4.1061975300e+00 2.2375072100e+01 2.1697706000e+00 1.4243211417e+08 8.7483726459e+06 1.5709288758e-07 1.8032376297e-08
4.1380285200e+00 2.2444666400e+01 2.2400220600e+00 1.4630928568e+08 7.9482647936e+06 1.5340561807e-07 1.7431394454e-08
4.1698595100e+00 2.2506248600e+01 2.3082009800e+00 1.5057847535e+08 7.2513159850e+06 1.4946524427e-07 1.6934635251e-08
4.2016905000e+00 2.2559528000e+01 2.3738903400e+00 1.5522960514e+08 6.6722773373e+06 1.4533006111e-07 1.6519406616e-08
4.2335214900e+00 2.2604353000e+01 2.4368120900e+00 1.6030151073e+08 6.2367048580e+06 1.4101147829e-07 1.6161123138e-08
4.2653524700e+00 2.2640508700e+01 2.4965997600e+00 1.6575453081e+08 5.9402351644e+06 1.3659058723e-07 1.5837502221e-08
4.2971834600e+00 2.2667805500e+01 2.5529626900e+00 1.7159438804e+08 5.7937392689e+06 1.3210108884e-07 1.5532088287e-08
4.3290144500e+00 2.2686104500e+01 2.6056102200e+00 1.7775215723e+08 5.7777062357e+06 1.2762773096e-07 1.5234376450e-08
4.3608454400e+00 2.2695254000e+01 2.6542390400e+00 1.8419343657e+08 5.8855400745e+06 1.2321423837e-07 1.4938220551e-08
4.3926764300e+00 2.2695140300e+01 2.6985837800e+00 1.9082602716e+08 6.0829664140e+06 1.1893105274e-07 1.4640955438e-08
4.4245074200e+00 2.2685624300e+01 2.7384295900e+00 1.9757535136e+08 6.3399867802e+06 1.1482011366e-07 1.4341539986e-08
4.4563384100e+00 2.2666617600e+01 2.7735363700e+00 2.0433796273e+08 6.6107028406e+06 1.1092709988e-07 1.4039680959e-08
4.4881694000e+00 2.2638044400e+01 2.8037019100e+00 2.1100568474e+08 6.8490037012e+06 1.0728641945e-07 1.3736090399e-08
4.5200003800e+00 2.2599841400e+01 2.8287619300e+00 2.1748131116e+08 7.0159332924e+06 1.0391624586e-07 1.3431979902e-08
4.5518313700e+00 2.2551945600e+01 2.8485521400e+00 2.2363743064e+08 7.0716909660e+06 1.0084155204e-07 1.3130443848e-08
4.5836623600e+00 2.2494369400e+01 2.8629335300e+00 2.2940116211e+08 7.0098332774e+06 9.8056911276e-08 1.2834686773e-08
4.6154933500e+00 2.2427062500e+01 2.8718302800e+00 2.3464620228e+08 6.8307995485e+06 9.5578203620e-08 1.2551266712e-08
4.6473243400e+00 2.2350087900e+01 2.8751286500e+00 2.3933968525e+08 6.5855297525e+06 9.3382290014e-08 1.2284475219e-08
4.6791553300e+00 2.2263433100e+01 2.8727907300e+00 2.4337841509e+08 6.3560920149e+06 9.1476613041e-08 1.2043136085e-08
4.7109863200e+00 2.2167161100e+01 2.8647533200e+00 2.4677986548e+08 6.2556484870e+06 8.9825647068e-08 1.1829745143e-08
4.7428173000e+00 2.2061335300e+01 2.8510543500e+00 2.4948132898e+08 6.4207267082e+06 8.8428803029e-08 1.1652335099e-08
4.7746482900e+00 2.1946069300e+01 2.8316811700e+00 2.5155145990e+08 6.8942709047e+06 8.7242861993e-08 1.1508007343e-08
