# freq_w_over_2pi_THz  kappa_x_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
4.13802852e+00 7.44336022e-01 4.22227455e-01 2.11113728e-01
4.16985951e+00 7.36190280e-01 4.14731047e-01 2.07365524e-01
4.20169050e+00 7.28383177e-01 4.07652131e-01 2.03826066e-01
4.23352149e+00 7.20891457e-01 4.00958122e-01 2.00479061e-01
4.26535247e+00 7.13691807e-01 3.94613676e-01 1.97306838e-01
4.29718346e+00 7.06761883e-01 3.88587149e-01 1.94293574e-01
4.32901445e+00 7.00080601e-01 3.82844698e-01 1.91422349e-01
4.36084544e+00 6.93623002e-01 3.77358755e-01 1.88679377e-01
4.39267643e+00 6.87369939e-01 3.72103523e-01 1.86051762e-01
4.42450742e+00 6.81297402e-01 3.67055808e-01 1.83527904e-01
4.45633841e+00 6.75383907e-01 3.62193970e-01 1.81096985e-01
4.48816940e+00 6.69607971e-01 3.57501974e-01 1.78750987e-01
4.52000038e+00 6.63951584e-01 3.52960700e-01 1.76480350e-01
4.55183137e+00 6.58393833e-01 3.48561338e-01 1.74280669e-01
4.58366236e+00 6.52914560e-01 3.44291612e-01 1.72145806e-01
4.61549335e+00 6.47495315e-01 3.40146470e-01 1.70073235e-01
4.64732434e+00 6.42117963e-01 3.36117014e-01 1.68058507e-01
4.67915533e+00 6.36769171e-01 3.32201754e-01 1.66100877e-01
4.71098632e+00 6.31430300e-01 3.28401078e-01 1.64200539e-01
4.74281730e+00 6.26086248e-01 3.24711164e-01 1.62355582e-01
4.77464829e+00 6.20723681e-01 3.21136404e-01 1.60568202e-01
4.80647928e+00 6.15329522e-01 3.17678183e-01 1.58839092e-01
4.83831027e+00 6.09891131e-01 3.14339490e-01 1.57169745e-01
4.87014126e+00 6.04398336e-01 3.11120886e-01 1.55560443e-01
4.90197225e+00 5.98841659e-01 3.08028264e-01 1.54014132e-01
4.93380324e+00 5.93210168e-01 3.05063412e-01 1.52531706e-01
4.96563422e+00 5.87497545e-01 3.02230573e-01 1.51115287e-01
4.99746521e+00 5.81697471e-01 2.99531424e-01 1.49765712e-01
5.02929620e+00 5.75803817e-01 2.96965830e-01 1.48482915e-01
5.06112719e+00 5.69811906e-01 2.94536481e-01 1.47268240e-01
5.09295818e+00 5.63716496e-01 2.92239136e-01 1.46119568e-01
5.12478917e+00 5.57517332e-01 2.90074983e-01 1.45037491e-01
5.15662016e+00 5.51211065e-01 2.88037474e-01 1.44018737e-01
5.18845114e+00 5.44797255e-01 2.86122205e-01 1.43061102e-01
5.22028213e+00 5.38276784e-01 2.84322763e-01 1.42161382e-01
5.25211312e+00 5.31649723e-01 2.82629326e-01 1.41314663e-01
5.28394411e+00 5.24918144e-01 2.81034634e-01 1.40517317e-01
5.31577510e+00 5.18085472e-01 2.79524362e-01 1.39762181e-01
5.34760609e+00 5.11153609e-01 2.78087868e-01 1.39043934e-01
5.37943708e+00 5.04128621e-01 2.76710465e-01 1.38355233e-01
5.41126807e+00 4.97014393e-01 2.75375402e-01 1.37687701e-01
5.44309905e+00 4.89816379e-01 2.74068559e-01 1.37034279e-01
5.47493004e+00 4.82541419e-01 2.72773596e-01 1.36386798e-01
5.50676103e+00 4.75194268e-01 2.71470702e-01 1.35735351e-01
5.53859202e+00 4.67784211e-01 2.70144778e-01 1.35072389e-01
5.57042301e+00 4.60318044e-01 2.68776820e-01 1.34388410e-01
5.60225400e+00 4.52802761e-01 2.67347818e-01 1.33673909e-01
5.63408499e+00 4.45247814e-01 2.65842242e-01 1.32921121e-01
5.66591597e+00 4.37661182e-01 2.64242793e-01 1.32121396e-01
5.69774696e+00 4.30052376e-01 2.62532796e-01 1.31266398e-01
5.72957795e+00 4.22429676e-01 2.60697546e-01 1.30348773e-01
5.76140894e+00 4.14801522e-01 2.58721434e-01 1.29360717e-01
5.79323993e+00 4.07179586e-01 2.56593281e-01 1.28296640e-01
5.82507092e+00 3.99570956e-01 2.54300576e-01 1.27150288e-01
5.85690191e+00 3.91984566e-01 2.51833738e-01 1.25916869e-01
5.88873289e+00 3.84431861e-01 2.49185451e-01 1.24592725e-01
5.92056388e+00 3.76920205e-01 2.46349410e-01 1.23174705e-01
5.95239487e+00 3.69459339e-01 2.43321179e-01 1.21660589e-01
5.98422586e+00 3.62057964e-01 2.40100402e-01 1.20050201e-01
6.01605685e+00 3.54724837e-01 2.36687426e-01 1.18343713e-01
6.04788784e+00 3.47469311e-01 2.33087743e-01 1.16543872e-01
6.07971883e+00 3.40298518e-01 2.29305522e-01 1.14652761e-01
6.11154981e+00 3.33220509e-01 2.25350986e-01 1.12675493e-01
6.14338080e+00 3.26243644e-01 2.21237080e-01 1.10618540e-01
6.17521179e+00 3.19375644e-01 2.16980880e-01 1.08490440e-01
6.20704278e+00 3.12622215e-01 2.12598807e-01 1.06299403e-01
6.23887377e+00 3.05991117e-01 2.08116301e-01 1.04058151e-01
6.27070476e+00 2.99488831e-01 2.03558757e-01 1.01779378e-01
6.30253575e+00 2.93120673e-01 1.98956496e-01 9.94782481e-02
6.33436674e+00 2.86892513e-01 1.94343720e-01 9.71718598e-02
6.36619772e+00 2.80809152e-01 1.89758049e-01 9.48790243e-02
6.39802871e+00 2.74875816e-01 1.85240492e-01 9.26202458e-02
6.42985970e+00 2.69096720e-01 1.80836577e-01 9.04182886e-02
6.46169069e+00 2.63475213e-01 1.76593553e-01 8.82967765e-02
6.49352168e+00 2.58015907e-01 1.72562413e-01 8.62812065e-02
6.52535267e+00 2.52721014e-01 1.68793999e-01 8.43969996e-02
6.55718366e+00 2.47593378e-01 1.65340648e-01 8.26703242e-02
6.58901464e+00 2.42635260e-01 1.62253007e-01 8.11265033e-02
6.62084563e+00 2.37848682e-01 1.59579298e-01 7.97896492e-02
6.65267662e+00 2.33235048e-01 1.57361900e-01 7.86809500e-02
6.68450761e+00 2.28795387e-01 1.55637018e-01 7.78185089e-02
6.71633860e+00 2.24530419e-01 1.54431515e-01 7.72157574e-02
6.74816959e+00 2.20440985e-01 1.53761938e-01 7.68809692e-02
6.78000058e+00 2.16526055e-01 1.53632096e-01 7.68160479e-02
6.81183156e+00 2.12786217e-01 1.54034930e-01 7.70174651e-02
6.84366255e+00 2.09221078e-01 1.54950844e-01 7.74754222e-02
6.87549354e+00 2.05828870e-01 1.56347759e-01 7.81738796e-02
6.90732453e+00 2.02608651e-01 1.58185150e-01 7.90925748e-02
6.93915552e+00 1.99558488e-01 1.60413854e-01 8.02069271e-02
6.97098651e+00 1.96677881e-01 1.62980479e-01 8.14902396e-02
7.00281750e+00 1.93963109e-01 1.65824896e-01 8.29124482e-02
7.03464848e+00 1.91413375e-01 1.68888212e-01 8.44441059e-02
7.06647947e+00 1.89025558e-01 1.72108881e-01 8.60544403e-02
7.09831046e+00 1.86796644e-01 1.75426830e-01 8.77134149e-02
7.13014145e+00 1.84724574e-01 1.78784492e-01 8.93922461e-02
7.16197244e+00 1.82805327e-01 1.82125708e-01 9.10628538e-02
7.19380343e+00 1.81037414e-01 1.85399928e-01 9.26999641e-02
7.22563442e+00 1.79415337e-01 1.88555859e-01 9.42779297e-02
7.25746540e+00 1.77937959e-01 1.91550859e-01 9.57754295e-02
7.28929639e+00 1.76599339e-01 1.94340049e-01 9.71700247e-02
7.32112738e+00 1.75397267e-01 1.96887950e-01 9.84439752e-02
7.35295837e+00 1.74328204e-01 1.99159451e-01 9.95797255e-02
7.38478936e+00 1.73387284e-01 2.01122345e-01 1.00561173e-01
7.41662035e+00 1.72571348e-01 2.02750064e-01 1.01375032e-01
7.44845134e+00 1.71876606e-01 2.04018570e-01 1.02009285e-01
7.48028233e+00 1.71297812e-01 2.04904497e-01 1.02452248e-01
7.51211331e+00 1.70832565e-01 2.05392010e-01 1.02696005e-01
7.54394430e+00 1.70475431e-01 2.05463810e-01 1.02731905e-01
7.57577529e+00 1.70223378e-01 2.05109218e-01 1.02554609e-01
7.60760628e+00 1.70071096e-01 2.04316338e-01 1.02158169e-01
7.63943727e+00 1.70015934e-01 2.03080128e-01 1.01540064e-01
7.67126826e+00 1.70051951e-01 2.01393270e-01 1.00696635e-01
7.70309925e+00 1.70176493e-01 1.99255897e-01 9.96279487e-02
7.73493023e+00 1.70384378e-01 1.96666288e-01 9.83331438e-02
7.76676122e+00 1.70672322e-01 1.93628142e-01 9.68140709e-02
