# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
3.9597749841e+00 2.5185207882e+02
3.9725073796e+00 2.5401997175e+02
3.9852397750e+00 2.5617812102e+02
3.9979721705e+00 2.5832595247e+02
4.0107045659e+00 2.6046294479e+02
4.0234369614e+00 2.6258863149e+02
4.0361693568e+00 2.6470260241e+02
4.0489017523e+00 2.6680450484e+02
4.0616341477e+00 2.6889404419e+02
4.0743665432e+00 2.7097098421e+02
4.0870989386e+00 2.7303514672e+02
4.0998313340e+00 2.7508641089e+02
4.1125637295e+00 2.7712471214e+02
4.1252961249e+00 2.7915004046e+02
4.1380285204e+00 2.8116243837e+02
4.1507609158e+00 2.8316199855e+02
4.1634933113e+00 2.8514886096e+02
4.1762257067e+00 2.8712320969e+02
4.1889581022e+00 2.8908526947e+02
4.2016904976e+00 2.9103530189e+02
4.2144228931e+00 2.9297360148e+02
4.2271552885e+00 2.9490049150e+02
4.2398876840e+00 2.9681631965e+02
4.2526200794e+00 2.9872145370e+02
4.2653524749e+00 3.0061627707e+02
4.2780848703e+00 3.0250118442e+02
4.2908172658e+00 3.0437657736e+02
4.3035496612e+00 3.0624286019e+02
4.3162820567e+00 3.0810043592e+02
4.3290144521e+00 3.0994970235e+02
4.3417468475e+00 3.1179104852e+02
4.3544792430e+00 3.1362485143e+02
4.3672116384e+00 3.1545147307e+02
4.3799440339e+00 3.1727125777e+02
4.3926764293e+00 3.1908452993e+02
4.4054088248e+00 3.2089159227e+02
4.4181412202e+00 3.2269272426e+02
4.4308736157e+00 3.2448818110e+02
4.4436060111e+00 3.2627819319e+02
4.4563384066e+00 3.2806296589e+02
4.4690708020e+00 3.2984267969e+02
4.4818031975e+00 3.3161749087e+02
4.4945355929e+00 3.3338753237e+02
4.5072679884e+00 3.3515291512e+02
4.5200003838e+00 3.3691372970e+02
4.5327327793e+00 3.3867004823e+02
4.5454651747e+00 3.4042192649e+02
4.5581975702e+00 3.4216940633e+02
4.5709299656e+00 3.4391251824e+02
4.5836623610e+00 3.4565128388e+02
4.5963947565e+00 3.4738571896e+02
4.6091271519e+00 3.4911583599e+02
4.6218595474e+00 3.5084164708e+02
4.6345919428e+00 3.5256316670e+02
4.6473243383e+00 3.5428041440e+02
4.6600567337e+00 3.5599341734e+02
4.6727891292e+00 3.5770221272e+02
4.6855215246e+00 3.5940685004e+02
4.6982539201e+00 3.6110739323e+02
4.7109863155e+00 3.6280392237e+02
4.7237187110e+00 3.6449653528e+02
4.7364511064e+00 3.6618534888e+02
4.7491835019e+00 3.6787050025e+02
4.7619158973e+00 3.6955214739e+02
4.7746482928e+00 3.7123046978e+02
4.7873806882e+00 3.7290566858e+02
4.8001130837e+00 3.7457796662e+02
4.8128454791e+00 3.7624760817e+02
4.8255778745e+00 3.7791485839e+02
4.8383102700e+00 3.7958000266e+02
4.8510426654e+00 3.8124334569e+02
4.8637750609e+00 3.8290521038e+02
4.8765074563e+00 3.8456593667e+02
4.8892398518e+00 3.8622588017e+02
4.9019722472e+00 3.8788541072e+02
4.9147046427e+00 3.8954491093e+02
4.9274370381e+00 3.9120477465e+02
4.9401694336e+00 3.9286540541e+02
4.9529018290e+00 3.9452721488e+02
4.9656342245e+00 3.9619062142e+02
4.9783666199e+00 3.9785604864e+02
4.9910990154e+00 3.9952392402e+02
5.0038314108e+00 4.0119467772e+02
5.0165638063e+00 4.0286874138e+02
5.0292962017e+00 4.0454654710e+02
5.0420285972e+00 4.0622852652e+02
5.0547609926e+00 4.0791511009e+02
5.0674933880e+00 4.0960672639e+02
5.0802257835e+00 4.1130380160e+02
5.0929581789e+00 4.1300675908e+02
