# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
6.6208456326e-01 2.4930979405e-07 3.9898381739e-07 4.1392808397e-07 3.1042608795e-07 1.3125293503e-07 2.3100255716e-07 2.7837236839e-07 4.3692943983e-07
6.7481695871e-01 2.7694274067e-07 4.1178269256e-07 4.2980154178e-07 3.1900322550e-07 1.2323740302e-07 2.4420199381e-07 2.8322514265e-07 4.4378580217e-07
6.8754935416e-01 3.0547460905e-07 4.2439399663e-07 4.4595103612e-07 3.2734761843e-07 1.1534030934e-07 2.5852941434e-07 2.8838172240e-07 4.5079575601e-07
7.0028174960e-01 3.3482600206e-07 4.3676686287e-07 4.6237385187e-07 3.3548100163e-07 1.0767619998e-07 2.7401634242e-07 2.9387997063e-07 4.5805857393e-07
7.1301414505e-01 3.6491295949e-07 4.4885472577e-07 4.7906455881e-07 3.4343778872e-07 1.0036425469e-07 2.9068769760e-07 2.9976135634e-07 4.6567259193e-07
7.2574654050e-01 3.9564422024e-07 4.6061101983e-07 4.9601591663e-07 3.5125601578e-07 9.3527174827e-08 3.0856294003e-07 3.0606554553e-07 4.7373895565e-07
7.3847893595e-01 4.2692761060e-07 4.7199581841e-07 5.1321977999e-07 3.5898277511e-07 8.7290534686e-08 3.2765774348e-07 3.1282949970e-07 4.8235881072e-07
7.5121133139e-01 4.5866548122e-07 4.8297265453e-07 5.3066528845e-07 3.6667240398e-07 8.1781854725e-08 3.4798064929e-07 3.2009288485e-07 4.9163142970e-07
7.6394372684e-01 4.9075561965e-07 4.9350767939e-07 5.4833796139e-07 3.7438105088e-07 7.7129026104e-08 3.6953755713e-07 3.2789176096e-07 5.0165233900e-07
7.7667612229e-01 5.2309490087e-07 5.0357611413e-07 5.6622331821e-07 3.8217663742e-07 7.3459198581e-08 3.9232529703e-07 3.3626399106e-07 5.1251238240e-07
7.8940851774e-01 5.5558019985e-07 5.1315654612e-07 5.8430325815e-07 3.9012980202e-07 7.0898196670e-08 4.1633788125e-07 3.4524473362e-07 5.2429865750e-07
8.0214091318e-01 5.8810839153e-07 5.2223494960e-07 6.0255606032e-07 3.9831571125e-07 6.9568758811e-08 4.4156386266e-07 3.5486788505e-07 5.3708983313e-07
8.1487330863e-01 6.2057817612e-07 5.3080281560e-07 6.2096000379e-07 4.0681405977e-07 6.9589656967e-08 4.6798563025e-07 3.6516959549e-07 5.5095614932e-07
8.2760570408e-01 6.5288916640e-07 5.3886201424e-07 6.3949065256e-07 4.1571088158e-07 7.1073843128e-08 4.9558205084e-07 3.7618276970e-07 5.6595941727e-07
8.4033809953e-01 6.8494371301e-07 5.4641909086e-07 6.5812176052e-07 4.2508949381e-07 7.4129237042e-08 5.2432494685e-07 3.8794067303e-07 5.8215020980e-07
8.5307049497e-01 7.1665420530e-07 5.5348900627e-07 6.7682346143e-07 4.3504408108e-07 7.8854908019e-08 5.5418437959e-07 4.0047467766e-07 5.9957067092e-07
8.6580289042e-01 7.4793303261e-07 5.6009607177e-07 6.9556769911e-07 4.4566339424e-07 8.5341399292e-08 5.8512512710e-07 4.1381678686e-07 6.1824702357e-07
8.7853528587e-01 7.7870079779e-07 5.6626927393e-07 7.1432189221e-07 4.5703890103e-07 9.3670820694e-08 6.1710756463e-07 4.2799936447e-07 6.3819706189e-07
8.9126768131e-01 8.0888996764e-07 5.7204881990e-07 7.3305526944e-07 4.6926659728e-07 1.0391462446e-07 6.5009030637e-07 4.4305297133e-07 6.5942172241e-07
9.0400007676e-01 8.3843483417e-07 5.7748146222e-07 7.5173524944e-07 4.8243613950e-07 1.1613193707e-07 6.8402580264e-07 4.5900925010e-07 6.8191444939e-07
