# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
1.7825353626e+00 5.0527390027e+01 2.7497509178e+00
1.7952677581e+00 5.1269999817e+01 2.7807885000e+00
1.8080001535e+00 5.2009391592e+01 2.8100013932e+00
1.8207325490e+00 5.2744885841e+01 2.8369050844e+00
1.8334649444e+00 5.3475899025e+01 2.8609992776e+00
1.8461973399e+00 5.4201492730e+01 2.8818073466e+00
1.8589297353e+00 5.4921009106e+01 2.8988517628e+00
1.8716621308e+00 5.5633578550e+01 2.9117108361e+00
1.8843945262e+00 5.6338304902e+01 2.9199848683e+00
1.8971269217e+00 5.7034366963e+01 2.9233228212e+00
1.9098593171e+00 5.7720756369e+01 2.9214753342e+00
1.9225917126e+00 5.8396508871e+01 2.9142763618e+00
1.9353241080e+00 5.9060696414e+01 2.9016003802e+00
1.9480565034e+00 5.9712294794e+01 2.8835085985e+00
1.9607888989e+00 6.0350332681e+01 2.8601271109e+00
1.9735212943e+00 6.0973798853e+01 2.8317414132e+00
1.9862536898e+00 6.1581711811e+01 2.7987491622e+00
1.9989860852e+00 6.2173136107e+01 2.7617187877e+00
2.0117184807e+00 6.2747125209e+01 2.7213265439e+00
2.0244508761e+00 6.3302734604e+01 2.6784432178e+00
2.0371832716e+00 6.3839187422e+01 2.6340628185e+00
2.0499156670e+00 6.4355759469e+01 2.5893151765e+00
2.0626480625e+00 6.4851587854e+01 2.5454518794e+00
2.0753804579e+00 6.5326180095e+01 2.5037970272e+00
2.0881128534e+00 6.5778861686e+01 2.4658136469e+00
2.1008452488e+00 6.6209251163e+01 2.4328575974e+00
2.1135776443e+00 6.6616914191e+01 2.4062410659e+00
2.1263100397e+00 6.7001692435e+01 2.3871857647e+00
2.1390424352e+00 6.7363373541e+01 2.3766899671e+00
2.1517748306e+00 6.7701908219e+01 2.3754353437e+00
2.1645072260e+00 6.8017487254e+01 2.3837803316e+00
2.1772396215e+00 6.8310319968e+01 2.4017504845e+00
2.1899720169e+00 6.8580668008e+01 2.4289383546e+00
2.2027044124e+00 6.8829070222e+01 2.4646649841e+00
2.2154368078e+00 6.9056081628e+01 2.5079245744e+00
2.2281692033e+00 6.9262456672e+01 2.5574936685e+00
2.2409015987e+00 6.9449041973e+01 2.6120024179e+00
2.2536339942e+00 6.9616719882e+01 2.6700307570e+00
2.2663663896e+00 6.9766645998e+01 2.7300465473e+00
2.2790987851e+00 6.9899931403e+01 2.7906854872e+00
2.2918311805e+00 7.0017765751e+01 2.8505344333e+00
2.3045635760e+00 7.0121636655e+01 2.9083676420e+00
2.3172959714e+00 7.0212846123e+01 2.9630267986e+00
2.3300283669e+00 7.0292887768e+01 3.0135268018e+00
2.3427607623e+00 7.0363356777e+01 3.0589518522e+00
2.3554931578e+00 7.0425702186e+01 3.0986146518e+00
2.3682255532e+00 7.0481694585e+01 3.1319475182e+00
2.3809579487e+00 7.0532907487e+01 3.1584740702e+00
2.3936903441e+00 7.0581036900e+01 3.1778937056e+00
2.4064227395e+00 7.0627694479e+01 3.1900170131e+00
2.4191551350e+00 7.0674547704e+01 3.1947983914e+00
2.4318875304e+00 7.0723222309e+01 3.1922743984e+00
2.4446199259e+00 7.0775366510e+01 3.1826258162e+00
2.4573523213e+00 7.0832592040e+01 3.1661033364e+00
2.4700847168e+00 7.0896380470e+01 3.1430458463e+00
2.4828171122e+00 7.0968196321e+01 3.1138478855e+00
2.4955495077e+00 7.1049616867e+01 3.0790617788e+00
2.5082819031e+00 7.1141909157e+01 3.0391751039e+00
2.5210142986e+00 7.1246529497e+01 2.9948004043e+00
2.5337466940e+00 7.1364730979e+01 2.9465719252e+00
2.5464790895e+00 7.1497742863e+01 2.8951527195e+00
2.5592114849e+00 7.1646670702e+01 2.8412516562e+00
2.5719438804e+00 7.1812716703e+01 2.7855513532e+00
2.5846762758e+00 7.1996894850e+01 2.7287854769e+00
2.5974086713e+00 7.2200226897e+01 2.6716627727e+00
2.6101410667e+00 7.2423654817e+01 2.6149123189e+00
2.6228734622e+00 7.2668115962e+01 2.5592433507e+00
2.6356058576e+00 7.2934431339e+01 2.5054122612e+00
2.6483382530e+00 7.3223418667e+01 2.4540929687e+00
2.6610706485e+00 7.3535960712e+01 2.4059715434e+00
2.6738030439e+00 7.3872741895e+01 2.3616941422e+00
2.6865354394e+00 7.4234585014e+01 2.3219587073e+00
2.6992678348e+00 7.4622145241e+01 2.2872871504e+00
2.7120002303e+00 7.5036239867e+01 2.2582390523e+00
2.7247326257e+00 7.5477387593e+01 2.2352780707e+00
2.7374650212e+00 7.5946471230e+01 2.2187584677e+00
2.7501974166e+00 7.6444020418e+01 2.2089353869e+00
2.7629298121e+00 7.6970751560e+01 2.2059663148e+00
2.7756622075e+00 7.7527324740e+01 2.2098557182e+00
2.7883946030e+00 7.8114464065e+01 2.2204885338e+00
2.8011269984e+00 7.8732694457e+01 2.2375611303e+00
2.8138593939e+00 7.9382647084e+01 2.2607254980e+00
2.8265917893e+00 8.0064974482e+01 2.2894852853e+00
2.8393241848e+00 8.0780217120e+01 2.3232090954e+00
2.8520565802e+00 8.1528936119e+01 2.3612671561e+00
2.8647889757e+00 8.2311767251e+01 2.4029149323e+00
2.8775213711e+00 8.3129049134e+01 2.4474248962e+00
2.8902537665e+00 8.3981309239e+01 2.4939966891e+00
2.9029861620e+00 8.4868870814e+01 2.5419071895e+00
2.9157185574e+00 8.5792186893e+01 2.5904614728e+00
2.9284509529e+00 8.6751343219e+01 2.6389308080e+00
2.9411833483e+00 8.7746625896e+01 2.6866727352e+00
2.9539157438e+00 8.8778179694e+01 2.7331441930e+00
2.9666481392e+00 8.9846000142e+01 2.7778323875e+00
2.9793805347e+00 9.0949989369e+01 2.8202899242e+00
2.9921129301e+00 9.2090015566e+01 2.8601809852e+00
3.0048453256e+00 9.3265765372e+01 2.8971509996e+00
3.0175777210e+00 9.4476867532e+01 2.9310234297e+00
3.0303101165e+00 9.5722896949e+01 2.9616200421e+00
3.0430425119e+00 9.7003173466e+01 2.9888705142e+00
3.0557749074e+00 9.8317088869e+01 3.0127180275e+00
3.0685073028e+00 9.9663780894e+01 3.0331665068e+00
3.0812396983e+00 1.0104233076e+02 3.0503643231e+00
3.0939720937e+00 1.0245159962e+02 3.0643344088e+00
3.1067044892e+00 1.0389067020e+02 3.0752194397e+00
3.1194368846e+00 1.0535814813e+02 3.0831805706e+00
3.1321692800e+00 1.0685276935e+02 3.0883994276e+00
3.1449016755e+00 1.0837314040e+02 3.0910021996e+00
3.1576340709e+00 1.0991781324e+02 3.0911503727e+00
