# omega_THz  G_like_smoothed_interp  G_like_used_for_integration  region_flag
# region_flag: 0=elastic_like (omega<=cutoff), 1=inelastic_sensitive (omega>cutoff)
2.088112853365666766e+00 1.385070789292607785e+01 1.385070789292607785e+01 0.000000000000000000e+00
2.100845248813018262e+00 1.422023991786991992e+01 1.422023991786991992e+01 0.000000000000000000e+00
2.113577644260370203e+00 1.325461628990994356e+01 1.325461628990994356e+01 0.000000000000000000e+00
2.126310039707721700e+00 1.116712104911254677e+01 1.116712104911254677e+01 0.000000000000000000e+00
2.139042435155073196e+00 8.332295021071541186e+00 8.332295021071541186e+00 0.000000000000000000e+00
2.151774830602425137e+00 5.217208866396817690e+00 5.217208866396817690e+00 0.000000000000000000e+00
2.164507226049776634e+00 2.290357207829945008e+00 2.290357207829945008e+00 0.000000000000000000e+00
2.177239621497128130e+00 -6.902614878025546685e-02 0.000000000000000000e+00 0.000000000000000000e+00
2.189972016944480071e+00 -1.639096768451231423e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.202704412391831568e+00 -2.384961484177159807e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.215436807839183064e+00 -2.444305798603697344e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.228169203286535005e+00 -2.074751610825122938e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.240901598733886502e+00 -1.577694634819605923e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.253633994181237998e+00 -1.217437756212107702e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.266366389628589495e+00 -1.154384491392770107e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.279098785075941436e+00 -1.406265108149104437e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.291831180523292932e+00 -1.845521411167333703e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.304563575970644429e+00 -2.232606401220810888e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.317295971417996370e+00 -2.277940479670003793e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.330028366865347866e+00 -1.718434176091661492e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.342760762312699363e+00 -3.903174394994874397e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.355493157760051304e+00 1.720736894620564783e+00 1.720736894620564783e+00 0.000000000000000000e+00
2.368225553207402800e+00 4.467063399141942170e+00 4.467063399141942170e+00 0.000000000000000000e+00
2.380957948654754297e+00 7.569948913295385218e+00 7.569948913295385218e+00 0.000000000000000000e+00
2.393690344102105794e+00 1.068719594435671283e+01 1.068719594435671283e+01 0.000000000000000000e+00
2.406422739549457290e+00 1.349840747198822655e+01 1.349840747198822655e+01 0.000000000000000000e+00
