# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.1650141800e+01 9.1954005600e+00 2.4029429000e+00 8.8513143119e+08 1.7875733552e+07 1.0388740289e-08 2.7228817023e-09
1.1681972800e+01 9.0138423000e+00 2.4044152900e+00 8.7580143564e+08 1.5489483687e+07 1.0292107244e-08 2.7514164425e-09
1.1713803800e+01 8.8383846200e+00 2.4056154600e+00 8.6694389704e+08 1.3471752143e+07 1.0194874951e-08 2.7793412097e-09
1.1745634800e+01 8.6690683600e+00 2.4064571100e+00 8.5877742554e+08 1.1829274110e+07 1.0094662601e-08 2.8056373446e-09
1.1777465800e+01 8.5058946400e+00 2.4069163600e+00 8.5139303570e+08 1.0466133735e+07 9.9905616834e-09 2.8296995862e-09
1.1809296800e+01 8.3488714400e+00 2.4069296300e+00 8.4498339838e+08 9.2924487581e+06 9.8805153522e-09 2.8505650636e-09
1.1841127800e+01 8.1979816800e+00 2.4064609100e+00 8.3955130873e+08 8.1631008850e+06 9.7647178853e-09 2.8679375112e-09
1.1872958800e+01 8.0531568800e+00 2.4054523100e+00 8.3521316592e+08 6.9351229765e+06 9.6420377559e-09 2.8811585643e-09
1.1904789700e+01 7.9143458600e+00 2.4038665700e+00 8.3186978084e+08 5.4891728224e+06 9.5139239846e-09 2.8903968294e-09
1.1936620700e+01 7.7814473800e+00 2.4016709400e+00 8.2952285188e+08 3.7017558103e+06 9.3806305183e-09 2.8955464669e-09
1.1968451700e+01 7.6543695700e+00 2.3988208200e+00 8.2797165074e+08 1.5411547854e+06 9.2447242163e-09 2.8972768916e-09
1.2000282700e+01 7.5330029900e+00 2.3953093900e+00 8.2709809100e+08 1.0326818467e+06 9.1077504252e-09 2.8960626093e-09
1.2032113700e+01 7.4172096500e+00 2.3910547400e+00 8.2663661269e+08 3.9335217365e+06 8.9727572384e-09 2.8928251928e-09
1.2063944700e+01 7.3068377700e+00 2.3860924000e+00 8.2636405265e+08 7.0786280773e+06 8.8421534632e-09 2.8884523280e-09
1.2095775700e+01 7.2017178700e+00 2.3803694200e+00 8.2601141298e+08 1.0292620377e+07 8.7186663003e-09 2.8838104463e-09
1.2127606700e+01 7.1016884500e+00 2.3738703700e+00 8.2530652694e+08 1.3373544833e+07 8.6049100766e-09 2.8797276869e-09
1.2159437700e+01 7.0065499800e+00 2.3665976600e+00 8.2404191101e+08 1.6112969209e+07 8.5026621661e-09 2.8767467894e-09
1.2191268600e+01 6.9161334700e+00 2.3585129900e+00 8.2196009286e+08 1.8247556302e+07 8.4141961758e-09 2.8754502603e-09
