# freq_THz coherence_avg
4.638671874999999112e+00 3.996424378470954386e-02
4.663085937499999112e+00 2.751814968567520628e-02
4.687499999999999112e+00 3.172469236905248180e-02
4.711914062499999112e+00 1.747453793621171411e-02
4.736328124999999112e+00 1.029096798908199148e-02
4.760742187499999112e+00 4.875155863904223619e-02
4.785156249999999112e+00 1.479034802499479620e-02
4.809570312499999112e+00 5.940364993805215266e-02
4.833984374999999112e+00 2.569787703783629404e-02
4.858398437499999112e+00 3.065542768226982642e-02
4.882812499999999112e+00 3.344623346331306642e-03
4.907226562499999112e+00 2.185544067879397270e-02
4.931640624999999112e+00 5.842295849110756487e-03
4.956054687499999112e+00 2.105337793911779207e-02
4.980468749999999112e+00 2.229850367621498061e-02
5.004882812499999112e+00 6.466689228168071533e-03
5.029296874999999112e+00 6.606638361171800200e-02
5.053710937499999112e+00 1.358631407653599632e-01
5.078124999999999112e+00 5.193031548460466662e-02
5.102539062499999112e+00 1.135443069615838796e-01
5.126953124999999112e+00 9.327595234719465722e-02
5.151367187499999112e+00 3.755459276179012179e-02
5.175781249999999112e+00 2.369626176870057860e-02
5.200195312499999112e+00 1.169749440641264099e-01
5.224609374999999112e+00 3.796354559678639246e-02
5.249023437499999112e+00 1.263407197085761324e-02
5.273437499999999112e+00 2.326388662234808724e-02
5.297851562499999112e+00 4.884314535990947476e-02
5.322265624999999112e+00 2.616772890977841354e-02
5.346679687499999112e+00 1.298718836426218486e-02
5.371093749999999112e+00 3.401768166542250282e-02
5.395507812499999112e+00 1.575328025995255954e-01
5.419921874999999112e+00 4.052590677918483514e-02
5.444335937499999112e+00 2.282663544643292325e-02
5.468749999999999112e+00 2.915964313886252116e-02
5.493164062499999112e+00 2.900883252171324034e-02
5.517578124999999112e+00 7.328054157088237028e-03
5.541992187499999112e+00 2.434732184488142687e-02
5.566406249999999112e+00 4.688944691696487338e-02
5.590820312499999112e+00 3.999780450230674966e-02
5.615234374999999112e+00 7.702020079556549936e-02
5.639648437499999112e+00 1.021964665854845494e-01
5.664062499999999112e+00 2.520779688022709575e-01
5.688476562499999112e+00 6.484057063168020829e-02
5.712890624999999112e+00 5.110368245971291801e-02
5.737304687499999112e+00 1.193264217481151968e-02
5.761718749999999112e+00 1.297826498870542807e-02
5.786132812499999112e+00 8.634099909075236209e-03
5.810546874999999112e+00 1.895803515511357978e-02
5.834960937499999112e+00 8.418527127336132565e-02
5.859374999999999112e+00 1.601333651209788794e-02
5.883789062499999112e+00 5.243626591186363595e-02
5.908203124999999112e+00 3.785475005005163769e-03
5.932617187499999112e+00 1.062524523041074101e-02
5.957031249999999112e+00 3.566714137224433895e-02
5.981445312499999112e+00 7.140304368170387328e-02
6.005859374999999112e+00 1.563903027981661253e-02
6.030273437499999112e+00 6.985789398697267102e-03
6.054687499999999112e+00 8.802196842141926658e-02
6.079101562499999112e+00 3.629010177742527515e-02
6.103515624999999112e+00 1.279140757027844855e-01
6.127929687499999112e+00 2.485053090625508401e-02
6.152343749999999112e+00 4.405079059997022220e-03
6.176757812499999112e+00 1.085955534732686856e-02
6.201171874999999112e+00 7.030527309959683745e-03
6.225585937499999112e+00 1.019897750398920770e-02
6.249999999999999112e+00 6.235648584678150225e-02
6.274414062499999112e+00 8.537994245878147842e-03
6.298828124999999112e+00 6.279789339206044707e-02
6.323242187499999112e+00 2.804815220207287560e-02
6.347656249999999112e+00 7.073110003145346471e-03
6.372070312499999112e+00 4.117799832088066964e-02
6.396484374999999112e+00 2.008757095294664424e-02
6.420898437499999112e+00 2.295491791353488145e-02
6.445312499999999112e+00 2.114086038077128693e-01
6.469726562499999112e+00 1.035368456748372579e-01
6.494140624999999112e+00 3.569638549043478715e-02
6.518554687499999112e+00 6.283926001027070364e-03
6.542968749999999112e+00 4.473933548133975785e-02
6.567382812499999112e+00 8.973354555134566146e-03
6.591796874999999112e+00 2.390194862552804354e-03
6.616210937499999112e+00 3.846546438184731548e-02
6.640624999999999112e+00 1.655584010250448282e-02
6.665039062499999112e+00 5.136316065761247635e-02
6.689453124999999112e+00 1.672364842754188452e-02
6.713867187499999112e+00 3.515891909357314604e-02
6.738281249999999112e+00 4.121517121616784934e-02
6.762695312499999112e+00 3.837544756893501025e-02
6.787109374999999112e+00 5.802027440785105863e-03
6.811523437499999112e+00 4.522959846816514487e-03
6.835937499999999112e+00 7.159216615122862559e-02
6.860351562499999112e+00 7.014886830585070898e-02
6.884765624999999112e+00 4.792249848500804849e-02
6.909179687499999112e+00 1.937134709360784357e-01
6.933593749999999112e+00 1.688432468589072255e-01
6.958007812499999112e+00 5.038739150561546282e-02
6.982421874999999112e+00 1.687985113700246273e-02
7.006835937499999112e+00 5.190589945921233496e-03
7.031249999999999112e+00 4.024100110008335673e-02
7.055664062499999112e+00 1.342957127962807716e-02
7.080078124999999112e+00 4.568438046490627680e-02
7.104492187499999112e+00 1.448627013073179870e-01
7.128906249999999112e+00 3.279735900509197360e-02
7.153320312499999112e+00 7.182858458295415804e-02
7.177734374999999112e+00 3.304318321375170758e-02
7.202148437499999112e+00 5.840056692143881512e-02
