# freq_THz abs_cross_spectrum auto_left auto_right
3.588867187499999556e+00 5.319246573597226116e-23 7.409601108889655892e-22 8.942852008242636742e-22
3.613281249999999556e+00 2.134795757615211113e-22 8.240660235318850419e-22 1.146559607465348460e-21
3.637695312499999556e+00 2.726193235934094423e-22 6.943854609283609617e-22 1.187681976826193248e-21
3.662109374999999556e+00 2.471054346969539898e-22 7.018329048986388056e-22 1.170462025381307161e-21
3.686523437499999556e+00 3.792500479385228548e-22 6.046785580720007155e-22 1.261127582985037448e-21
3.710937499999999556e+00 6.341174750367833838e-23 7.338604112721238351e-22 1.129338402384896251e-21
3.735351562499999556e+00 1.161301670895571896e-22 5.864268400233432226e-22 1.036554852738706720e-21
3.759765624999999556e+00 4.875613196784164461e-23 4.916164243945240862e-22 1.181437176977296101e-21
3.784179687499999556e+00 1.324124847076282342e-22 4.995571437175676498e-22 1.055725471586057229e-21
3.808593749999999556e+00 2.765806923216971701e-22 6.667867849296345460e-22 8.541860018374324103e-22
3.833007812499999556e+00 8.655390707896784110e-23 4.858468939274805795e-22 7.695839946031283046e-22
3.857421874999999556e+00 2.605547224099778309e-22 5.172658404189746104e-22 1.092483354682401738e-21
3.881835937499999556e+00 5.646451642525312347e-23 7.954635510456485176e-22 1.108482456784719633e-21
3.906249999999999556e+00 2.148281549305474181e-22 8.433817333988048571e-22 1.033186280463194682e-21
3.930664062499999556e+00 1.346344632578258266e-22 7.087444922032397070e-22 1.313149411669913282e-21
3.955078124999999556e+00 1.423398594017905606e-22 5.287235550004466986e-22 1.097201595408750816e-21
3.979492187499999556e+00 5.499379248923383013e-23 4.559082179348052914e-22 1.010326921441463744e-21
4.003906249999999112e+00 7.913014540937130275e-23 4.816087188410854957e-22 1.241548280130885897e-21
4.028320312499999112e+00 2.188614978731754923e-22 5.025753143886826454e-22 1.354569230024119083e-21
4.052734374999999112e+00 3.001433145998086925e-22 6.020953367267345195e-22 9.809600201357124287e-22
4.077148437499999112e+00 2.598539611950803359e-22 5.471916991707885484e-22 1.389048419554208304e-21
4.101562499999999112e+00 1.275382975474354737e-22 3.590185542778608877e-22 1.617056977061972774e-21
4.125976562499999112e+00 1.695368879243765424e-22 4.054336901436601166e-22 1.312798759802499244e-21
4.150390624999999112e+00 6.861822806199135950e-23 3.913990850868244168e-22 1.085436839582810732e-21
4.174804687499999112e+00 9.659180441715418206e-23 3.694180118566349212e-22 7.944696173424388243e-22
4.199218749999999112e+00 2.019808308683761414e-22 4.016864726876178504e-22 6.997290239563972111e-22
4.223632812499999112e+00 9.724432929972936886e-23 4.432807318254094306e-22 1.151137420503216393e-21
4.248046874999999112e+00 1.614649902387437379e-22 5.288835657629385050e-22 6.224781548104794022e-22
4.272460937499999112e+00 1.118390965375350490e-22 4.625915571523608665e-22 6.686665130303128812e-22
4.296874999999999112e+00 1.275684216261478028e-22 3.460522360472657154e-22 6.841998701007531343e-22
4.321289062499999112e+00 6.481930437469491859e-23 3.460511300156624750e-22 8.342091307578218641e-22
4.345703124999999112e+00 6.486025405703858686e-23 2.597281741795597552e-22 1.164970902348738410e-21
