# omega_THz  Jin_native  Jout_native  Jsum_native  G_native_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_smoothed_eV_ps^-1_THz^-1_A^-2_K^-1  G_paper_MW_m^-2_K^-1_THz^-1  G_paper_smoothed_MW_m^-2_K^-1_THz^-1  cumulative_integral_native
6.366197723675813824e-01 3.259580000000000116e-02 -1.163170000000000003e-02 2.096409999999999940e-02 1.569606500977153878e-07 1.292918944322774180e-07 2.514786860440094252e+00 2.071484522249895655e+00 4.895572400135468673e-08
6.493521678149329901e-01 3.204930000000000279e-02 -1.137110000000000030e-02 2.067820000000000075e-02 1.548200836120118928e-07 1.282632996626332273e-07 2.480491204370917746e+00 2.055004617192110583e+00 5.059537129172258724e-08
6.620845632622845978e-01 3.005259999999999876e-02 -9.559450000000000586e-03 2.049314999999999817e-02 1.534345927824230999e-07 1.265868890290437687e-07 2.458293194033033480e+00 2.028145557730848925e+00 5.221779798284989223e-08
6.748169587096363164e-01 2.680549999999999947e-02 -6.383259999999999976e-03 2.042224000000000123e-02 1.529036813815793279e-07 1.248420630269075276e-07 2.449787055621472476e+00 2.000190363220665457e+00 5.381844440509469335e-08
6.875493541569879241e-01 2.273949999999999930e-02 -2.295100000000000005e-03 2.044439999999999799e-02 1.530695958737905263e-07 1.235637771542718765e-07 2.452445298848100030e+00 1.979709965653574155e+00 5.539984509940389562e-08
7.002817496043395318e-01 1.841090000000000088e-02 2.086740000000000123e-03 2.049764000000000100e-02 1.534682099335976749e-07 1.231625957518175922e-07 2.458831800174168691e+00 1.973282330963498143e+00 5.697055397296942951e-08
7.130141450516912505e-01 1.434189999999999944e-02 6.121559999999999849e-03 2.046345999999999929e-02 1.532123003061707910e-07 1.238800101595541451e-07 2.454731675919378908e+00 1.984776576973202644e+00 5.854327604837335562e-08
7.257465404990427471e-01 1.087079999999999991e-02 9.286579999999999141e-03 2.015737999999999905e-02 1.509206438180835918e-07 1.257796697221113063e-07 2.418015291135700906e+00 2.015212478610040048e+00 6.013265893412962956e-08
7.384789359463943548e-01 8.072189999999999921e-03 1.127260000000000068e-02 1.934479000000000060e-02 1.448366881670943963e-07 1.287655094676362183e-07 2.320539575272629218e+00 2.063050905341525354e+00 6.175314387446004588e-08
7.512113313937459624e-01 5.780569999999999632e-03 1.201280000000000056e-02 1.779336999999999933e-02 1.332210265467721427e-07 1.326134041582233532e-07 2.134436158907320191e+00 2.124700974975038736e+00 6.341713371940184813e-08
