# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
1.6424790127e+00 2.6398349476e-06 1.4882602271e-07
1.6552114082e+00 2.6863791346e-06 1.5080621274e-07
1.6679438036e+00 2.7330240682e-06 1.5281265695e-07
1.6806761991e+00 2.7797446978e-06 1.5484825634e-07
1.6934085945e+00 2.8265249207e-06 1.5691468207e-07
1.7061409899e+00 2.8733421648e-06 1.5901184385e-07
1.7188733854e+00 2.9201757639e-06 1.6113104407e-07
1.7316057808e+00 2.9670009064e-06 1.6326456071e-07
1.7443381763e+00 3.0137935239e-06 1.6539891095e-07
1.7570705717e+00 3.0605246226e-06 1.6751860994e-07
1.7698029672e+00 3.1071591843e-06 1.6960193946e-07
1.7825353626e+00 3.1536716336e-06 1.7162595306e-07
1.7952677581e+00 3.2000216911e-06 1.7356316657e-07
1.8080001535e+00 3.2461708958e-06 1.7538649195e-07
1.8207325490e+00 3.2920768361e-06 1.7706568828e-07
1.8334649444e+00 3.3377030903e-06 1.7856952953e-07
1.8461973399e+00 3.3829910872e-06 1.7986826705e-07
1.8589297353e+00 3.4278997671e-06 1.8093209583e-07
1.8716621308e+00 3.4723748536e-06 1.8173469605e-07
1.8843945262e+00 3.5163604129e-06 1.8225112053e-07
1.8971269217e+00 3.5598051896e-06 1.8245945916e-07
1.9098593171e+00 3.6026462466e-06 1.8234414809e-07
1.9225917126e+00 3.6448234004e-06 1.8189482358e-07
1.9353241080e+00 3.6862787261e-06 1.8110365104e-07
1.9480565034e+00 3.7269482981e-06 1.7997445084e-07
1.9607888989e+00 3.7667714908e-06 1.7851509317e-07
1.9735212943e+00 3.8056851884e-06 1.7674339727e-07
1.9862536898e+00 3.8436281309e-06 1.7468418293e-07
1.9989860852e+00 3.8805419320e-06 1.7237292875e-07
2.0117184807e+00 3.9163675139e-06 1.6985184318e-07
2.0244508761e+00 3.9510459247e-06 1.6717527649e-07
2.0371832716e+00 3.9845286760e-06 1.6440526984e-07
2.0499156670e+00 4.0167705672e-06 1.6161234171e-07
2.0626480625e+00 4.0477177408e-06 1.5887461004e-07
2.0753804579e+00 4.0773394586e-06 1.5627471866e-07
2.0881128534e+00 4.1055936212e-06 1.5390398253e-07
2.1008452488e+00 4.1324564195e-06 1.5184702771e-07
2.1135776443e+00 4.1579007443e-06 1.5018575448e-07
2.1263100397e+00 4.1819167134e-06 1.4899641613e-07
