# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
2.4446199259e+00 4.3388753397e-06
2.4573523213e+00 4.3952244292e-06
2.4700847168e+00 4.4516433645e-06
2.4828171122e+00 4.5081373726e-06
2.4955495077e+00 4.5647127935e-06
2.5082819031e+00 4.6213770526e-06
2.5210142986e+00 4.6781386285e-06
2.5337466940e+00 4.7350070232e-06
2.5464790895e+00 4.7919927294e-06
2.5592114849e+00 4.8491071964e-06
2.5719438804e+00 4.9063627964e-06
2.5846762758e+00 4.9637727903e-06
2.5974086713e+00 5.0213512907e-06
2.6101410667e+00 5.0791132308e-06
2.6228734622e+00 5.1370743346e-06
2.6356058576e+00 5.1952510834e-06
2.6483382530e+00 5.2536606879e-06
2.6610706485e+00 5.3123210627e-06
2.6738030439e+00 5.3712507988e-06
2.6865354394e+00 5.4304691387e-06
2.6992678348e+00 5.4899959561e-06
2.7120002303e+00 5.5498517351e-06
2.7247326257e+00 5.6100575490e-06
2.7374650212e+00 5.6706350446e-06
2.7501974166e+00 5.7316064232e-06
2.7629298121e+00 5.7929944215e-06
2.7756622075e+00 5.8548222947e-06
2.7883946030e+00 5.9171137999e-06
2.8011269984e+00 5.9798931742e-06
2.8138593939e+00 6.0431851120e-06
2.8265917893e+00 6.1070147447e-06
2.8393241848e+00 6.1714076156e-06
2.8520565802e+00 6.2363896497e-06
2.8647889757e+00 6.3019871244e-06
2.8775213711e+00 6.3682266343e-06
2.8902537665e+00 6.4351350519e-06
2.9029861620e+00 6.5027394886e-06
2.9157185574e+00 6.5710672477e-06
2.9284509529e+00 6.6401457741e-06
2.9411833483e+00 6.7100026029e-06
2.9539157438e+00 6.7806653034e-06
2.9666481392e+00 6.8521614163e-06
2.9793805347e+00 6.9245183921e-06
2.9921129301e+00 6.9977635262e-06
3.0048453256e+00 7.0719238865e-06
3.0175777210e+00 7.1470262443e-06
3.0303101165e+00 7.2230970043e-06
3.0430425119e+00 7.3001621299e-06
3.0557749074e+00 7.3782470671e-06
3.0685073028e+00 7.4573766750e-06
3.0812396983e+00 7.5375751534e-06
3.0939720937e+00 7.6188659677e-06
3.1067044892e+00 7.7012717806e-06
3.1194368846e+00 7.7848143848e-06
3.1321692800e+00 7.8695146381e-06
3.1449016755e+00 7.9553924026e-06
3.1576340709e+00 8.0424664875e-06
3.1703664664e+00 8.1307545936e-06
3.1830988618e+00 8.2202732635e-06
3.1958312573e+00 8.3110378351e-06
3.2085636527e+00 8.4030623999e-06
3.2212960482e+00 8.4963597643e-06
3.2340284436e+00 8.5909414181e-06
3.2467608391e+00 8.6868175032e-06
3.2594932345e+00 8.7839967858e-06
3.2722256300e+00 8.8824866342e-06
3.2849580254e+00 8.9822929976e-06
3.2976904209e+00 9.0834203860e-06
3.3104228163e+00 9.1858718541e-06
3.3231552118e+00 9.2896489882e-06
3.3358876072e+00 9.3947518855e-06
3.3486200027e+00 9.5011791422e-06
3.3613523981e+00 9.6089278380e-06
3.3740847935e+00 9.7179935182e-06
3.3868171890e+00 9.8283701785e-06
3.3995495844e+00 9.9400502434e-06
3.4122819799e+00 1.0053024546e-05
3.4250143753e+00 1.0167282304e-05
3.4377467708e+00 1.0282811093e-05
3.4504791662e+00 1.0399596819e-05
3.4632115617e+00 1.0517623689e-05
3.4759439571e+00 1.0636874180e-05
3.4886763526e+00 1.0757329002e-05
3.5014087480e+00 1.0878967068e-05
3.5141411435e+00 1.1001765459e-05
3.5268735389e+00 1.1125699389e-05
3.5396059344e+00 1.1250742177e-05
3.5523383298e+00 1.1376865208e-05
3.5650707253e+00 1.1504037914e-05
3.5778031207e+00 1.1632227756e-05
3.5905355162e+00 1.1761400199e-05
3.6032679116e+00 1.1891518710e-05
3.6160003070e+00 1.2022544758e-05
3.6287327025e+00 1.2154437820e-05
3.6414650979e+00 1.2287155411e-05
3.6541974934e+00 1.2420653103e-05
3.6669298888e+00 1.2554884582e-05
3.6796622843e+00 1.2689801705e-05
3.6923946797e+00 1.2825354571e-05
3.7051270752e+00 1.2961491618e-05
3.7178594706e+00 1.3098159727e-05
3.7305918661e+00 1.3235304344e-05
3.7433242615e+00 1.3372869620e-05
3.7560566570e+00 1.3510798568e-05
3.7687890524e+00 1.3649033233e-05
3.7815214479e+00 1.3787514881e-05
3.7942538433e+00 1.3926184198e-05
3.8069862388e+00 1.4064981508e-05
3.8197186342e+00 1.4203847001e-05
3.8324510297e+00 1.4342720970e-05
3.8451834251e+00 1.4481544053e-05
3.8579158205e+00 1.4620257494e-05
3.8706482160e+00 1.4758803396e-05
3.8833806114e+00 1.4897124983e-05
3.8961130069e+00 1.5035166861e-05
3.9088454023e+00 1.5172875271e-05
3.9215777978e+00 1.5310198349e-05
3.9343101932e+00 1.5447086365e-05
3.9470425887e+00 1.5583491956e-05
3.9597749841e+00 1.5719370354e-05
3.9725073796e+00 1.5854679588e-05
3.9852397750e+00 1.5989380670e-05
3.9979721705e+00 1.6123437765e-05
4.0107045659e+00 1.6256818335e-05
4.0234369614e+00 1.6389493263e-05
4.0361693568e+00 1.6521436950e-05
4.0489017523e+00 1.6652627381e-05
4.0616341477e+00 1.6783046169e-05
4.0743665432e+00 1.6912678569e-05
4.0870989386e+00 1.7041513459e-05
4.0998313340e+00 1.7169543299e-05
4.1125637295e+00 1.7296764056e-05
4.1252961249e+00 1.7423175106e-05
4.1380285204e+00 1.7548779105e-05
4.1507609158e+00 1.7673581835e-05
4.1634933113e+00 1.7797592032e-05
4.1762257067e+00 1.7920821188e-05
4.1889581022e+00 1.8043283327e-05
4.2016904976e+00 1.8164994778e-05
4.2144228931e+00 1.8285973922e-05
4.2271552885e+00 1.8406240938e-05
4.2398876840e+00 1.8525817526e-05
4.2526200794e+00 1.8644726640e-05
4.2653524749e+00 1.8762992212e-05
4.2780848703e+00 1.8880638876e-05
4.2908172658e+00 1.8997691697e-05
4.3035496612e+00 1.9114175909e-05
4.3162820567e+00 1.9230116666e-05
4.3290144521e+00 1.9345538798e-05
4.3417468475e+00 1.9460466587e-05
4.3544792430e+00 1.9574923562e-05
4.3672116384e+00 1.9688932317e-05
4.3799440339e+00 1.9802514344e-05
4.3926764293e+00 1.9915689891e-05
4.4054088248e+00 2.0028477850e-05
4.4181412202e+00 2.0140895667e-05
4.4308736157e+00 2.0252959269e-05
4.4436060111e+00 2.0364683036e-05
4.4563384066e+00 2.0476079786e-05
4.4690708020e+00 2.0587160784e-05
4.4818031975e+00 2.0697935785e-05
4.4945355929e+00 2.0808413086e-05
4.5072679884e+00 2.0918599610e-05
4.5200003838e+00 2.1028501012e-05
4.5327327793e+00 2.1138121793e-05
4.5454651747e+00 2.1247465433e-05
4.5581975702e+00 2.1356534546e-05
4.5709299656e+00 2.1465331034e-05
4.5836623610e+00 2.1573856249e-05
4.5963947565e+00 2.1682111172e-05
4.6091271519e+00 2.1790096584e-05
4.6218595474e+00 2.1897813239e-05
4.6345919428e+00 2.2005262043e-05
4.6473243383e+00 2.2112444214e-05
4.6600567337e+00 2.2219361448e-05
4.6727891292e+00 2.2326016066e-05
4.6855215246e+00 2.2432411160e-05
4.6982539201e+00 2.2538550717e-05
4.7109863155e+00 2.2644439737e-05
4.7237187110e+00 2.2750084326e-05
4.7364511064e+00 2.2855491780e-05
4.7491835019e+00 2.2960670655e-05
4.7619158973e+00 2.3065630814e-05
4.7746482928e+00 2.3170383459e-05
4.7873806882e+00 2.3274941144e-05
4.8001130837e+00 2.3379317778e-05
4.8128454791e+00 2.3483528606e-05
4.8255778745e+00 2.3587590180e-05
4.8383102700e+00 2.3691520311e-05
4.8510426654e+00 2.3795338017e-05
4.8637750609e+00 2.3899063453e-05
4.8765074563e+00 2.4002717834e-05
4.8892398518e+00 2.4106323358e-05
4.9019722472e+00 2.4209903108e-05
4.9147046427e+00 2.4313480965e-05
4.9274370381e+00 2.4417081510e-05
4.9401694336e+00 2.4520729929e-05
