# freq_THz abs_cross_spectrum auto_left auto_right
1.538085937499999778e+00 1.934448278392370483e-20 4.208815358476445885e-20 6.748161373319586325e-20
1.562499999999999778e+00 2.571274003680283472e-20 5.119392576222683835e-20 7.960243663086418818e-20
1.586914062499999778e+00 1.149744514311761904e-20 2.561962652756100016e-20 5.035244488233070563e-20
1.611328124999999778e+00 1.116125147614051159e-20 2.349722713544051820e-20 5.107203752459880676e-20
1.635742187499999778e+00 8.699596066632000900e-21 1.890598022456900182e-20 5.054845776879259991e-20
1.660156249999999778e+00 1.117353147750829743e-20 2.487572219750926537e-20 6.192871180069471462e-20
1.684570312499999778e+00 1.300452524604581753e-20 2.865619903174605537e-20 6.985688965947037737e-20
1.708984374999999778e+00 1.368583801008057802e-20 2.891958840755479877e-20 7.471737788227164755e-20
1.733398437499999778e+00 1.450169554109694852e-20 2.768146793703419738e-20 7.938365205295875480e-20
1.757812499999999778e+00 1.320820429779462536e-20 2.280571179951085729e-20 7.254857218821069604e-20
1.782226562499999778e+00 1.036075399418483037e-20 2.157385300295519305e-20 6.338678790291724486e-20
1.806640624999999778e+00 1.405587639033800783e-20 2.702981581474413991e-20 7.640028429881911128e-20
1.831054687499999778e+00 1.931182210182189572e-20 3.470972590640817582e-20 9.802235293796414759e-20
1.855468749999999778e+00 1.734913248817567864e-20 3.060081313618038871e-20 9.529167691078023845e-20
1.879882812499999778e+00 1.264426013450111508e-20 2.373068879019450211e-20 8.385029515930554591e-20
1.904296874999999778e+00 1.474563430362465815e-20 2.962927312000568663e-20 9.199936730069546595e-20
1.928710937499999778e+00 1.827838965598077539e-20 3.656273113415900632e-20 1.022945091273364281e-19
1.953124999999999778e+00 1.136005940667346316e-20 2.393056246377925984e-20 8.358816400219063043e-20
1.977539062499999778e+00 8.859004738142780812e-21 1.800836315750053241e-20 8.159934105928483547e-20
2.001953124999999556e+00 1.129388896691206484e-20 2.200236255293622851e-20 9.992241865641574269e-20
2.026367187499999556e+00 1.110418873222969248e-20 2.249727158515478786e-20 1.006224270457617648e-19
2.050781249999999556e+00 1.233148750496779578e-20 2.526262409622168795e-20 1.117400793457732359e-19
2.075195312499999556e+00 1.271323224414179918e-20 2.801023773375566906e-20 1.130951701955999669e-19
2.099609374999999556e+00 1.191227953087511726e-20 2.469313159315976117e-20 1.064755643282331256e-19
2.124023437499999556e+00 1.060488208950901588e-20 2.356647295391625070e-20 1.032830494114484424e-19
2.148437499999999556e+00 1.283677377701101797e-20 2.771352842606411374e-20 1.194840102340084222e-19
2.172851562499999556e+00 1.351259024617492459e-20 2.721385940927514229e-20 1.339822079654677919e-19
2.197265624999999556e+00 1.149203459483531389e-20 2.310100823372294379e-20 1.296629941781640085e-19
2.221679687499999556e+00 1.245022764703556721e-20 2.681401792909878317e-20 1.318477241410417244e-19
2.246093749999999556e+00 1.627401139756924104e-20 3.511068612128433027e-20 1.588229774083058039e-19
2.270507812499999556e+00 1.648200720367233533e-20 3.285285522096856564e-20 1.708850518127633705e-19
2.294921874999999556e+00 1.419846752420136131e-20 2.781322296511336403e-20 1.664094351656365054e-19
2.319335937499999556e+00 1.723775048169647678e-20 3.337477125068922754e-20 1.943715139375318088e-19
2.343749999999999556e+00 1.665800841688667322e-20 3.289794287465288184e-20 1.922485661931380620e-19
2.368164062499999556e+00 1.561128294873429010e-20 3.276926725648723189e-20 1.866997294109955869e-19
2.392578124999999556e+00 1.810524548786266982e-20 3.695368708501809762e-20 2.222365081923226731e-19
2.416992187499999556e+00 2.068814011813091436e-20 4.060607359932407705e-20 2.620749474292368315e-19
2.441406249999999556e+00 2.096358855520757715e-20 4.210306987202696717e-20 2.742322436149064880e-19
2.465820312499999556e+00 2.234828366065542685e-20 4.470772723249004040e-20 2.907827073409949039e-19
2.490234374999999556e+00 2.244552179273586972e-20 4.394923768476827614e-20 2.990281677985794248e-19
2.514648437499999556e+00 2.334748859130774297e-20 4.858734828590509419e-20 3.081130646877841938e-19
2.539062499999999556e+00 2.522134629074475742e-20 5.283633999228041693e-20 3.525241069342138080e-19
2.563476562499999556e+00 2.507037287311959631e-20 5.132056723861600595e-20 3.665391141214629498e-19
2.587890624999999556e+00 2.505416591741489728e-20 5.249474790600248163e-20 3.739853048127736356e-19
2.612304687499999556e+00 3.013345020290427500e-20 6.396350925421044138e-20 4.300131883055361251e-19
2.636718749999999556e+00 3.548496948438022944e-20 6.844855874643820435e-20 4.807193247331128469e-19
2.661132812499999556e+00 3.328315955664185042e-20 6.242790049412728927e-20 5.110344077875229567e-19
2.685546874999999556e+00 3.428205762858126142e-20 6.714083388294222449e-20 5.131736651086376590e-19
2.709960937499999556e+00 3.560395405357239961e-20 7.308136950692506071e-20 4.889645128994177530e-19
2.734374999999999556e+00 3.704180927327374860e-20 7.660739968485637259e-20 5.206508074569449171e-19
2.758789062499999556e+00 3.555271075017757883e-20 7.259883430722491110e-20 5.648207828582801419e-19
2.783203124999999556e+00 3.473538892013800077e-20 6.951094867535157582e-20 5.716620866376373741e-19
2.807617187499999556e+00 3.410271615023479609e-20 7.156508763518984625e-20 5.540098996842900077e-19
2.832031249999999556e+00 3.427295799823951440e-20 6.828962453079447650e-20 5.395543204286225236e-19
2.856445312499999556e+00 3.022083742876781722e-20 6.226334120019755617e-20 5.245240124184022658e-19
2.880859374999999556e+00 3.189314014168772007e-20 6.289225559603473014e-20 5.427479474795147397e-19
2.905273437499999556e+00 2.894833976317907194e-20 6.113758311002746868e-20 5.483709924386139639e-19
2.929687499999999556e+00 3.210621469464507514e-20 6.507417037918596858e-20 5.335803210707948899e-19
2.954101562499999556e+00 3.298438312622058951e-20 6.831968465260601970e-20 5.316513479550363895e-19
2.978515624999999556e+00 3.381930788016160044e-20 6.638550581291548765e-20 5.673975965039596719e-19
3.002929687499999556e+00 3.089564500556177786e-20 6.337638371623834965e-20 5.849235538122424168e-19
3.027343749999999556e+00 3.236099451286540632e-20 6.574952346230472177e-20 5.901360621597200153e-19
3.051757812499999556e+00 3.153960209006548474e-20 6.894722611179715624e-20 5.769669866416959041e-19
3.076171874999999556e+00 3.529640308304027028e-20 7.432720402949242261e-20 6.055186992486590546e-19
3.100585937499999556e+00 3.435247090072488002e-20 7.557466274496731738e-20 5.783951327395530633e-19
3.124999999999999556e+00 3.227943088814895019e-20 7.017908872021980497e-20 5.426476518892090748e-19
3.149414062499999556e+00 3.177479705835486066e-20 6.958093534802595803e-20 5.199730412199794050e-19
3.173828124999999556e+00 3.278871161428916775e-20 7.035962908202577416e-20 5.104156302674874178e-19
3.198242187499999556e+00 3.138741518812054181e-20 7.269895393879317529e-20 4.930516959982263461e-19
3.222656249999999556e+00 3.297339144284154328e-20 7.241162526581368755e-20 4.930084316423936772e-19
3.247070312499999556e+00 2.994243966264111661e-20 6.684790622222246029e-20 4.594234727555961774e-19
