# coord_A   rho_avg_e_per_A3
6.385714285714286120e+00 -2.800536475892254629e-01
6.428571428571428825e+00 -2.772851823711431352e-01
6.471428571428571530e+00 -2.710730800685099973e-01
6.514285714285714235e+00 -2.614113601256453090e-01
6.557142857142856940e+00 -2.485234585692217557e-01
6.599999999999999645e+00 -2.328480936556214798e-01
6.642857142857143238e+00 -2.149952785245521358e-01
6.685714285714285943e+00 -1.956807618402652826e-01
6.728571428571428648e+00 -1.756500302839161531e-01
6.771428571428571352e+00 -1.556039271661088519e-01
6.814285714285714057e+00 -1.361373633243658232e-01
6.857142857142857650e+00 -1.177011647661141136e-01
6.900000000000000355e+00 -1.005949533959367564e-01
6.942857142857143060e+00 -8.499385693486233295e-02
6.985714285714285765e+00 -7.100586983604763314e-02
7.028571428571428470e+00 -5.872016889805601464e-02
7.071428571428571175e+00 -4.824397069118187276e-02
7.114285714285714768e+00 -3.980707778776802763e-02
7.157142857142857473e+00 -3.383144485686004344e-02
7.200000000000000178e+00 -3.092749794271939037e-02
7.242857142857142883e+00 -3.181685722985735931e-02
7.285714285714285587e+00 -3.716557922327038549e-02
7.328571428571428292e+00 -4.735531169761898057e-02
7.371428571428571885e+00 -6.224857982514767768e-02
7.414285714285714590e+00 -8.102193848294628187e-02
7.457142857142857295e+00 -1.021206962486068265e-01
7.500000000000000000e+00 -1.233638428193458980e-01
7.542857142857142705e+00 -1.421930855884592781e-01
7.585714285714285410e+00 -1.560243720793698108e-01
7.628571428571429003e+00 -1.626340931063346429e-01
7.671428571428571708e+00 -1.605013951814890927e-01
7.714285714285714413e+00 -1.490359973202766697e-01
7.757142857142857117e+00 -1.286450702543940894e-01
7.799999999999999822e+00 -1.006289161242537034e-01
7.842857142857142527e+00 -6.693347858858283983e-02
7.885714285714286120e+00 -2.982038938851227367e-02
7.928571428571428825e+00 8.468252886309278471e-03
7.971428571428571530e+00 4.597656442045393310e-02
8.014285714285714235e+00 8.118287533664704514e-02
8.057142857142856940e+00 1.130161563202771446e-01
8.099999999999999645e+00 1.407664396167801202e-01
8.142857142857142350e+00 1.639424626964544607e-01
8.185714285714285054e+00 1.821381924972002020e-01
8.228571428571427759e+00 1.949579622790782452e-01
8.271428571428572241e+00 2.020218709597056128e-01
8.314285714285714946e+00 2.030421336042821656e-01
8.357142857142857650e+00 1.979356411541942362e-01
8.400000000000000355e+00 1.869182000292749779e-01
8.442857142857143060e+00 1.704700725716764009e-01
8.485714285714285765e+00 1.492550143498646564e-01
8.528571428571428470e+00 1.240933567800818482e-01
8.571428571428571175e+00 9.593194116726778964e-02
8.614285714285713880e+00 6.580598436783108296e-02
8.657142857142856585e+00 3.479475988036422052e-02
8.699999999999999289e+00 3.973338830424459102e-03
8.742857142857143771e+00 -2.563669051798449922e-02
8.785714285714286476e+00 -5.311381729171626986e-02
8.828571428571429180e+00 -7.767656917431747798e-02
8.871428571428571885e+00 -9.871281040174235966e-02
8.914285714285714590e+00 -1.157958932228643906e-01
8.957142857142857295e+00 -1.286862688714523473e-01
9.000000000000000000e+00 -1.373198560792395773e-01
9.042857142857142705e+00 -1.417856052623681085e-01
9.085714285714285410e+00 -1.422954573566822534e-01
9.128571428571428115e+00 -1.391500556532384025e-01
9.171428571428570820e+00 -1.327023931945652546e-01
9.214285714285713524e+00 -1.233214353627342386e-01
9.257142857142858006e+00 -1.113580006749244067e-01
9.300000000000000711e+00 -9.712728178415197533e-02
9.342857142857143415e+00 -8.093880316541482434e-02
