# coord_A   integrated_rho
1.109999999999999964e+01 -3.585966030398463622e-01
1.114285714285714235e+01 -3.526917448714153580e-01
1.118571428571428505e+01 -3.471391842719083187e-01
1.122857142857142954e+01 -3.420617290426533619e-01
1.127142857142857224e+01 -3.375797252132095028e-01
1.131428571428571495e+01 -3.338113020055137325e-01
1.135714285714285765e+01 -3.308709927393067018e-01
1.140000000000000036e+01 -3.288670714793700545e-01
1.144285714285714306e+01 -3.278981976424947264e-01
1.148571428571428577e+01 -3.280500268442759215e-01
1.152857142857142847e+01 -3.293923442902470522e-01
1.157142857142857117e+01 -3.319770036305547123e-01
1.161428571428571388e+01 -3.358366994341228096e-01
1.165714285714285658e+01 -3.409843616464719451e-01
1.169999999999999929e+01 -3.474128638020080317e-01
1.174285714285714377e+01 -3.550947339057426433e-01
1.178571428571428648e+01 -3.639816576987955909e-01
1.182857142857142918e+01 -3.740033137384004003e-01
1.187142857142857189e+01 -3.850650488124094384e-01
1.191428571428571459e+01 -3.970454144731900836e-01
1.195714285714285730e+01 -4.097942401840291571e-01
1.200000000000000000e+01 -4.231314320018262354e-01
1.204285714285714270e+01 -4.368446825825490487e-01
1.208571428571428541e+01 -4.506861226842248103e-01
1.212857142857142811e+01 -4.643709743742260310e-01
1.217142857142857082e+01 -4.775788338631158925e-01
1.221428571428571352e+01 -4.899575609886969718e-01
1.225714285714285801e+01 -5.011293950162715172e-01
1.230000000000000071e+01 -5.106991177270356896e-01
1.234285714285714342e+01 -5.182642843676447120e-01
1.238571428571428612e+01 -5.234283977808488197e-01
1.242857142857142883e+01 -5.258166786599071107e-01
1.247142857142857153e+01 -5.250935516020062144e-01
1.251428571428571423e+01 -5.209814786949119592e-01
1.255714285714285694e+01 -5.132806424504442466e-01
1.259999999999999964e+01 -5.018887405712715299e-01
1.264285714285714235e+01 -4.868200944254059692e-01
1.268571428571428505e+01 -4.682233236017742106e-01
1.272857142857142954e+01 -4.463968745226934431e-01
1.277142857142857224e+01 -4.218014720760077108e-01
1.281428571428571495e+01 -3.950682133942298169e-01
1.285714285714285765e+01 -3.670005302759031807e-01
1.290000000000000036e+01 -3.385678476610210486e-01
1.294285714285714306e+01 -3.108886213185499958e-01
1.298571428571428577e+01 -2.852007433380007728e-01
1.302857142857142847e+01 -2.628179332393349443e-01
1.307142857142857117e+01 -2.450718361240389054e-01
1.311428571428571388e+01 -2.332411454004985063e-01
1.315714285714285658e+01 -2.284710221339516234e-01
1.319999999999999929e+01 -2.316884898296212858e-01
1.324285714285714377e+01 -2.435217012730014341e-01
