# coord_A   rho_avg_e_per_A3
5.314285714285714057e+00 -6.415263906463693211e-02
5.357142857142856762e+00 -6.982671358933340011e-02
5.400000000000000355e+00 -7.593650874563903641e-02
5.442857142857143060e+00 -8.250108046626704328e-02
5.485714285714285765e+00 -8.954030547652944150e-02
5.528571428571428470e+00 -9.707446223228570481e-02
5.571428571428571175e+00 -1.051222631850260020e-01
5.614285714285714768e+00 -1.136974198721617535e-01
5.657142857142857473e+00 -1.228043578087623794e-01
5.700000000000000178e+00 -1.324340904391331786e-01
5.742857142857142883e+00 -1.425613382135661467e-01
5.785714285714285587e+00 -1.531436264758673504e-01
5.828571428571428292e+00 -1.641223519827182398e-01
5.871428571428571885e+00 -1.754248955553956435e-01
5.914285714285714590e+00 -1.869661326810626023e-01
5.957142857142857295e+00 -1.986474853170064336e-01
6.000000000000000000e+00 -2.103521183523430482e-01
6.042857142857142705e+00 -2.219359563607493924e-01
6.085714285714285410e+00 -2.332203201684768801e-01
6.128571428571429003e+00 -2.440016247497491242e-01
6.171428571428571708e+00 -2.540407328929180641e-01
6.214285714285714413e+00 -2.630352917965449455e-01
6.257142857142857117e+00 -2.706027663791180093e-01
6.299999999999999822e+00 -2.762872791980807152e-01
6.342857142857142527e+00 -2.795949180416825164e-01
6.385714285714286120e+00 -2.800536475892607680e-01
6.428571428571428825e+00 -2.772851823710638652e-01
6.471428571428571530e+00 -2.710730800685001163e-01
6.514285714285714235e+00 -2.614113601257116448e-01
6.557142857142856940e+00 -2.485234585692547848e-01
6.599999999999999645e+00 -2.328480936556892311e-01
6.642857142857143238e+00 -2.149952785245914377e-01
6.685714285714285943e+00 -1.956807618402983118e-01
6.728571428571428648e+00 -1.756500302839137384e-01
6.771428571428571352e+00 -1.556039271661211199e-01
6.814285714285714057e+00 -1.361373633243845860e-01
6.857142857142857650e+00 -1.177011647660813065e-01
6.900000000000000355e+00 -1.005949533959197700e-01
6.942857142857143060e+00 -8.499385693488663296e-02
6.985714285714285765e+00 -7.100586983601751834e-02
7.028571428571428470e+00 -5.872016889804015927e-02
7.071428571428571175e+00 -4.824397069118604303e-02
7.114285714285714768e+00 -3.980707778771114952e-02
7.157142857142857473e+00 -3.383144485688870107e-02
7.200000000000000178e+00 -3.092749794267509594e-02
7.242857142857142883e+00 -3.181685722988235321e-02
7.285714285714285587e+00 -3.716557922327558272e-02
7.328571428571428292e+00 -4.735531169756777847e-02
7.371428571428571885e+00 -6.224857982501256354e-02
7.414285714285714590e+00 -8.102193848299006629e-02
7.457142857142857295e+00 -1.021206962485860653e-01
7.500000000000000000e+00 -1.233638428193726960e-01
7.542857142857142705e+00 -1.421930855884586120e-01
7.585714285714285410e+00 -1.560243720793577649e-01
7.628571428571429003e+00 -1.626340931063205986e-01
7.671428571428571708e+00 -1.605013951814883710e-01
7.714285714285714413e+00 -1.490359973202989852e-01
7.757142857142857117e+00 -1.286450702544341962e-01
7.799999999999999822e+00 -1.006289161242505809e-01
7.842857142857142527e+00 -6.693347858855930310e-02
7.885714285714286120e+00 -2.982038938851467799e-02
7.928571428571428825e+00 8.468252886303996238e-03
7.971428571428571530e+00 4.597656442047971803e-02
8.014285714285714235e+00 8.118287533667098432e-02
8.057142857142856940e+00 1.130161563202954217e-01
8.099999999999999645e+00 1.407664396167601917e-01
8.142857142857142350e+00 1.639424626964465781e-01
8.185714285714285054e+00 1.821381924971861577e-01
8.228571428571427759e+00 1.949579622790696964e-01
8.271428571428572241e+00 2.020218709597050855e-01
8.314285714285714946e+00 2.030421336042335656e-01
8.357142857142857650e+00 1.979356411541545735e-01
8.400000000000000355e+00 1.869182000292670676e-01
8.442857142857143060e+00 1.704700725716780663e-01
8.485714285714285765e+00 1.492550143498745097e-01
8.528571428571428470e+00 1.240933567800897724e-01
8.571428571428571175e+00 9.593194116729594767e-02
8.614285714285713880e+00 6.580598436786375127e-02
8.657142857142856585e+00 3.479475988037777912e-02
8.699999999999999289e+00 3.973338830445487420e-03
8.742857142857143771e+00 -2.563669051798296919e-02
8.785714285714286476e+00 -5.311381729173882127e-02
8.828571428571429180e+00 -7.767656917433027330e-02
8.871428571428571885e+00 -9.871281040175351740e-02
8.914285714285714590e+00 -1.157958932228977389e-01
8.957142857142857295e+00 -1.286862688714664471e-01
9.000000000000000000e+00 -1.373198560792345813e-01
9.042857142857142705e+00 -1.417856052623529539e-01
9.085714285714285410e+00 -1.422954573566908576e-01
9.128571428571428115e+00 -1.391500556532292154e-01
9.171428571428570820e+00 -1.327023931945481849e-01
9.214285714285713524e+00 -1.233214353627397897e-01
9.257142857142858006e+00 -1.113580006749576717e-01
9.300000000000000711e+00 -9.712728178418998659e-02
9.342857142857143415e+00 -8.093880316541327002e-02
9.385714285714286120e+00 -6.311058078818956862e-02
9.428571428571428825e+00 -4.396982573792015264e-02
9.471428571428571530e+00 -2.386544581738790638e-02
9.514285714285714235e+00 -3.200489484445372644e-03
9.557142857142856940e+00 1.752598411260480188e-02
9.599999999999999645e+00 3.769535771349920988e-02
