# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.1544509700e+01 6.1084968000e-03 1.5744971800e-05 4.1614886571e+05 3.5263126559e+04 1.4678633785e-08 1.2443958788e-09
3.1576340700e+01 5.7190719200e-03 7.9690358400e-05 4.0782510525e+05 3.6783851328e+04 1.4023344435e-08 1.2798426257e-09
3.1608171700e+01 5.3227002500e-03 1.4392261500e-04 4.0014591003e+05 3.8154554515e+04 1.3301898424e-08 1.3183689662e-09
3.1640002700e+01 4.9224640500e-03 2.0795520000e-04 3.9322997119e+05 3.9249043668e+04 1.2518028662e-08 1.3567579770e-09
3.1671833700e+01 4.5214242400e-03 2.7133809400e-04 3.8725598217e+05 3.9965964317e+04 1.1675543951e-08 1.3938589125e-09
3.1703664700e+01 4.1224360300e-03 3.3360708800e-04 3.8220171118e+05 4.0313926508e+04 1.0786021908e-08 1.4339509271e-09
3.1735495700e+01 3.7282815500e-03 3.9433818300e-04 3.7814657363e+05 4.0281521345e+04 9.8593556308e-09 1.4800347845e-09
3.1767326600e+01 3.3415546400e-03 4.5309603200e-04 3.7498044398e+05 3.9938519376e+04 8.9112770910e-09 1.5365131946e-09
3.1799157600e+01 2.9647166400e-03 5.0945896100e-04 3.7271347310e+05 3.9313267863e+04 7.9544123140e-09 1.6038538015e-09
3.1830988600e+01 2.6000143700e-03 5.6303533800e-04 3.7119996053e+05 3.8476416529e+04 7.0043498018e-09 1.6816050272e-09
