# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 4 jobs
3.3104228163e+00 1.3154182021e+02 4.5319717608e+00
3.3231552118e+00 1.3284936090e+02 4.5460165460e+00
3.3358876072e+00 1.3417028901e+02 4.5545008306e+00
3.3486200027e+00 1.3550266427e+02 4.5568605222e+00
3.3613523981e+00 1.3684392775e+02 4.5523732705e+00
3.3740847935e+00 1.3819196990e+02 4.5403831925e+00
3.3868171890e+00 1.3954440711e+02 4.5201356064e+00
3.3995495844e+00 1.4089930111e+02 4.4908776846e+00
3.4122819799e+00 1.4225447780e+02 4.4519616601e+00
3.4250143753e+00 1.4360796828e+02 4.4027267095e+00
3.4377467708e+00 1.4495777368e+02 4.3426369221e+00
3.4504791662e+00 1.4630216914e+02 4.2711916459e+00
3.4632115617e+00 1.4763936444e+02 4.1881282973e+00
3.4759439571e+00 1.4896788036e+02 4.0932638022e+00
3.4886763526e+00 1.5028606903e+02 3.9867416111e+00
3.5014087480e+00 1.5159252312e+02 3.8688424503e+00
3.5141411435e+00 1.5288587515e+02 3.7403314372e+00
3.5268735389e+00 1.5416489568e+02 3.6022939226e+00
3.5396059344e+00 1.5542839309e+02 3.4563510279e+00
3.5523383298e+00 1.5667524490e+02 3.3046247038e+00
3.5650707253e+00 1.5790443932e+02 3.1502435621e+00
3.5778031207e+00 1.5911485850e+02 2.9969869871e+00
3.5905355162e+00 1.6030542656e+02 2.8498381524e+00
3.6032679116e+00 1.6147544550e+02 2.7149699400e+00
3.6160003070e+00 1.6262367161e+02 2.5996478282e+00
3.6287327025e+00 1.6374923964e+02 2.5119341081e+00
3.6414650979e+00 1.6485115360e+02 2.4600987898e+00
3.6541974934e+00 1.6592862141e+02 2.4511393152e+00
3.6669298888e+00 1.6698030479e+02 2.4895683876e+00
3.6796622843e+00 1.6800548913e+02 2.5764426646e+00
3.6923946797e+00 1.6900256402e+02 2.7091677735e+00
3.7051270752e+00 1.6997129680e+02 2.8825206992e+00
3.7178594706e+00 1.7091021175e+02 3.0901861836e+00
3.7305918661e+00 1.7181761291e+02 3.3243744615e+00
3.7433242615e+00 1.7269312513e+02 3.5786680314e+00
