# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 4 jobs
1.9989860852e+00 3.8656949364e-06 3.0542559364e-07
2.0117184807e+00 3.9242433151e-06 3.0619124146e-07
2.0244508761e+00 3.9820617295e-06 3.0631594856e-07
2.0371832716e+00 4.0390811879e-06 3.0572242205e-07
2.0499156670e+00 4.0952493166e-06 3.0434809713e-07
2.0626480625e+00 4.1505053764e-06 3.0212839247e-07
2.0753804579e+00 4.2047897623e-06 2.9900558408e-07
2.0881128534e+00 4.2580640751e-06 2.9493031524e-07
2.1008452488e+00 4.3102883203e-06 2.8986091225e-07
2.1135776443e+00 4.3614183987e-06 2.8376109236e-07
2.1263100397e+00 4.4114364753e-06 2.7660924711e-07
2.1390424352e+00 4.4603228424e-06 2.6838721334e-07
2.1517748306e+00 4.5080551945e-06 2.5909635792e-07
2.1645072260e+00 4.5546418793e-06 2.4873976158e-07
2.1772396215e+00 4.6000754675e-06 2.3734012415e-07
2.1899720169e+00 4.6443691134e-06 2.2493475141e-07
2.2027044124e+00 4.6875457551e-06 2.1157414258e-07
2.2154368078e+00 4.7296347006e-06 1.9732927012e-07
2.2281692033e+00 4.7706618591e-06 1.8230081369e-07
2.2409015987e+00 4.8106730739e-06 1.6662071528e-07
2.2536339942e+00 4.8497185354e-06 1.5046414125e-07
2.2663663896e+00 4.8878472008e-06 1.3408628526e-07
2.2790987851e+00 4.9251217498e-06 1.1785393849e-07
2.2918311805e+00 4.9616078859e-06 1.0233552287e-07
2.3045635760e+00 4.9973747362e-06 8.8422673045e-08
2.3172959714e+00 5.0324962020e-06 7.7499312922e-08
2.3300283669e+00 5.0670324345e-06 7.1399009617e-08
2.3427607623e+00 5.1010766280e-06 7.1694633251e-08
2.3554931578e+00 5.1346916398e-06 7.8483706365e-08
2.3682255532e+00 5.1679578957e-06 9.0355614745e-08
2.3809579487e+00 5.2009454749e-06 1.0554397361e-07
2.3936903441e+00 5.2337248751e-06 1.2268927183e-07
2.4064227395e+00 5.2663652116e-06 1.4088682117e-07
2.4191551350e+00 5.2989194176e-06 1.5954529472e-07
2.4318875304e+00 5.3314542610e-06 1.7826126723e-07
2.4446199259e+00 5.3640146052e-06 1.9675042769e-07
2.4573523213e+00 5.3966440850e-06 2.1478348287e-07
2.4700847168e+00 5.4293771583e-06 2.3218473746e-07
2.4828171122e+00 5.4622459312e-06 2.4880431290e-07
2.4955495077e+00 5.4952649196e-06 2.6451558603e-07
2.5082819031e+00 5.5284467316e-06 2.7920648701e-07
2.5210142986e+00 5.5617986547e-06 2.9278859937e-07
2.5337466940e+00 5.5953116560e-06 3.0517892305e-07
2.5464790895e+00 5.6289748667e-06 3.1631132515e-07
2.5592114849e+00 5.6627691026e-06 3.2613689627e-07
2.5719438804e+00 5.6966636877e-06 3.3460493692e-07
2.5846762758e+00 5.7306276736e-06 3.4169559877e-07
2.5974086713e+00 5.7646296402e-06 3.4738571353e-07
2.6101410667e+00 5.7986187121e-06 3.5167691500e-07
2.6228734622e+00 5.8325486392e-06 3.5456733184e-07
2.6356058576e+00 5.8663790064e-06 3.5608461306e-07
2.6483382530e+00 5.9000534668e-06 3.5625294934e-07
2.6610706485e+00 5.9335281444e-06 3.5512076454e-07
2.6738030439e+00 5.9667543314e-06 3.5273994063e-07
2.6865354394e+00 5.9996925445e-06 3.4917429837e-07
2.6992678348e+00 6.0322961889e-06 3.4450155093e-07
2.7120002303e+00 6.0645391804e-06 3.3880811325e-07
2.7247326257e+00 6.0963869239e-06 3.3219497826e-07
2.7374650212e+00 6.1278236946e-06 3.2476125820e-07
2.7501974166e+00 6.1588390131e-06 3.1663101283e-07
2.7629298121e+00 6.1894274261e-06 3.0792129206e-07
2.7756622075e+00 6.2196039608e-06 2.9877342513e-07
2.7883946030e+00 6.2493890483e-06 2.8932329000e-07
2.8011269984e+00 6.2788053486e-06 2.7972087270e-07
2.8138593939e+00 6.3079053251e-06 2.7011813193e-07
2.8265917893e+00 6.3367373356e-06 2.6067372770e-07
2.8393241848e+00 6.3653731984e-06 2.5154479295e-07
2.8520565802e+00 6.3938888576e-06 2.4288926673e-07
2.8647889757e+00 6.4223711751e-06 2.3485718594e-07
2.8775213711e+00 6.4509216434e-06 2.2758867553e-07
2.8902537665e+00 6.4796440273e-06 2.2120989968e-07
2.9029861620e+00 6.5086612107e-06 2.1582162268e-07
2.9157185574e+00 6.5380917710e-06 2.1149320850e-07
2.9284509529e+00 6.5680670001e-06 2.0826705980e-07
2.9411833483e+00 6.5987244897e-06 2.0613980932e-07
2.9539157438e+00 6.6301932385e-06 2.0508521277e-07
2.9666481392e+00 6.6626191821e-06 2.0503246041e-07
2.9793805347e+00 6.6961375777e-06 2.0589090766e-07
2.9921129301e+00 6.7308898293e-06 2.0754912812e-07
3.0048453256e+00 6.7670023301e-06 2.0988587202e-07
3.0175777210e+00 6.8046099895e-06 2.1278061146e-07
