# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
4.5836623610e+00 2.3460935836e-05
4.5963947565e+00 2.3592236135e-05
4.6091271519e+00 2.3722785062e-05
4.6218595474e+00 2.3852555046e-05
4.6345919428e+00 2.3981519762e-05
4.6473243383e+00 2.4109654347e-05
4.6600567337e+00 2.4236935663e-05
4.6727891292e+00 2.4363342512e-05
4.6855215246e+00 2.4488855854e-05
4.6982539201e+00 2.4613459018e-05
4.7109863155e+00 2.4737137880e-05
4.7237187110e+00 2.4859881022e-05
4.7364511064e+00 2.4981679842e-05
4.7491835019e+00 2.5102528665e-05
4.7619158973e+00 2.5222424812e-05
4.7746482928e+00 2.5341368634e-05
4.7873806882e+00 2.5459363523e-05
4.8001130837e+00 2.5576415884e-05
4.8128454791e+00 2.5692535082e-05
4.8255778745e+00 2.5807733346e-05
4.8383102700e+00 2.5922025634e-05
4.8510426654e+00 2.6035429476e-05
4.8637750609e+00 2.6147964798e-05
4.8765074563e+00 2.6259653710e-05
4.8892398518e+00 2.6370520272e-05
4.9019722472e+00 2.6480590212e-05
4.9147046427e+00 2.6589890649e-05
4.9274370381e+00 2.6698449805e-05
4.9401694336e+00 2.6806296689e-05
4.9529018290e+00 2.6913460769e-05
4.9656342245e+00 2.7019971650e-05
4.9783666199e+00 2.7125858743e-05
4.9910990154e+00 2.7231150932e-05
5.0038314108e+00 2.7335876256e-05
5.0165638063e+00 2.7440061594e-05
5.0292962017e+00 2.7543732358e-05
5.0420285972e+00 2.7646912218e-05
5.0547609926e+00 2.7749622831e-05
5.0674933880e+00 2.7851883602e-05
5.0802257835e+00 2.7953711469e-05
5.0929581789e+00 2.8055120719e-05
5.1056905744e+00 2.8156122829e-05
5.1184229698e+00 2.8256726346e-05
5.1311553653e+00 2.8356936797e-05
5.1438877607e+00 2.8456756638e-05
5.1566201562e+00 2.8556185231e-05
5.1693525516e+00 2.8655218873e-05
5.1820849471e+00 2.8753850844e-05
