# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
2.5592114849e+00 7.9839353891e+01
2.5719438804e+00 8.0998205682e+01
2.5846762758e+00 8.2163863958e+01
2.5974086713e+00 8.3336323383e+01
2.6101410667e+00 8.4515573861e+01
2.6228734622e+00 8.5701600096e+01
2.6356058576e+00 8.6894381279e+01
2.6483382530e+00 8.8093891009e+01
2.6610706485e+00 8.9300097363e+01
2.6738030439e+00 9.0512963121e+01
2.6865354394e+00 9.1732446221e+01
2.6992678348e+00 9.2958500396e+01
2.7120002303e+00 9.4191076005e+01
2.7247326257e+00 9.5430121041e+01
2.7374650212e+00 9.6675582234e+01
2.7501974166e+00 9.7927406358e+01
2.7629298121e+00 9.9185541706e+01
2.7756622075e+00 1.0044993960e+02
2.7883946030e+00 1.0172055607e+02
2.8011269984e+00 1.0299735348e+02
2.8138593939e+00 1.0428030237e+02
2.8265917893e+00 1.0556938312e+02
2.8393241848e+00 1.0686458774e+02
2.8520565802e+00 1.0816592156e+02
2.8647889757e+00 1.0947340488e+02
2.8775213711e+00 1.1078707451e+02
2.8902537665e+00 1.1210698518e+02
2.9029861620e+00 1.1343321087e+02
2.9157185574e+00 1.1476584581e+02
2.9284509529e+00 1.1610500543e+02
2.9411833483e+00 1.1745082710e+02
2.9539157438e+00 1.1880347056e+02
2.9666481392e+00 1.2016311826e+02
2.9793805347e+00 1.2152997529e+02
2.9921129301e+00 1.2290426914e+02
3.0048453256e+00 1.2428624921e+02
3.0175777210e+00 1.2567618611e+02
3.0303101165e+00 1.2707437060e+02
3.0430425119e+00 1.2848111243e+02
3.0557749074e+00 1.2989673886e+02
3.0685073028e+00 1.3132159304e+02
3.0812396983e+00 1.3275603213e+02
3.0939720937e+00 1.3420042532e+02
3.1067044892e+00 1.3565515169e+02
3.1194368846e+00 1.3712059790e+02
3.1321692800e+00 1.3859715580e+02
3.1449016755e+00 1.4008522008e+02
3.1576340709e+00 1.4158518575e+02
3.1703664664e+00 1.4309744563e+02
3.1830988618e+00 1.4462238798e+02
3.1958312573e+00 1.4616039410e+02
3.2085636527e+00 1.4771183591e+02
3.2212960482e+00 1.4927707380e+02
3.2340284436e+00 1.5085645449e+02
3.2467608391e+00 1.5245030899e+02
3.2594932345e+00 1.5405895091e+02
3.2722256300e+00 1.5568267473e+02
3.2849580254e+00 1.5732175442e+02
3.2976904209e+00 1.5897644214e+02
3.3104228163e+00 1.6064696723e+02
3.3231552118e+00 1.6233353531e+02
3.3358876072e+00 1.6403632761e+02
3.3486200027e+00 1.6575550060e+02
3.3613523981e+00 1.6749118567e+02
3.3740847935e+00 1.6924348911e+02
3.3868171890e+00 1.7101249207e+02
3.3995495844e+00 1.7279825094e+02
3.4122819799e+00 1.7460079761e+02
3.4250143753e+00 1.7642014002e+02
3.4377467708e+00 1.7825626280e+02
3.4504791662e+00 1.8010912787e+02
3.4632115617e+00 1.8197867514e+02
3.4759439571e+00 1.8386482340e+02
3.4886763526e+00 1.8576747108e+02
3.5014087480e+00 1.8768649695e+02
3.5141411435e+00 1.8962176103e+02
3.5268735389e+00 1.9157310533e+02
3.5396059344e+00 1.9354035458e+02
3.5523383298e+00 1.9552331683e+02
3.5650707253e+00 1.9752178398e+02
3.5778031207e+00 1.9953553247e+02
3.5905355162e+00 2.0156432385e+02
3.6032679116e+00 2.0360790490e+02
3.6160003070e+00 2.0566600801e+02
3.6287327025e+00 2.0773835157e+02
3.6414650979e+00 2.0982464020e+02
3.6541974934e+00 2.1192456488e+02
3.6669298888e+00 2.1403780292e+02
3.6796622843e+00 2.1616401815e+02
3.6923946797e+00 2.1830286134e+02
3.7051270752e+00 2.2045396979e+02
3.7178594706e+00 2.2261696769e+02
3.7305918661e+00 2.2479146662e+02
3.7433242615e+00 2.2697706548e+02
3.7560566570e+00 2.2917335071e+02
3.7687890524e+00 2.3137989685e+02
3.7815214479e+00 2.3359626694e+02
3.7942538433e+00 2.3582201304e+02
3.8069862388e+00 2.3805667740e+02
3.8197186342e+00 2.4029979306e+02
3.8324510297e+00 2.4255088477e+02
3.8451834251e+00 2.4480947009e+02
3.8579158205e+00 2.4707506076e+02
3.8706482160e+00 2.4934716419e+02
3.8833806114e+00 2.5162528507e+02
3.8961130069e+00 2.5390892676e+02
3.9088454023e+00 2.5619759295e+02
3.9215777978e+00 2.5849078942e+02
3.9343101932e+00 2.6078802625e+02
3.9470425887e+00 2.6308881968e+02
3.9597749841e+00 2.6539269365e+02
3.9725073796e+00 2.6769918185e+02
3.9852397750e+00 2.7000782945e+02
3.9979721705e+00 2.7231819478e+02
4.0107045659e+00 2.7462985109e+02
4.0234369614e+00 2.7694238829e+02
4.0361693568e+00 2.7925541401e+02
4.0489017523e+00 2.8156855492e+02
4.0616341477e+00 2.8388145782e+02
4.0743665432e+00 2.8619378989e+02
4.0870989386e+00 2.8850523944e+02
4.0998313340e+00 2.9081551645e+02
4.1125637295e+00 2.9312435245e+02
4.1252961249e+00 2.9543149986e+02
4.1380285204e+00 2.9773673135e+02
4.1507609158e+00 3.0003983912e+02
4.1634933113e+00 3.0234063377e+02
4.1762257067e+00 3.0463894279e+02
4.1889581022e+00 3.0693460907e+02
4.2016904976e+00 3.0922748857e+02
4.2144228931e+00 3.1151744797e+02
4.2271552885e+00 3.1380436272e+02
4.2398876840e+00 3.1608811475e+02
4.2526200794e+00 3.1836858956e+02
4.2653524749e+00 3.2064567315e+02
4.2780848703e+00 3.2291924957e+02
4.2908172658e+00 3.2518919827e+02
4.3035496612e+00 3.2745539115e+02
4.3162820567e+00 3.2971769023e+02
4.3290144521e+00 3.3197594481e+02
4.3417468475e+00 3.3422998921e+02
4.3544792430e+00 3.3647964068e+02
4.3672116384e+00 3.3872469708e+02
4.3799440339e+00 3.4096493563e+02
4.3926764293e+00 3.4320011146e+02
4.4054088248e+00 3.4542995694e+02
4.4181412202e+00 3.4765418091e+02
4.4308736157e+00 3.4987246819e+02
4.4436060111e+00 3.5208448001e+02
4.4563384066e+00 3.5428985429e+02
4.4690708020e+00 3.5648820712e+02
4.4818031975e+00 3.5867913406e+02
4.4945355929e+00 3.6086221171e+02
4.5072679884e+00 3.6303699999e+02
4.5200003838e+00 3.6520304480e+02
4.5327327793e+00 3.6735988105e+02
4.5454651747e+00 3.6950703565e+02
4.5581975702e+00 3.7164403075e+02
4.5709299656e+00 3.7377038800e+02
4.5836623610e+00 3.7588563208e+02
4.5963947565e+00 3.7798929480e+02
4.6091271519e+00 3.8008091920e+02
4.6218595474e+00 3.8216006356e+02
4.6345919428e+00 3.8422630610e+02
4.6473243383e+00 3.8627924849e+02
4.6600567337e+00 3.8831851999e+02
4.6727891292e+00 3.9034378099e+02
4.6855215246e+00 3.9235472642e+02
4.6982539201e+00 3.9435108921e+02
4.7109863155e+00 3.9633264304e+02
4.7237187110e+00 3.9829920498e+02
4.7364511064e+00 4.0025063721e+02
4.7491835019e+00 4.0218684882e+02
4.7619158973e+00 4.0410779687e+02
4.7746482928e+00 4.0601348700e+02
4.7873806882e+00 4.0790397353e+02
4.8001130837e+00 4.0977935911e+02
4.8128454791e+00 4.1163979377e+02
4.8255778745e+00 4.1348547344e+02
4.8383102700e+00 4.1531663776e+02
4.8510426654e+00 4.1713356762e+02
4.8637750609e+00 4.1893658225e+02
4.8765074563e+00 4.2072603590e+02
4.8892398518e+00 4.2250231407e+02
4.9019722472e+00 4.2426582891e+02
4.9147046427e+00 4.2601701498e+02
4.9274370381e+00 4.2775632442e+02
4.9401694336e+00 4.2948422199e+02
4.9529018290e+00 4.3120117984e+02
4.9656342245e+00 4.3290767229e+02
4.9783666199e+00 4.3460417055e+02
4.9910990154e+00 4.3629113740e+02
