# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1
1.4642254764e+00 2.2524034126e-06 1.9439742772e-06 1.3895565086e-06 1.0104973339e-06
1.4769578719e+00 2.2997966395e-06 1.9572005975e-06 1.4365118357e-06 1.0377442608e-06
1.4896902673e+00 2.3474830025e-06 1.9705854553e-06 1.4851772420e-06 1.0672969560e-06
1.5024226628e+00 2.3954228422e-06 1.9842274011e-06 1.5355493661e-06 1.0992046438e-06
1.5151550582e+00 2.4436377126e-06 1.9981778525e-06 1.5876004769e-06 1.1334984131e-06
1.5278874537e+00 2.4921069217e-06 2.0125233624e-06 1.6413112469e-06 1.1702248974e-06
1.5406198491e+00 2.5408365048e-06 2.0273204902e-06 1.6966522642e-06 1.2093987778e-06
1.5533522446e+00 2.5898195645e-06 2.0426266523e-06 1.7536016803e-06 1.2510235085e-06
1.5660846400e+00 2.6390457548e-06 2.0584864105e-06 1.8121107557e-06 1.2951224062e-06
1.5788170355e+00 2.6885271460e-06 2.0749306154e-06 1.8721652049e-06 1.3416652457e-06
1.5915494309e+00 2.7382628760e-06 2.0920089707e-06 1.9337053641e-06 1.3906425273e-06
1.6042818264e+00 2.7882408745e-06 2.1097240473e-06 1.9967135863e-06 1.4420447518e-06
1.6170142218e+00 2.8384697630e-06 2.1280998400e-06 2.0611302078e-06 1.4958201041e-06
1.6297466173e+00 2.8889469552e-06 2.1471457753e-06 2.1269367412e-06 1.5519271321e-06
1.6424790127e+00 2.9396569319e-06 2.1668687091e-06 2.1940642793e-06 1.6103200661e-06
1.6552114082e+00 2.9905910717e-06 2.1872703552e-06 2.2624943346e-06 1.6709514087e-06
1.6679438036e+00 3.0417450636e-06 2.2083412870e-06 2.3321605208e-06 1.7337443012e-06
1.6806761991e+00 3.0931033887e-06 2.2300772197e-06 2.4030309053e-06 1.7986296568e-06
1.6934085945e+00 3.1446496659e-06 2.2524790104e-06 2.4750592696e-06 1.8655262987e-06
1.7061409899e+00 3.1963459598e-06 2.2755295197e-06 2.5481851098e-06 1.9343599586e-06
1.7188733854e+00 3.2481741650e-06 2.2992338895e-06 2.6223605267e-06 2.0050261430e-06
1.7316057808e+00 3.3000963462e-06 2.3235724097e-06 2.6975258568e-06 2.0774410842e-06
1.7443381763e+00 3.3520840519e-06 2.3485579346e-06 2.7736340413e-06 2.1514830170e-06
1.7570705717e+00 3.4040821037e-06 2.3741930352e-06 2.8506111309e-06 2.2270629922e-06
1.7698029672e+00 3.4560568770e-06 2.4004819963e-06 2.9283823358e-06 2.3040557902e-06
1.7825353626e+00 3.5079325013e-06 2.4274393862e-06 3.0068888328e-06 2.3823370550e-06
1.7952677581e+00 3.5596693169e-06 2.4550874858e-06 3.0860457480e-06 2.4617755218e-06
1.8080001535e+00 3.6112069724e-06 2.4834614304e-06 3.1657530819e-06 2.5422589248e-06
1.8207325490e+00 3.6624626998e-06 2.5126049252e-06 3.2459217589e-06 2.6236292282e-06
1.8334649444e+00 3.7133839071e-06 2.5425402509e-06 3.3264484181e-06 2.7057560309e-06
1.8461973399e+00 3.7638973102e-06 2.5733462480e-06 3.4072229758e-06 2.7884743883e-06
1.8589297353e+00 3.8139175548e-06 2.6050777619e-06 3.4881168608e-06 2.8716513087e-06
1.8716621308e+00 3.8633842892e-06 2.6378042063e-06 3.5690048635e-06 2.9551045758e-06
1.8843945262e+00 3.9122242294e-06 2.6715924241e-06 3.6497542111e-06 3.0386908347e-06
1.8971269217e+00 3.9603615049e-06 2.7065469644e-06 3.7301909546e-06 3.1222321874e-06
1.9098593171e+00 4.0077374885e-06 2.7427475245e-06 3.8101655146e-06 3.2055576441e-06
1.9225917126e+00 4.0542702744e-06 2.7802952257e-06 3.8895266309e-06 3.2884858524e-06
1.9353241080e+00 4.0999046840e-06 2.8192834766e-06 3.9680810269e-06 3.3708605035e-06
1.9480565034e+00 4.1445993335e-06 2.8598211111e-06 4.0456606358e-06 3.4524795190e-06
1.9607888989e+00 4.1882826630e-06 2.9020178202e-06 4.1220721807e-06 3.5331727729e-06
1.9735212943e+00 4.2309331185e-06 2.9459541579e-06 4.1971223851e-06 3.6127606397e-06
1.9862536898e+00 4.2725153512e-06 2.9917586685e-06 4.2706095688e-06 3.6910704027e-06
1.9989860852e+00 4.3130052205e-06 3.0395170477e-06 4.3423488583e-06 3.7679086192e-06
2.0117184807e+00 4.3523941046e-06 3.0893235613e-06 4.4121469769e-06 3.8431086176e-06
2.0244508761e+00 4.3906897632e-06 3.1412639053e-06 4.4797938412e-06 3.9164994084e-06
2.0371832716e+00 4.4278844366e-06 3.1954237755e-06 4.5450961744e-06 3.9879203648e-06
2.0499156670e+00 4.4640246819e-06 3.2518717289e-06 4.6078943132e-06 4.0572065426e-06
2.0626480625e+00 4.4991467100e-06 3.3106591830e-06 4.6679949807e-06 4.1242206318e-06
2.0753804579e+00 4.5332936291e-06 3.3718289858e-06 4.7252301103e-06 4.1888063239e-06
2.0881128534e+00 4.5665335503e-06 3.4354154158e-06 4.7794568451e-06 4.2508504894e-06
2.1008452488e+00 4.5989371711e-06 3.5014356121e-06 4.8305491351e-06 4.3102313630e-06
2.1135776443e+00 4.6306010541e-06 3.5698810051e-06 4.8783557204e-06 4.3668358152e-06
2.1263100397e+00 4.6616226240e-06 3.6407344556e-06 4.9228009707e-06 4.4205878507e-06
2.1390424352e+00 4.6921096514e-06 3.7139702548e-06 4.9638008528e-06 4.4714106106e-06
2.1517748306e+00 4.7221828394e-06 3.7895035637e-06 5.0012881400e-06 4.5192462347e-06
2.1645072260e+00 4.7519723751e-06 3.8672923913e-06 5.0352460255e-06 4.5640567254e-06
2.1772396215e+00 4.7816084453e-06 3.9472219049e-06 5.0656492995e-06 4.6058222202e-06
2.1899720169e+00 4.8112393425e-06 4.0291781288e-06 5.0925231718e-06 4.6445358105e-06
2.2027044124e+00 4.8410030132e-06 4.1130385178e-06 5.1159172221e-06 4.6802242673e-06
2.2154368078e+00 4.8710486119e-06 4.1986582456e-06 5.1359020386e-06 4.7129299063e-06
2.2281692033e+00 4.9015149473e-06 4.2858573506e-06 5.1525818226e-06 4.7426933159e-06
2.2409015987e+00 4.9325563470e-06 4.3744490156e-06 5.1660826241e-06 4.7696043088e-06
2.2536339942e+00 4.9643124817e-06 4.4642498511e-06 5.1765573839e-06 4.7937544249e-06
2.2663663896e+00 4.9969049168e-06 4.5550336197e-06 5.1841943367e-06 4.8152559300e-06
2.2790987851e+00 5.0304715986e-06 4.6465835105e-06 5.1891918014e-06 4.8342400888e-06
2.2918311805e+00 5.0651211601e-06 4.7386527191e-06 5.1917892729e-06 4.8508683914e-06
2.3045635760e+00 5.1009699935e-06 4.8310055814e-06 5.1922270867e-06 4.8652962831e-06
2.3172959714e+00 5.1381112127e-06 4.9233781538e-06 5.1907825531e-06 4.8777128884e-06
2.3300283669e+00 5.1766017206e-06 5.0155064926e-06 5.1877254190e-06 4.8882961057e-06
2.3427607623e+00 5.2165260094e-06 5.1071429364e-06 5.1833800534e-06 4.8972575130e-06
2.3554931578e+00 5.2579168414e-06 5.1979995466e-06 5.1780388923e-06 4.9048112789e-06
2.3682255532e+00 5.3007957707e-06 5.2878278048e-06 5.1720347078e-06 4.9111732995e-06
2.3809579487e+00 5.3451748677e-06 5.3763483421e-06 5.1656759026e-06 4.9165827873e-06
