# freq_w_over_2pi_THz  kappa_z_avg_Wm-1K-1THz-1  std_Wm-1K-1THz-1  stderr_Wm-1K-1THz-1
4.01070457e+00 2.21202636e+01 2.75788538e+00 1.95011946e+00
4.04253555e+00 2.22126180e+01 2.86297287e+00 2.02442753e+00
4.07436654e+00 2.22976173e+01 2.96670209e+00 2.09777517e+00
4.10619753e+00 2.23750721e+01 3.06851900e+00 2.16977060e+00
4.13802852e+00 2.24446664e+01 3.16786958e+00 2.24002206e+00
4.16985951e+00 2.25062486e+01 3.26428914e+00 2.30820098e+00
4.20169050e+00 2.25595280e+01 3.35718791e+00 2.37389034e+00
4.23352149e+00 2.26043530e+01 3.44617271e+00 2.43681209e+00
4.26535247e+00 2.26405087e+01 3.53072525e+00 2.49659976e+00
4.29718346e+00 2.26678055e+01 3.61043447e+00 2.55296269e+00
4.32901445e+00 2.26861045e+01 3.68488931e+00 2.60561022e+00
4.36084544e+00 2.26952540e+01 3.75366085e+00 2.65423904e+00
4.39267643e+00 2.26951403e+01 3.81637378e+00 2.69858378e+00
4.42450742e+00 2.26856243e+01 3.87272427e+00 2.73842959e+00
4.45633841e+00 2.26666176e+01 3.92237274e+00 2.77353637e+00
4.48816940e+00 2.26380444e+01 3.96503326e+00 2.80370191e+00
4.52000038e+00 2.25998414e+01 4.00047348e+00 2.82876193e+00
4.55183137e+00 2.25519456e+01 4.02846107e+00 2.84855214e+00
4.58366236e+00 2.24943694e+01 4.04879943e+00 2.86293353e+00
4.61549335e+00 2.24270625e+01 4.06138133e+00 2.87183028e+00
4.64732434e+00 2.23500879e+01 4.06604593e+00 2.87512865e+00
4.67915533e+00 2.22634331e+01 4.06273961e+00 2.87279073e+00
4.71098632e+00 2.21671611e+01 4.05137300e+00 2.86475332e+00
4.74281730e+00 2.20613353e+01 4.03199973e+00 2.85105435e+00
4.77464829e+00 2.19460693e+01 4.00460192e+00 2.83168117e+00
4.80647928e+00 2.18214643e+01 3.96925106e+00 2.80668434e+00
4.83831027e+00 2.16876339e+01 3.92603651e+00 2.77612704e+00
4.87014126e+00 2.15447552e+01 3.87510124e+00 2.74011037e+00
4.90197225e+00 2.13929544e+01 3.81655250e+00 2.69871015e+00
4.93380324e+00 2.12324717e+01 3.75065835e+00 2.65211596e+00
4.96563422e+00 2.10635093e+01 3.67763327e+00 2.60047942e+00
4.99746521e+00 2.08862567e+01 3.59767384e+00 2.54393957e+00
5.02929620e+00 2.07010046e+01 3.51111964e+00 2.48273650e+00
5.06112719e+00 2.05080058e+01 3.41825661e+00 2.41707243e+00
5.09295818e+00 2.03075762e+01 3.31946007e+00 2.34721273e+00
5.12478917e+00 2.00999812e+01 3.21503384e+00 2.27337223e+00
5.15662016e+00 1.98855367e+01 3.10542473e+00 2.19586689e+00
5.18845114e+00 1.96646597e+01 2.99100804e+00 2.11496207e+00
5.22028213e+00 1.94376662e+01 2.87219484e+00 2.03094845e+00
5.25211312e+00 1.92049606e+01 2.74944979e+00 1.94415459e+00
5.28394411e+00 1.89669220e+01 2.62323757e+00 1.85490907e+00
5.31577510e+00 1.87239295e+01 2.49402285e+00 1.76354047e+00
5.34760609e+00 1.84764761e+01 2.36225242e+00 1.67036471e+00
5.37943708e+00 1.82249533e+01 2.22848034e+00 1.57577356e+00
5.41126807e+00 1.79698668e+01 2.09313551e+00 1.48007031e+00
5.44309905e+00 1.77116336e+01 1.95677198e+00 1.38364674e+00
5.47493004e+00 1.74507845e+01 1.81985442e+00 1.28683140e+00
5.50676103e+00 1.71877870e+01 1.68293686e+00 1.19001606e+00
5.53859202e+00 1.69231466e+01 1.54641248e+00 1.09347875e+00
5.57042301e+00 1.66573435e+01 1.41088893e+00 9.97649131e-01
5.60225400e+00 1.63909592e+01 1.27679515e+00 9.02830507e-01
5.63408499e+00 1.61244738e+01 1.14459580e+00 8.09351451e-01
5.66591597e+00 1.58584053e+01 1.01480917e+00 7.17578448e-01
5.69774696e+00 1.55933353e+01 8.87864198e-01 6.27814795e-01
5.72957795e+00 1.53297564e+01 7.64171931e-01 5.40351155e-01
5.76140894e+00 1.50681996e+01 6.44161301e-01 4.55490824e-01
5.79323993e+00 1.48092334e+01 5.28279108e-01 3.73549740e-01
5.82507092e+00 1.45533508e+01 4.16864921e-01 2.94768013e-01
5.85690191e+00 1.43011077e+01 3.10276180e-01 2.19398391e-01
5.88873289e+00 1.40530223e+01 2.08888197e-01 1.47706261e-01
5.92056388e+00 1.38096002e+01 1.12986925e-01 7.98938210e-02
5.95239487e+00 1.35713341e+01 2.28404446e-02 1.61506332e-02
5.98422586e+00 1.33387423e+01 6.12474206e-02 4.33084664e-02
6.01605685e+00 1.31122922e+01 1.39080078e-01 9.83444662e-02
6.04788784e+00 1.28924515e+01 2.10425191e-01 1.48793080e-01
6.07971883e+00 1.26796878e+01 2.75086168e-01 1.94515295e-01
6.11154981e+00 1.24744306e+01 3.32991520e-01 2.35460562e-01
6.14338080e+00 1.22770719e+01 3.83944656e-01 2.71489870e-01
6.17521179e+00 1.20880666e+01 4.27874087e-01 3.02552668e-01
6.20704278e+00 1.19077431e+01 4.64744069e-01 3.28623683e-01
6.23887377e+00 1.17364933e+01 4.94536730e-01 3.49690275e-01
6.27070476e+00 1.15746205e+01 5.17216327e-01 3.65727172e-01
6.30253575e+00 1.14224406e+01 5.32800730e-01 3.76747009e-01
6.33436674e+00 1.12802442e+01 5.41415045e-01 3.82838250e-01
6.36619772e+00 1.11482463e+01 5.43077143e-01 3.84013530e-01
6.39802871e+00 1.10267248e+01 5.37930000e-01 3.80373951e-01
6.42985970e+00 1.09158061e+01 5.26116594e-01 3.72020611e-01
6.46169069e+00 1.08157176e+01 5.07779899e-01 3.59054610e-01
6.49352168e+00 1.07265479e+01 4.83116508e-01 3.41614959e-01
6.52535267e+00 1.06483981e+01 4.52340885e-01 3.19853308e-01
6.55718366e+00 1.05813818e+01 4.15685368e-01 2.93933942e-01
6.58901464e+00 1.05254865e+01 3.73418035e-01 2.64046425e-01
6.62084563e+00 1.04807373e+01 3.25789095e-01 2.30367678e-01
6.65267662e+00 1.04470586e+01 2.73120245e-01 1.93125178e-01
6.68450761e+00 1.04244376e+01 2.15643822e-01 1.52483209e-01
6.71633860e+00 1.04127606e+01 1.53770880e-01 1.08732432e-01
6.74816959e+00 1.04118886e+01 8.77695017e-02 6.20624098e-02
6.78000058e+00 1.04216826e+01 1.80507426e-02 1.27638025e-02
6.81183156e+00 1.04418899e+01 5.51351889e-02 3.89864660e-02
6.84366255e+00 1.04723334e+01 1.31323620e-01 9.28598223e-02
6.87549354e+00 1.05127606e+01 2.10192855e-01 1.48628793e-01
6.90732453e+00 1.05628301e+01 2.91403324e-01 2.06053267e-01
6.93915552e+00 1.06222765e+01 3.74508228e-01 2.64817308e-01
6.97098651e+00 1.06907208e+01 4.59185870e-01 3.24693443e-01
7.00281750e+00 1.07677965e+01 5.45060937e-01 3.85416285e-01
7.03464848e+00 1.08530992e+01 6.31740246e-01 4.46707812e-01
7.06647947e+00 1.09462244e+01 7.18866355e-01 5.08315274e-01
7.09831046e+00 1.10467046e+01 8.06099696e-01 5.69998561e-01
7.13014145e+00 1.11540848e+01 8.93047084e-01 6.31479649e-01
7.16197244e+00 1.12678722e+01 9.79404696e-01 6.92543702e-01
7.19380343e+00 1.13875865e+01 1.06481509e+00 7.52937972e-01
7.22563442e+00 1.15126465e+01 1.14895657e+00 8.12434984e-01
7.25746540e+00 1.16425719e+01 1.23150744e+00 8.70807264e-01
7.28929639e+00 1.17768193e+01 1.31216388e+00 9.27839978e-01
7.32112738e+00 1.19147948e+01 1.39065780e+00 9.83343562e-01
7.35295837e+00 1.20559422e+01 1.46670326e+00 1.03711582e+00
7.38478936e+00 1.21997435e+01 1.54006791e+00 1.08899246e+00
7.41662035e+00 1.23455415e+01 1.61050155e+00 1.13879657e+00
7.44845134e+00 1.24928434e+01 1.67777184e+00 1.18636385e+00
7.48028233e+00 1.26410172e+01 1.74170007e+00 1.23156793e+00
7.51211331e+00 1.27895070e+01 1.80210750e+00 1.27428243e+00
7.54394430e+00 1.29377567e+01 1.85877968e+00 1.31435572e+00
7.57577529e+00 1.30851849e+01 1.91164513e+00 1.35173723e+00
7.60760628e+00 1.32312609e+01 1.96048936e+00 1.38627532e+00
7.63943727e+00 1.33754414e+01 2.00525878e+00 1.41793208e+00
7.67126826e+00 1.35171954e+01 2.04584614e+00 1.44663168e+00
7.70309925e+00 1.36560175e+01 2.08221571e+00 1.47234885e+00
7.73493023e+00 1.37914023e+01 2.11422450e+00 1.49498248e+00
7.76676122e+00 1.39228695e+01 2.14194401e+00 1.51458313e+00
7.79859221e+00 1.40499767e+01 2.16528487e+00 1.53108761e+00
7.83042320e+00 1.41722944e+01 2.18424708e+00 1.54449592e+00
7.86225419e+00 1.42893802e+01 2.19888427e+00 1.55484598e+00
7.89408518e+00 1.44008549e+01 2.20919643e+00 1.56213777e+00
7.92591617e+00 1.45063901e+01 2.21525504e+00 1.56642186e+00
7.95774715e+00 1.46056192e+01 2.21704224e+00 1.56768560e+00
7.98957814e+00 1.46982515e+01 2.21475462e+00 1.56606801e+00
8.02140913e+00 1.47839965e+01 2.20837431e+00 1.56155645e+00
8.05324012e+00 1.48626013e+01 2.19808003e+00 1.55427729e+00
8.08507111e+00 1.49338764e+01 2.18392539e+00 1.54426845e+00
8.11690210e+00 1.49975943e+01 2.16601762e+00 1.53160575e+00
