# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
9.549296585513720181e-01 1.641690000000000094e-01 -8.744359999999999633e-03 1.554246400000000028e-01 1.246721086202676708e-02 9.074114833498831247e-06 7.588857924132376567e-06 3.240796176049865313e-06
9.676620539987237368e-01 1.901889999999999969e-01 -2.913100000000000064e-02 1.610580000000000067e-01 1.291908443227732239e-02 9.403005770858821930e-06 7.646461707384816047e-06 3.337787233207504226e-06
9.803944494460753445e-01 2.093919999999999948e-01 -4.406390000000000307e-02 1.653280999999999779e-01 1.326160565093312954e-02 9.652305867359114972e-06 7.706865462795564823e-06 3.435529549689156499e-06
9.931268448934269522e-01 2.172590000000000077e-01 -5.119950000000000195e-02 1.660594999999999988e-01 1.332027407071834958e-02 9.695006996274203940e-06 7.786951539500077890e-06 3.534166252220220471e-06
1.005859240340778671e+00 2.108669999999999989e-01 -4.793929999999999719e-02 1.629277000000000086e-01 1.306906029291776856e-02 9.512163961633417366e-06 7.898890846545246884e-06 3.634025426312200642e-06
1.018591635788130167e+00 1.900169999999999915e-01 -3.198440000000000311e-02 1.580325999999999953e-01 1.267640540955624132e-02 9.226374658718126875e-06 8.048655873651929953e-06 3.735550661940532604e-06
1.031324031235481886e+00 1.575400000000000134e-01 -2.218920000000000094e-03 1.553210800000000003e-01 1.245890391431968974e-02 9.068068717952693076e-06 8.236306616301058053e-06 3.839223953074218280e-06
1.044056426682833383e+00 1.186330000000000023e-01 4.038030000000000092e-02 1.590132999999999963e-01 1.275507114551927522e-02 9.283630602288027819e-06 8.457640685568228048e-06 3.945500922386541284e-06
1.056788822130185101e+00 7.945330000000000448e-02 9.220050000000000467e-02 1.716538000000000230e-01 1.376901448745945777e-02 1.002161750419008253e-05 8.706432424560568172e-06 4.054770805549249614e-06
1.069521217577536598e+00 4.548510000000000053e-02 1.471419999999999950e-01 1.926270999999999955e-01 1.545136391141530875e-02 1.124609602083596832e-05 8.976423094764879500e-06 4.167343360104466749e-06
1.082253613024888317e+00 2.030840000000000076e-02 1.975810000000000066e-01 2.178894000000000108e-01 1.747775059604767672e-02 1.272097806758414103e-05 9.262462056107902090e-06 4.283455709234338337e-06
1.094986008472240036e+00 5.191020000000000183e-03 2.359779999999999933e-01 2.411690199999999840e-01 1.934509885773806961e-02 1.408010584269248745e-05 9.560600161983344737e-06 4.403287045079760181e-06
1.107718403919591532e+00 -4.166700000000000069e-04 2.567180000000000017e-01 2.563013299999999939e-01 2.055891990695881202e-02 1.496357141569367122e-05 9.867359853733729286e-06 4.526969279907481529e-06
1.120450799366943251e+00 2.203099999999999937e-03 2.576160000000000116e-01 2.598191000000000250e-01 2.084109382966574039e-02 1.516894843273445303e-05 1.017867940435131527e-05 4.654586329401019427e-06
1.133183194814294747e+00 1.215289999999999947e-02 2.406069999999999875e-01 2.527598999999999818e-01 2.027484812424078589e-02 1.475681306325484464e-05 1.048907783733844816e-05 4.786161358506547540e-06
1.145915590261646466e+00 2.952230000000000132e-02 2.113250000000000128e-01 2.408473000000000142e-01 1.931929245356347330e-02 1.406132295071195573e-05 1.079144020543050171e-05 4.921637344029066324e-06
1.158647985708998185e+00 5.517740000000000145e-02 1.776570000000000094e-01 2.328343999999999969e-01 1.867654678649077402e-02 1.359350797137957470e-05 1.107755639383058795e-05 5.060859700398357093e-06
1.171380381156349682e+00 8.982539999999999969e-02 1.476530000000000065e-01 2.374784000000000062e-01 1.904905996872013202e-02 1.386463737072557607e-05 1.133927368779246704e-05 5.203569673036011638e-06
1.184112776603701400e+00 1.327849999999999864e-01 1.274079999999999935e-01 2.601930000000000076e-01 2.087108579323928778e-02 1.519077773558016136e-05 1.156995512697878832e-05 5.349414353367778162e-06
1.196845172051052897e+00 1.810470000000000135e-01 1.195390000000000064e-01 3.005860000000000198e-01 2.411116438277211352e-02 1.754903135913378967e-05 1.176588774315881146e-05 5.497974943127702897e-06
1.209577567498404616e+00 2.291219999999999923e-01 1.227120000000000016e-01 3.518339999999999801e-01 2.822196446091382663e-02 2.054102951970310719e-05 1.192731743745585086e-05 5.648810572015116832e-06
1.222309962945756112e+00 2.698420000000000263e-01 1.323360000000000092e-01 4.021780000000000355e-01 3.226025120642519312e-02 2.348024969211376874e-05 1.205891664335808253e-05 5.801511680819948513e-06
1.235042358393107831e+00 2.959289999999999976e-01 1.421830000000000038e-01 4.381120000000000014e-01 3.514265617848155027e-02 2.557817472142023533e-05 1.216959335738590637e-05 5.955755166034742753e-06
1.247774753840459550e+00 3.018149999999999999e-01 1.464169999999999916e-01 4.482319999999999638e-01 3.595442047739651897e-02 2.616900795169188639e-05 1.227163175686340266e-05 6.111352837720926221e-06
1.260507149287811046e+00 2.851279999999999926e-01 1.413800000000000057e-01 4.265079999999999982e-01 3.421185450608933698e-02 2.490070151943681869e-05 1.237924164919233300e-05 6.268285171885177674e-06
1.273239544735162765e+00 2.473470000000000113e-01 1.266079999999999983e-01 3.739550000000000374e-01 2.999637533604208525e-02 2.183251389587298591e-05 1.250666901016488350e-05 6.426713799676378252e-06
1.285971940182514484e+00 1.934659999999999991e-01 1.047749999999999931e-01 2.982409999999999783e-01 2.392306287279626423e-02 1.741212385666471657e-05 1.266611028115662155e-05 6.586968689899383842e-06
1.298704335629865980e+00 1.308090000000000086e-01 8.064490000000000547e-02 2.114539000000000279e-01 1.696153427730585223e-02 1.234525600697018822e-05 1.286575823555940844e-05 6.749509613131690288e-06
1.311436731077217699e+00 6.739779999999999383e-02 5.940449999999999897e-02 1.268022999999999789e-01 1.017130238738192700e-02 7.403064477754420164e-06 1.310837535919434474e-05 6.914866083297064153e-06
1.324169126524569196e+00 1.036819999999999929e-02 4.494549999999999934e-02 5.531370000000000037e-02 4.436925583092166114e-03 3.229364827003648535e-06 1.339072511003151830e-05 7.083564596383705222e-06
1.336901521971920914e+00 -3.514269999999999894e-02 3.866750000000000048e-02 3.524800000000001543e-03 2.827378261675366996e-04 2.057874476345365694e-07 1.370407100382673270e-05 7.256055425727211090e-06
1.349633917419272633e+00 -6.643060000000000631e-02 3.918590000000000267e-02 -2.724470000000000364e-02 -2.185402647692545348e-03 -1.590619971223518005e-06 1.403570624165442212e-05 7.432652332482668480e-06
1.362366312866624130e+00 -8.299349999999999783e-02 4.302650000000000224e-02 -3.996699999999999559e-02 -3.205907483669408805e-03 -2.333382580461166124e-06 1.437121121401431143e-05 7.613496385725592084e-06
1.375098708313975848e+00 -8.584459999999999313e-02 4.606260000000000215e-02 -3.978199999999999098e-02 -3.191067918916516352e-03 -2.322581775362326459e-06 1.469694430464040904e-05 7.798550011219906907e-06
1.387831103761327567e+00 -7.668060000000000154e-02 4.520430000000000281e-02 -3.147629999999999872e-02 -2.524835632602482564e-03 -1.837672332608647389e-06 1.500218592401409578e-05 7.987620546476720487e-06
1.400563499208679064e+00 -5.720680000000000209e-02 3.976249999999999923e-02 -1.744430000000000286e-02 -1.399274699561495368e-03 -1.018445861544242265e-06 1.528046902288449820e-05 8.180405915466523750e-06
1.413295894656030782e+00 -2.883250000000000049e-02 3.200540000000000329e-02 3.172900000000002801e-03 2.545105675916300558e-04 1.852425648546361199e-07 1.552985158065594006e-05 8.376550508358505866e-06
1.426028290103382501e+00 7.204559999999999610e-03 2.667670000000000111e-02 3.388126000000000332e-02 2.717746765835540000e-03 1.978080463584349952e-06 1.575220809916361075e-05 8.575698285484065282e-06
1.438760685550733776e+00 4.938109999999999722e-02 2.957239999999999869e-02 7.895349999999999591e-02 6.333165274148489475e-03 4.609520893898483378e-06 1.595186599597194754e-05 8.777532689819760733e-06
1.451493080998085494e+00 9.533619999999999595e-02 4.557479999999999865e-02 1.409110000000000085e-01 1.130301572375560192e-02 8.226768904230074916e-06 1.613406416156438922e-05 8.981798065350691328e-06
1.464225476445436991e+00 1.415200000000000069e-01 7.673449999999999716e-02 2.182545000000000179e-01 1.750703667762216684e-02 1.274229360240352590e-05 1.630367160003559377e-05 9.188303104917384975e-06
1.476957871892788710e+00 1.833069999999999977e-01 1.210050000000000014e-01 3.043120000000000269e-01 2.441004123828171765e-02 1.776656541209744412e-05 1.646445792820605975e-05 9.396911496529192266e-06
1.489690267340140206e+00 2.156929999999999958e-01 1.720679999999999987e-01 3.877610000000000223e-01 3.110380793592548709e-02 2.263854586989772746e-05 1.661894666733559214e-05 9.607526991556773492e-06
1.502422662787491925e+00 2.344729999999999870e-01 2.203980000000000106e-01 4.548710000000000253e-01 3.648696031736652773e-02 2.655661089791456521e-05 1.676870099479537248e-05 9.820079358102323366e-06
1.515155058234843644e+00 2.375750000000000084e-01 2.553449999999999886e-01 4.929200000000000248e-01 3.953901761078703475e-02 2.877801540172938587e-05 1.691476551058059181e-05 1.003451496589436027e-05
1.527887453682195140e+00 2.260689999999999922e-01 2.677359999999999740e-01 4.938049999999999384e-01 3.961000688001031778e-02 2.882968411801301346e-05 1.705801967826683021e-05 1.025079243363052640e-05
1.540619849129546859e+00 2.043969999999999954e-01 2.523059999999999747e-01 4.567029999999999701e-01 3.663391211535192010e-02 2.666356805975820401e-05 1.719933143517578180e-05 1.046888150430808926e-05
1.553352244576898578e+00 1.795730000000000104e-01 2.093059999999999921e-01 3.888789999999999747e-01 3.119348703535106820e-02 2.270381776233287215e-05 1.733955923866106063e-05 1.068876291149415805e-05
1.566084640024250074e+00 1.594559999999999866e-01 1.448250000000000093e-01 3.042810000000000237e-01 2.440755460851231143e-02 1.776475554745926078e-05 1.747956599703689729e-05 1.091042834731003882e-05
1.578817035471601793e+00 1.505569999999999964e-01 6.968280000000000307e-02 2.202397999999999856e-01 1.766628526088658002e-02 1.285820083679663708e-05 1.762041803329853293e-05 1.113388178574501940e-05
