# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
1.5278874500e+01 1.7359987100e-01 6.6236265300e-02 2.1020334228e+07 1.3460175616e+06 8.2586636879e-09 3.1951253141e-09
1.5310705500e+01 1.7700157600e-01 6.6396746000e-02 2.1228106053e+07 1.3197896163e+06 8.3380766780e-09 3.1704431805e-09
1.5342536500e+01 1.8038206900e-01 6.6553055900e-02 2.1411584399e+07 1.3477330315e+06 8.4245082307e-09 3.1531813220e-09
1.5374367500e+01 1.8373218800e-01 6.6705076200e-02 2.1579058757e+07 1.4327108311e+06 8.5143745179e-09 3.1424591756e-09
1.5406198500e+01 1.8704524100e-01 6.6853897200e-02 2.1742054799e+07 1.5596441828e+06 8.6029238143e-09 3.1361821121e-09
1.5438029500e+01 1.9031218700e-01 6.6998735500e-02 2.1911992118e+07 1.7159194368e+06 8.6852982594e-09 3.1323611932e-09
1.5469860500e+01 1.9352584700e-01 6.7139707200e-02 2.2098990207e+07 1.8850310414e+06 8.7572257914e-09 3.1286179802e-09
1.5501691500e+01 1.9667892500e-01 6.7276666700e-02 2.2315451014e+07 2.0555061590e+06 8.8135760677e-09 3.1221946886e-09
1.5533522400e+01 1.9976395900e-01 6.7408761000e-02 2.2568197046e+07 2.2185680635e+06 8.8515692498e-09 3.1110593544e-09
1.5565353400e+01 2.0277312800e-01 6.7534850500e-02 2.2868377831e+07 2.3671073116e+06 8.8669659695e-09 3.0925350679e-09
1.5597184400e+01 2.0570012600e-01 6.7654326400e-02 2.3217994787e+07 2.4983658338e+06 8.8595129719e-09 3.0658595555e-09
1.5629015400e+01 2.0853700600e-01 6.7765034500e-02 2.3624726183e+07 2.6085980562e+06 8.8270655239e-09 3.0294660905e-09
1.5660846400e+01 2.1127919700e-01 6.7866726800e-02 2.4085156573e+07 2.6985655264e+06 8.7721745283e-09 2.9842765621e-09
1.5692677400e+01 2.1391857400e-01 6.7956618200e-02 2.4602018477e+07 2.7666791834e+06 8.6951635371e-09 2.9302079084e-09
1.5724508400e+01 2.1644898600e-01 6.8032965900e-02 2.5166885524e+07 2.8153237008e+06 8.6005471672e-09 2.8693801239e-09
1.5756339400e+01 2.1886665800e-01 6.8094799500e-02 2.5776896403e+07 2.8439727515e+06 8.4908072164e-09 2.8028833245e-09
1.5788170400e+01 2.2116447800e-01 6.8139050900e-02 2.6420423485e+07 2.8553324407e+06 8.3709664278e-09 2.7330988952e-09
1.5820001300e+01 2.2333774900e-01 6.8163792000e-02 2.7089783649e+07 2.8492819220e+06 8.2443533657e-09 2.6614420177e-09
1.5851832300e+01 2.2538265600e-01 6.8167353000e-02 2.7772607188e+07 2.8283931980e+06 8.1152862052e-09 2.5898903740e-09
1.5883663300e+01 2.2729500000e-01 6.8147618600e-02 2.8458440120e+07 2.7929192530e+06 7.9869100006e-09 2.5196597330e-09
1.5915494300e+01 2.2906899300e-01 6.8101185200e-02 2.9136989855e+07 2.7456975559e+06 7.8617933473e-09 2.4518800710e-09
1.5947325300e+01 2.3070343600e-01 6.8027097600e-02 2.9798024080e+07 2.6881183493e+06 7.7422393976e-09 2.3873896566e-09
1.5979156300e+01 2.3219361600e-01 6.7922358100e-02 3.0435806294e+07 2.6237953353e+06 7.6289622083e-09 2.3265509567e-09
1.6010987300e+01 2.3353732200e-01 6.7785025200e-02 3.1043401167e+07 2.5560172269e+06 7.5229296153e-09 2.2697123566e-09
1.6042818300e+01 2.3473202100e-01 6.7612986800e-02 3.1621147442e+07 2.4891169250e+06 7.4232606970e-09 2.2166269897e-09
1.6074649300e+01 2.3577639000e-01 6.7404580300e-02 3.2167820677e+07 2.4279060532e+06 7.3295730030e-09 2.1672004266e-09
1.6106480200e+01 2.3666820700e-01 6.7157469400e-02 3.2689865702e+07 2.3760100556e+06 7.2398035880e-09 2.1207040533e-09
1.6138311200e+01 2.3740711800e-01 6.6870558100e-02 3.3192853648e+07 2.3376547278e+06 7.1523563630e-09 2.0766247968e-09
1.6170142200e+01 2.3799175000e-01 6.6541744200e-02 3.3687782805e+07 2.3135333470e+06 7.0646308597e-09 2.0339605567e-09
1.6201973200e+01 2.3842263000e-01 6.6170209800e-02 3.4186472529e+07 2.3047098205e+06 6.9741804978e-09 1.9918533755e-09
1.6233804200e+01 2.3869940900e-01 6.5754746100e-02 3.4701502613e+07 2.3081664536e+06 6.8786476385e-09 1.9493225540e-09
1.6265635200e+01 2.3882256000e-01 6.5294171000e-02 3.5248789867e+07 2.3215307092e+06 6.7753406827e-09 1.9053705962e-09
1.6297466200e+01 2.3879324100e-01 6.4788117000e-02 3.5838967588e+07 2.3402713627e+06 6.6629497742e-09 1.8593773965e-09
1.6329297200e+01 2.3861246300e-01 6.4235926300e-02 3.6488481783e+07 2.3608987817e+06 6.5393913734e-09 1.8105771275e-09
1.6361128100e+01 2.3828224700e-01 6.3638073800e-02 3.7202791332e+07 2.3803050648e+06 6.4049561463e-09 1.7589756991e-09
1.6392959100e+01 2.3780493100e-01 6.2994970200e-02 3.7994867027e+07 2.3963487179e+06 6.2588699371e-09 1.7043313738e-09
1.6424790100e+01 2.3718190600e-01 6.2306310400e-02 3.8862460826e+07 2.4084982291e+06 6.1031108416e-09 1.6472649255e-09
1.6456621100e+01 2.3641614100e-01 6.1573458800e-02 3.9811294200e+07 2.4167603592e+06 5.9384188771e-09 1.5880898614e-09
1.6488452100e+01 2.3551073300e-01 6.0797374200e-02 4.0830403416e+07 2.4225023294e+06 5.7680236612e-09 1.5278424665e-09
1.6520283100e+01 2.3446940900e-01 5.9980217200e-02 4.1915380216e+07 2.4271238552e+06 5.5938752742e-09 1.4671860157e-09
1.6552114100e+01 2.3329507600e-01 5.9123615500e-02 4.3047155995e+07 2.4322084636e+06 5.4195235576e-09 1.4071817515e-09
1.6583945100e+01 2.3199177800e-01 5.8229945700e-02 4.4209549621e+07 2.4389901779e+06 5.2475490021e-09 1.3485754051e-09
1.6615776100e+01 2.3056324300e-01 5.7301603800e-02 4.5377753940e+07 2.4477354926e+06 5.0809752132e-09 1.2921692618e-09
1.6647607000e+01 2.2901376800e-01 5.6342257400e-02 4.6524063395e+07 2.4580724134e+06 4.9224799231e-09 1.2386464017e-09
1.6679438000e+01 2.2734771200e-01 5.5354436700e-02 4.7621489758e+07 2.4684608121e+06 4.7740571149e-09 1.1884332713e-09
1.6711269000e+01 2.2556938600e-01 5.4342835300e-02 4.8632858353e+07 2.4765147749e+06 4.6382095077e-09 1.1420991640e-09
1.6743100000e+01 2.2368376800e-01 5.3311122900e-02 4.9533614155e+07 2.4796978700e+06 4.5157974401e-09 1.0997473420e-09
1.6774931000e+01 2.2169543300e-01 5.2263719400e-02 5.0281343479e+07 2.4745308797e+06 4.4090992336e-09 1.0618331138e-09
1.6806762000e+01 2.1960798300e-01 5.1205329700e-02 5.0859099963e+07 2.4589681156e+06 4.3179683313e-09 1.0282245005e-09
1.6838593000e+01 2.1742834800e-01 5.0141328400e-02 5.1225204789e+07 2.4300003674e+06 4.2445579065e-09 9.9933582218e-10
1.6870424000e+01 2.1515986100e-01 4.9077095000e-02 5.1375189107e+07 2.3876082207e+06 4.1880110757e-09 9.7489481605e-10
1.6902255000e+01 2.1280771300e-01 4.8017538900e-02 5.1275312494e+07 2.3308946964e+06 4.1502957788e-09 9.5528092076e-10
1.6934085900e+01 2.1037758000e-01 4.6969356300e-02 5.0937536258e+07 2.2626693014e+06 4.1301090602e-09 9.4017083995e-10
1.6965916900e+01 2.0787260100e-01 4.5937764300e-02 5.0343512507e+07 2.1855926085e+06 4.1290841789e-09 9.2992729181e-10
1.6997747900e+01 2.0529919100e-01 4.4929034000e-02 4.9523242893e+07 2.1053623831e+06 4.1455118649e-09 9.2419038821e-10
1.7029578900e+01 2.0266044600e-01 4.3948559000e-02 4.8479690509e+07 2.0291611313e+06 4.1803164144e-09 9.2326668795e-10
1.7061409900e+01 1.9996188700e-01 4.3002457500e-02 4.7259355750e+07 1.9649274550e+06 4.2311598164e-09 9.2677468511e-10
1.7093240900e+01 1.9720687000e-01 4.2095913900e-02 4.5889263611e+07 1.9236796185e+06 4.2974511788e-09 9.3485866610e-10
1.7125071900e+01 1.9440073600e-01 4.1234515100e-02 4.4427012989e+07 1.9123964114e+06 4.3757327563e-09 9.4706036268e-10
1.7156902900e+01 1.9154725600e-01 4.0423125300e-02 4.2921762151e+07 1.9407504158e+06 4.4627071770e-09 9.6316085482e-10
1.7188733900e+01 1.8864941800e-01 3.9665410500e-02 4.1433024700e+07 2.0084232526e+06 4.5531172142e-09 9.8244999498e-10
1.7220564800e+01 1.8571185400e-01 3.8965390100e-02 4.0024964540e+07 2.1163933642e+06 4.6399005255e-09 1.0039663546e-09
1.7252395800e+01 1.8273745800e-01 3.8325708300e-02 3.8747787878e+07 2.2551434176e+06 4.7160745944e-09 1.0264847612e-09
1.7284226800e+01 1.7972931400e-01 3.7748096800e-02 3.7668851664e+07 2.4169137691e+06 4.7712979308e-09 1.0478222798e-09
1.7316057800e+01 1.7669099800e-01 3.7234002100e-02 3.6817997688e+07 2.5888445908e+06 4.7990387608e-09 1.0661112247e-09
1.7347888800e+01 1.7362457100e-01 3.6783050900e-02 3.6252168926e+07 2.7592788544e+06 4.7893567790e-09 1.0781411007e-09
1.7379719800e+01 1.7053320900e-01 3.6394949500e-02 3.5972911034e+07 2.9172001638e+06 4.7406007493e-09 1.0823090605e-09
1.7411550800e+01 1.6741852600e-01 3.6067409700e-02 3.6014411234e+07 3.0506740065e+06 4.6486536990e-09 1.0761055025e-09
1.7443381800e+01 1.6428269900e-01 3.5797871600e-02 3.6347857722e+07 3.1530702293e+06 4.5197353929e-09 1.0600417248e-09
1.7475212800e+01 1.6112735500e-01 3.5583086200e-02 3.6977335801e+07 3.2150264449e+06 4.3574625242e-09 1.0341895893e-09
1.7507043700e+01 1.5795413300e-01 3.5418989100e-02 3.7849077289e+07 3.2361232289e+06 4.1732624495e-09 1.0015144471e-09
1.7538874700e+01 1.5476384900e-01 3.5301107500e-02 3.8937320663e+07 3.2127530504e+06 3.9746917961e-09 9.6410740190e-10
