# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.9470425900e+00 1.4948906100e+00 3.9075059400e-01 3.4479559995e+08 8.7719809355e+06 4.3355849385e-09 1.1386370313e-09
3.9788735800e+00 1.4790640000e+00 3.8104507100e-01 3.4075720164e+08 9.0024044267e+06 4.3405216174e-09 1.1240946733e-09
4.0107045700e+00 1.4630989400e+00 3.7169568400e-01 3.3613027340e+08 9.1712770847e+06 4.3527734803e-09 1.1121678632e-09
4.0425355500e+00 1.4469812300e+00 3.6268405100e-01 3.3102585446e+08 9.2834650258e+06 4.3712030662e-09 1.1024733659e-09
4.0743665400e+00 1.4307022000e+00 3.5399343900e-01 3.2563827345e+08 9.3517579492e+06 4.3935320774e-09 1.0943735574e-09
4.1061975300e+00 1.4142570500e+00 3.4560471600e-01 3.2011763044e+08 9.3800623879e+06 4.4179292720e-09 1.0873513920e-09
4.1380285200e+00 1.3976372600e+00 3.3749659900e-01 3.1462741566e+08 9.3764878848e+06 4.4421979472e-09 1.0808248975e-09
4.1698595100e+00 1.3808402200e+00 3.2964761100e-01 3.0932066784e+08 9.3429953347e+06 4.4641059056e-09 1.0742109900e-09
4.2016905000e+00 1.3638619600e+00 3.2203527600e-01 3.0430065361e+08 9.2864614675e+06 4.4819554077e-09 1.0670822494e-09
4.2335214900e+00 1.3467002700e+00 3.1463849600e-01 2.9968768050e+08 9.2120179368e+06 4.4936791121e-09 1.0589356348e-09
4.2653524700e+00 1.3293568500e+00 3.0743592000e-01 2.9550945170e+08 9.1299674425e+06 4.4985256558e-09 1.0496016895e-09
4.2971834600e+00 1.3118353700e+00 3.0040981400e-01 2.9183012471e+08 9.0516436646e+06 4.4952020334e-09 1.0387990166e-09
4.3290144500e+00 1.2941364000e+00 2.9354118600e-01 2.8860637336e+08 8.9881792294e+06 4.4840880848e-09 1.0266410917e-09
4.3608454400e+00 1.2762662100e+00 2.8681672600e-01 2.8584031997e+08 8.9504180664e+06 4.4649621514e-09 1.0131092129e-09
4.3926764300e+00 1.2582303700e+00 2.8022399200e-01 2.8344157795e+08 8.9401592121e+06 4.4391171511e-09 9.9851374776e-10
4.4245074200e+00 1.2400359900e+00 2.7375303000e-01 2.8136401564e+08 8.9551061721e+06 4.4072302110e-09 9.8300917744e-10
4.4563384100e+00 1.2216944600e+00 2.6740017600e-01 2.7950439181e+08 8.9813174977e+06 4.3709311760e-09 9.6694878460e-10
4.4881694000e+00 1.2032120300e+00 2.6116349700e-01 2.7779575017e+08 8.9995098199e+06 4.3312830714e-09 9.5054143933e-10
4.5200003800e+00 1.1846014700e+00 2.5504469200e-01 2.7615547966e+08 8.9883115690e+06 4.2896178322e-09 9.3404851204e-10
4.5518313700e+00 1.1658750400e+00 2.4905243600e-01 2.7452737268e+08 8.9217151960e+06 4.2468444171e-09 9.1764272830e-10
4.5836623600e+00 1.1470458800e+00 2.4319748300e-01 2.7287169727e+08 8.7859671527e+06 4.2036088442e-09 9.0147078733e-10
4.6154933500e+00 1.1281258800e+00 2.3749620900e-01 2.7116706848e+08 8.5625170116e+06 4.1602613707e-09 8.8562695139e-10
4.6473243400e+00 1.1091305500e+00 2.3196942100e-01 2.6942102556e+08 8.2539615271e+06 4.1167186105e-09 8.7018033402e-10
4.6791553300e+00 1.0900765000e+00 2.2664194300e-01 2.6765670954e+08 7.8577274453e+06 4.0726664461e-09 8.5516306130e-10
4.7109863200e+00 1.0709765700e+00 2.2154292000e-01 2.6591728539e+08 7.3921832647e+06 4.0274800806e-09 8.4061629728e-10
4.7428173000e+00 1.0518501300e+00 2.1670558000e-01 2.6426397322e+08 6.8712313670e+06 3.9803008983e-09 8.2653946568e-10
4.7746482900e+00 1.0327122100e+00 2.1216531500e-01 2.6275243316e+08 6.3217638327e+06 3.9303621191e-09 8.1299066088e-10
4.8064792800e+00 1.0135789400e+00 2.0796108400e-01 2.6146433889e+08 5.7690187451e+06 3.8765475410e-09 7.9995658257e-10
4.8383102700e+00 9.9446872600e-01 2.0413371900e-01 2.6044438984e+08 5.2396482215e+06 3.8183534175e-09 7.8754545289e-10
4.8701412600e+00 9.7539926400e-01 2.0072184500e-01 2.5977386940e+08 4.7646123048e+06 3.7548013056e-09 7.7574213490e-10
4.9019722500e+00 9.5638666400e-01 1.9776577400e-01 2.5947035041e+08 4.3668608861e+06 3.6859188824e-09 7.6471051263e-10
4.9338032400e+00 9.3744758300e-01 1.9529942800e-01 2.5959900866e+08 4.0830554229e+06 3.6111369911e-09 7.5445286969e-10
4.9656342200e+00 9.1860208100e-01 1.9335651700e-01 2.6014666491e+08 3.9317825785e+06 3.5310930521e-09 7.4517315550e-10
4.9974652100e+00 8.9986387100e-01 1.9196245700e-01 2.6115676416e+08 3.9466680158e+06 3.4456847169e-09 7.3688898291e-10
5.0292962000e+00 8.8125247800e-01 1.9113583100e-01 2.6259278493e+08 4.1214263783e+06 3.3559660760e-09 7.2978252100e-10
5.0611271900e+00 8.6278338200e-01 1.9088618700e-01 2.6448149671e+08 4.4547241606e+06 3.2621691602e-09 7.2382586061e-10
5.0929581800e+00 8.4447124300e-01 1.9121420600e-01 2.6677591011e+08 4.9047695778e+06 3.1654703854e-09 7.1911850676e-10
5.1247891700e+00 8.2633444900e-01 1.9211013400e-01 2.6949590127e+08 5.4393951498e+06 3.0662226962e-09 7.1553131962e-10
5.1566201600e+00 8.0838620400e-01 1.9355597700e-01 2.7259683375e+08 6.0114696920e+06 2.9655010768e-09 7.1305010626e-10
5.1884511400e+00 7.9064300200e-01 1.9552526900e-01 2.7610074392e+08 6.5818931878e+06 2.8636033021e-09 7.1144902366e-10
5.2202821300e+00 7.7311767000e-01 1.9798105700e-01 2.7997040246e+08 7.1154569969e+06 2.7614264337e-09 7.1062404510e-10
5.2521131200e+00 7.5582385500e-01 2.0088436200e-01 2.8423280437e+08 7.5763271875e+06 2.6591717894e-09 7.1030540268e-10
5.2839441100e+00 7.3877476400e-01 2.0418781900e-01 2.8885530985e+08 7.9454623179e+06 2.5575945424e-09 7.1037828173e-10
5.3157751000e+00 7.2198360200e-01 2.0784207300e-01 2.9386447727e+08 8.1953942660e+06 2.4568590553e-09 7.1058296658e-10
5.3476060900e+00 7.0546029100e-01 2.1179668000e-01 2.9922391456e+08 8.3233387691e+06 2.3576333865e-09 7.1085163842e-10
5.3794370800e+00 6.8921841600e-01 2.1599886300e-01 3.0494836032e+08 8.3128507570e+06 2.2601151726e-09 7.1098736655e-10
5.4112680700e+00 6.7326593700e-01 2.2039663400e-01 3.1098847564e+08 8.1744193011e+06 2.1649224642e-09 7.1097808735e-10
5.4430990500e+00 6.5761309300e-01 2.2494011900e-01 3.1733593623e+08 7.9030444592e+06 2.0722931692e-09 7.1071539163e-10
5.4749300400e+00 6.4226898000e-01 2.2958005800e-01 3.2392479135e+08 7.5186596999e+06 1.9827719185e-09 7.1023760385e-10
5.5067610300e+00 6.2724099300e-01 2.3427000400e-01 3.3071660769e+08 7.0278184413e+06 1.8966117166e-09 7.0951647801e-10
