# coord_A   rho_avg_e_per_A3
2.156041611805555647e+01 -1.661895659600144270e+01
2.162864528298611333e+01 -1.840068545365605956e+01
2.169687444791666664e+01 -1.928522746726889991e+01
2.176510361284722350e+01 -1.941533190501311168e+01
2.183333277777777681e+01 -1.890661501239135944e+01
2.190156194270833367e+01 -1.784642065096778296e+01
2.196979110763889054e+01 -1.631115717243149987e+01
2.203802027256944385e+01 -1.438244513515732770e+01
2.210624943750000071e+01 -1.215670306812586787e+01
2.217447860243055757e+01 -9.749833973921251840e+00
2.224270776736111088e+01 -7.299323905701527337e+00
2.231093693229166774e+01 -4.959939707652778473e+00
2.237916609722222461e+01 -2.871645426064097784e+00
2.244739526215277792e+01 -1.171040458369911885e+00
2.251562442708333478e+01 -4.147545392072405496e-02
2.258385359201388809e+01 3.053188501448187431e-01
2.265208275694444495e+01 -2.523106362287438342e-01
2.272031192187500181e+01 -1.588111821082319963e+00
2.278854108680555512e+01 -3.251345439885279465e+00
2.285677025173611199e+01 -4.567382285880110082e+00
2.292499941666666885e+01 -4.903739667121882917e+00
2.299322858159722216e+01 -3.969269854435855560e+00
2.306145774652777902e+01 -1.970430254157781391e+00
2.312968691145833589e+01 4.789562289857777766e-01
2.319791607638888919e+01 2.649363268027689955e+00
2.326614524131944606e+01 4.018956666488265661e+00
2.333437440624999937e+01 4.456863678174204146e+00
2.340260357118055623e+01 4.190134881295145775e+00
2.347083273611111309e+01 3.609799938252303164e+00
2.353906190104166640e+01 3.052999277130528100e+00
2.360729106597222327e+01 2.685774644288128066e+00
2.367552023090278013e+01 2.526651632017467897e+00
2.374374939583333344e+01 2.552660118037257231e+00
2.381197856076389030e+01 2.748552294153052244e+00
2.388020772569444361e+01 3.084899085678570962e+00
2.394843689062500047e+01 3.526810202672752581e+00
2.401666605555555734e+01 4.048133790533580800e+00
2.408489522048611065e+01 4.638589493588360035e+00
2.415312438541666751e+01 5.301551301730642152e+00
2.422135355034722437e+01 6.038399124202247670e+00
2.428958271527777768e+01 6.831268434782477250e+00
2.435781188020833454e+01 7.644770957376509912e+00
2.442604104513889141e+01 8.442393399938790566e+00
2.449427021006944472e+01 9.203470336689308695e+00
2.456249937500000158e+01 9.933387725179938954e+00
2.463072853993055489e+01 1.066133702568399855e+01
2.469895770486111175e+01 1.142455040282446532e+01
2.476718686979166861e+01 1.224456349338148442e+01
2.483541603472222192e+01 1.310580153682421489e+01
2.490364519965277879e+01 1.394680310676360335e+01
2.497187436458333565e+01 1.466927951643977757e+01
2.504010352951388896e+01 1.516280880080750570e+01
2.510833269444444582e+01 1.533641459249904138e+01
2.517656185937500268e+01 1.514518368481464528e+01
2.524479102430555599e+01 1.460246341886611532e+01
2.531302018923611286e+01 1.377319559777452085e+01
2.538124935416666617e+01 1.275062397555060301e+01
2.544947851909722303e+01 1.162523202423825630e+01
2.551770768402777989e+01 1.045860986898769518e+01
2.558593684895833320e+01 9.273535676617886025e+00
2.565416601388889006e+01 8.064177582675629452e+00
2.572239517881944693e+01 6.820020062148019591e+00
