# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
3.065000 31.060055 30.785550 22.623110 28.156238
3.075000 31.199730 30.932732 22.690232 28.274231
3.085000 31.303143 31.044173 22.719238 28.355518
3.095000 31.281340 31.020437 22.749902 28.350560
3.105000 31.121714 30.847287 22.774090 28.247697
3.115000 30.945093 30.659861 22.780985 28.128646
3.125000 30.846177 30.559097 22.817132 28.074135
3.135000 30.799052 30.506889 22.912051 28.072664
3.145000 30.774055 30.473556 22.992587 28.080066
3.155000 30.845943 30.545183 22.984970 28.125365
3.165000 31.074311 30.786483 22.951740 28.270845
3.175000 31.374793 31.102972 23.000917 28.492894
3.185000 31.629003 31.365221 23.115954 28.703393
3.195000 31.829020 31.574180 23.189427 28.864209
3.205000 32.015239 31.775830 23.188666 28.993245
3.215000 32.138303 31.909921 23.178913 29.075712
3.225000 32.109456 31.877310 23.209662 29.065476
3.235000 31.960264 31.716913 23.273630 28.983603
3.245000 31.814431 31.566576 23.346247 28.909085
3.255000 31.719377 31.468125 23.401526 28.863009
3.265000 31.632511 31.371651 23.414622 28.806261
3.275000 31.573935 31.304318 23.400062 28.759438
3.285000 31.644975 31.378649 23.423327 28.815650
3.295000 31.867618 31.615147 23.510206 28.997657
3.305000 32.136513 31.892986 23.593202 29.207567
3.315000 32.369347 32.131066 23.610365 29.370259
3.325000 32.593862 32.365768 23.595825 29.518485
3.335000 32.818514 32.603831 23.614759 29.679034
3.345000 32.949052 32.741304 23.674416 29.788257
3.355000 32.918164 32.703444 23.742434 29.788014
3.365000 32.793880 32.570709 23.796758 29.720449
3.375000 32.676166 32.451875 23.823849 29.650630
3.385000 32.568180 32.338783 23.819038 29.575334
3.395000 32.440951 32.198827 23.821748 29.487175
3.405000 32.360127 32.110510 23.888778 29.453138
3.415000 32.427575 32.185678 23.995083 29.536112
3.425000 32.628090 32.400519 24.042249 29.690286
3.435000 32.856999 32.637206 24.009886 29.834697
3.445000 33.078334 32.865346 23.998530 29.980737
3.455000 33.328693 33.131818 24.074849 30.178453
3.465000 33.575578 33.396983 24.173439 30.382000
3.475000 33.707449 33.533743 24.209965 30.483719
3.485000 33.684772 33.505978 24.205724 30.465491
3.495000 33.593225 33.412738 24.224216 30.410060
3.505000 33.498463 33.320171 24.262137 30.360257
3.515000 33.373576 33.188982 24.299429 30.287329
3.525000 33.217497 33.017128 24.357454 30.197360
3.535000 33.129370 32.922674 24.429669 30.160571
3.545000 33.193965 32.994896 24.454688 30.214516
3.555000 33.364738 33.173327 24.422501 30.320189
3.565000 33.557824 33.367884 24.428488 30.451398
3.575000 33.779396 33.595068 24.528533 30.634332
3.585000 34.054874 33.888917 24.628536 30.857442
3.595000 34.311940 34.162831 24.628820 31.034530
3.605000 34.441579 34.293936 24.584845 31.106786
3.615000 34.438471 34.287920 24.610034 31.112141
3.625000 34.382809 34.237331 24.699620 31.106587
3.635000 34.300791 34.159893 24.764239 31.074974
3.645000 34.157190 34.007691 24.780832 30.981905
3.655000 33.984189 33.821353 24.795562 30.867035
3.665000 33.897542 33.733664 24.821499 30.817568
3.675000 33.950632 33.795201 24.842728 30.862854
3.685000 34.082599 33.931812 24.883977 30.966129
3.695000 34.248440 34.097997 24.963403 31.103280
3.705000 34.479638 34.338261 25.022490 31.280129
3.715000 34.774868 34.653113 25.011993 31.479991
3.725000 35.034496 34.926510 24.990508 31.650505
3.735000 35.169830 35.061954 25.044519 31.758768
3.745000 35.201811 35.094588 25.150129 31.815509
3.755000 35.188232 35.088697 25.207778 31.828236
3.765000 35.115385 35.017072 25.195243 31.775900
3.775000 34.956286 34.845643 25.186683 31.662871
3.785000 34.781548 34.657582 25.228281 31.555804
3.795000 34.698570 34.573913 25.293204 31.521896
3.805000 34.725217 34.606547 25.348741 31.560169
3.815000 34.812712 34.692915 25.385798 31.630475
3.825000 34.954093 34.833363 25.396713 31.728056
3.835000 35.186859 35.080241 25.392212 31.886438
