# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
2.2027044124e+00 1.7631059637e+01 1.7791044887e+00
2.2154368078e+00 1.7987313639e+01 1.7827458128e+00
2.2281692033e+00 1.8333090938e+01 1.7815891724e+00
2.2409015987e+00 1.8667608390e+01 1.7754558279e+00
2.2536339942e+00 1.8990297426e+01 1.7642409602e+00
2.2663663896e+00 1.9300643269e+01 1.7478419390e+00
2.2790987851e+00 1.9598335150e+01 1.7262309365e+00
2.2918311805e+00 1.9883251477e+01 1.6994379194e+00
2.3045635760e+00 2.0155325803e+01 1.6674993848e+00
2.3172959714e+00 2.0414769836e+01 1.6305505420e+00
2.3300283669e+00 2.0661905208e+01 1.5887722560e+00
2.3427607623e+00 2.0897196222e+01 1.5423997229e+00
2.3554931578e+00 2.1121331968e+01 1.4917451612e+00
2.3682255532e+00 2.1335107123e+01 1.4372019499e+00
2.3809579487e+00 2.1539471353e+01 1.3792485541e+00
2.3936903441e+00 2.1735552416e+01 1.3184933185e+00
2.4064227395e+00 2.1924609314e+01 1.2556115403e+00
2.4191551350e+00 2.2107950105e+01 1.1914693827e+00
2.4318875304e+00 2.2287085228e+01 1.1271576187e+00
2.4446199259e+00 2.2463623022e+01 1.0638785339e+00
2.4573523213e+00 2.2639181920e+01 1.0032005668e+00
2.4700847168e+00 2.2815498057e+01 9.4698223364e-01
2.4828171122e+00 2.2994337134e+01 8.9731786805e-01
2.4955495077e+00 2.3177466954e+01 8.5665730881e-01
2.5082819031e+00 2.3366792951e+01 8.2745843648e-01
2.5210142986e+00 2.3564068886e+01 8.1199413976e-01
2.5337466940e+00 2.3771039429e+01 8.1189081700e-01
2.5464790895e+00 2.3989514078e+01 8.2783842964e-01
2.5592114849e+00 2.4221094534e+01 8.5941952522e-01
2.5719438804e+00 2.4467439552e+01 9.0533787067e-01
2.5846762758e+00 2.4729966834e+01 9.6364250869e-01
2.5974086713e+00 2.5010110397e+01 1.0322877319e+00
2.6101410667e+00 2.5309004353e+01 1.1092143624e+00
2.6228734622e+00 2.5627770526e+01 1.1926322546e+00
2.6356058576e+00 2.5967396452e+01 1.2809500519e+00
2.6483382530e+00 2.6328498214e+01 1.3728748289e+00
2.6610706485e+00 2.6711675611e+01 1.4673244574e+00
2.6738030439e+00 2.7117264632e+01 1.5633815269e+00
2.6865354394e+00 2.7545420132e+01 1.6602574775e+00
2.6992678348e+00 2.7996113256e+01 1.7573307091e+00
2.7120002303e+00 2.8469011109e+01 1.8539909344e+00
2.7247326257e+00 2.8963678004e+01 1.9497560594e+00
2.7374650212e+00 2.9479472571e+01 2.0441783722e+00
2.7501974166e+00 3.0015415770e+01 2.1368629832e+00
2.7629298121e+00 3.0570503547e+01 2.2274368966e+00
2.7756622075e+00 3.1143347913e+01 2.3155820347e+00
2.7883946030e+00 3.1732681674e+01 2.4010121317e+00
2.8011269984e+00 3.2336660426e+01 2.4834296252e+00
2.8138593939e+00 3.2953717316e+01 2.5625855218e+00
2.8265917893e+00 3.3581833606e+01 2.6382769746e+00
2.8393241848e+00 3.4219042745e+01 2.7103162596e+00
2.8520565802e+00 3.4863213058e+01 2.7785312561e+00
2.8647889757e+00 3.5512089825e+01 2.8428067939e+00
2.8775213711e+00 3.6163522262e+01 2.9030094800e+00
2.8902537665e+00 3.6815172211e+01 2.9591004633e+00
2.9029861620e+00 3.7464724063e+01 3.0110361586e+00
2.9157185574e+00 3.8109933907e+01 3.0588104789e+00
2.9284509529e+00 3.8748487441e+01 3.1024609142e+00
2.9411833483e+00 3.9378181601e+01 3.1420498085e+00
2.9539157438e+00 3.9996904662e+01 3.1776746349e+00
2.9666481392e+00 4.0602609037e+01 3.2094662442e+00
2.9793805347e+00 4.1193357781e+01 3.2375978532e+00
2.9921129301e+00 4.1767281353e+01 3.2622419376e+00
