# freq_w_over_2pi_THz  G_native_run01_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run02_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run03_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run04_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run05_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run06_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run07_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_run08_eV_ps^-1_THz^-1_A^-2_K^-1
5.3476060879e-01 5.6076460005e-08 -7.2920518500e-08 4.5414921631e-08 6.7502154347e-09 6.0408134728e-08 1.0586398651e-07 8.0449851433e-08 7.6576454028e-08
5.4749300424e-01 6.3180664929e-08 -7.0054111394e-08 4.7090439315e-08 6.8401049152e-09 6.2822456824e-08 1.1474611504e-07 8.2755831205e-08 7.8482945581e-08
5.6022539968e-01 7.0537486704e-08 -6.6479286542e-08 4.8882561971e-08 7.2413937073e-09 6.5417860087e-08 1.2386568632e-07 8.4906108478e-08 8.0312144261e-08
5.7295779513e-01 7.8126652025e-08 -6.2182670040e-08 5.0803631363e-08 7.9742550276e-09 6.8208640395e-08 1.3318055808e-07 8.6887239249e-08 8.2071670492e-08
5.8569019058e-01 8.5925163419e-08 -5.7156976104e-08 5.2865495581e-08 9.0554010019e-09 7.1208813320e-08 1.4264839777e-07 8.8683109789e-08 8.3771420929e-08
5.9842258603e-01 9.3908246788e-08 -5.1401805513e-08 5.5078521708e-08 1.0497786000e-08 7.4431740372e-08 1.5222278228e-07 9.0281801658e-08 8.5423172591e-08
6.1115498147e-01 1.0204935140e-07 -4.4923346193e-08 5.7452484418e-08 1.2310112193e-08 7.7890222438e-08 1.6185614697e-07 9.1670442940e-08 8.7040582861e-08
6.2388737692e-01 1.1032014991e-07 -3.7734972048e-08 5.9995381174e-08 1.4496434002e-08 8.1596312908e-08 1.7149617071e-07 9.2841215139e-08 8.8639288454e-08
6.3661977237e-01 1.1869172274e-07 -2.9856544327e-08 6.2714617033e-08 1.7055960322e-08 8.5560757052e-08 1.8109566936e-07 9.3785155587e-08 9.0236410583e-08
6.4935216781e-01 1.2713406461e-07 -2.1314571305e-08 6.5615523637e-08 1.9983351182e-08 8.9793365770e-08 1.9060060948e-07 9.4497306215e-08 9.1850950823e-08
6.6208456326e-01 1.3561726894e-07 -1.2142238234e-08 6.8702445286e-08 2.3268124422e-08 9.4302828716e-08 1.9996237998e-07 9.4973567077e-08 9.3502900418e-08
6.7481695871e-01 1.4411054084e-07 -2.3789182878e-09 7.1978245269e-08 2.6894754574e-08 9.9095779925e-08 2.0913008670e-07 9.5214796303e-08 9.5213834075e-08
6.8754935416e-01 1.5258515813e-07 7.9306358538e-09 7.5444602066e-08 3.0842969535e-08 1.0417763875e-07 2.1805635523e-07 9.5222614800e-08 9.7005920300e-08
7.0028174960e-01 1.6101338567e-07 1.8735932709e-08 7.9101535424e-08 3.5087552783e-08 1.0955223612e-07 2.2669371604e-07 9.5001599248e-08 9.8902416232e-08
7.1301414505e-01 1.6936650130e-07 2.9982035969e-08 8.2948255469e-08 3.9598936712e-08 1.1522134733e-07 2.3499993173e-07 9.4560140230e-08 1.0092657901e-07
7.2574654050e-01 1.7762160626e-07 4.1609771593e-08 8.6982422204e-08 4.4343103740e-08 1.2118487895e-07 2.4293438207e-07 9.3909584101e-08 1.0310196267e-07
7.3847893595e-01 1.8575629527e-07 5.3556461379e-08 9.1201241454e-08 4.9282179641e-08 1.2744068192e-07 2.5046215461e-07 9.3061563258e-08 1.0545202228e-07
7.5121133139e-01 1.9375033452e-07 6.5756596645e-08 9.5599391450e-08 5.4375026876e-08 1.3398427127e-07 2.5755042974e-07 9.2033335601e-08 1.0799971809e-07
7.6394372684e-01 2.0158753693e-07 7.8142728996e-08 1.0017396941e-07 5.9576750148e-08 1.4081041450e-07 2.6417504462e-07 9.0844733416e-08 1.1076702067e-07
7.7667612229e-01 2.0925635444e-07 9.0646232334e-08 1.0491786648e-07 6.4842256386e-08 1.4790986136e-07 2.7031183640e-07 8.9516351767e-08 1.1377520781e-07
7.8940851774e-01 2.1674622596e-07 1.0319794161e-07 1.0982625456e-07 7.0121409210e-08 1.5527280093e-07 2.7594919929e-07 8.8073267051e-08 1.1704338008e-07
8.0214091318e-01 2.2405498006e-07 1.1572889140e-07 1.1489259745e-07 7.5365357794e-08 1.6288540452e-07 2.8107476651e-07 8.6540078929e-08 1.2058935144e-07
8.1487330863e-01 2.3118064271e-07 1.2817151353e-07 1.2010976656e-07 8.0522976877e-08 1.7073384344e-07 2.8568853803e-07 8.4946440479e-08 1.2442895655e-07
8.2760570408e-01 2.3812785288e-07 1.4045983672e-07 1.2547198593e-07 8.5546503402e-08 1.7880185962e-07 2.8979241646e-07 8.3319716439e-08 1.2857516002e-07
8.4033809953e-01 2.4490628333e-07 1.5253108347e-07 1.3097385482e-07 9.0385800991e-08 1.8706955095e-07 2.9339781730e-07 8.1692801704e-08 1.3303865023e-07
8.5307049497e-01 2.5152866657e-07 1.6432407316e-07 1.3660827423e-07 9.4993502140e-08 1.9551664159e-07 2.9652186383e-07 8.0097160956e-08 1.3782704762e-07
8.6580289042e-01 2.5801276888e-07 1.7578401268e-07 1.4237131456e-07 9.9326095991e-08 2.0412154754e-07 2.9918643580e-07 7.8564068181e-08 1.4294460775e-07
