# freq_w_over_2pi_THz  cumulative_G_paper_MW_m^-2_K^-1
3.0939720937e+00 3.6513699507e+01
3.1067044892e+00 3.7091045058e+01
3.1194368846e+00 3.7672999225e+01
3.1321692800e+00 3.8259294201e+01
3.1449016755e+00 3.8849666300e+01
3.1576340709e+00 3.9443857997e+01
3.1703664664e+00 4.0041619952e+01
3.1830988618e+00 4.0642712973e+01
3.1958312573e+00 4.1246909777e+01
3.2085636527e+00 4.1853996654e+01
3.2212960482e+00 4.2463774995e+01
3.2340284436e+00 4.3076062584e+01
3.2467608391e+00 4.3690694780e+01
3.2594932345e+00 4.4307525531e+01
3.2722256300e+00 4.4926428168e+01
3.2849580254e+00 4.5547296001e+01
3.2976904209e+00 4.6170042724e+01
3.3104228163e+00 4.6794602630e+01
3.3231552118e+00 4.7420930657e+01
3.3358876072e+00 4.8049002219e+01
3.3486200027e+00 4.8678812860e+01
3.3613523981e+00 4.9310377729e+01
3.3740847935e+00 4.9943730919e+01
3.3868171890e+00 5.0578924659e+01
3.3995495844e+00 5.1216028337e+01
3.4122819799e+00 5.1855127400e+01
3.4250143753e+00 5.2496322192e+01
3.4377467708e+00 5.3139726653e+01
3.4504791662e+00 5.3785466937e+01
3.4632115617e+00 5.4433680043e+01
3.4759439571e+00 5.5084512313e+01
3.4886763526e+00 5.5738117975e+01
3.5014087480e+00 5.6394657689e+01
3.5141411435e+00 5.7054297049e+01
3.5268735389e+00 5.7717205136e+01
3.5396059344e+00 5.8383553114e+01
3.5523383298e+00 5.9053512880e+01
3.5650707253e+00 5.9727255833e+01
3.5778031207e+00 6.0404951667e+01
3.5905355162e+00 6.1086767280e+01
3.6032679116e+00 6.1772865831e+01
3.6160003070e+00 6.2463405822e+01
3.6287327025e+00 6.3158540362e+01
3.6414650979e+00 6.3858416591e+01
3.6541974934e+00 6.4563175176e+01
3.6669298888e+00 6.5272949955e+01
3.6796622843e+00 6.5987867736e+01
3.6923946797e+00 6.6708048210e+01
3.7051270752e+00 6.7433604020e+01
3.7178594706e+00 6.8164640936e+01
3.7305918661e+00 6.8901258165e+01
3.7433242615e+00 6.9643548816e+01
3.7560566570e+00 7.0391600390e+01
3.7687890524e+00 7.1145495441e+01
3.7815214479e+00 7.1905312340e+01
3.7942538433e+00 7.2671126053e+01
3.8069862388e+00 7.3443009086e+01
3.8197186342e+00 7.4221032457e+01
3.8324510297e+00 7.5005266669e+01
3.8451834251e+00 7.5795782784e+01
3.8579158205e+00 7.6592653476e+01
3.8706482160e+00 7.7395954092e+01
3.8833806114e+00 7.8205763782e+01
3.8961130069e+00 7.9022166557e+01
3.9088454023e+00 7.9845252297e+01
3.9215777978e+00 8.0675117783e+01
3.9343101932e+00 8.1511867631e+01
3.9470425887e+00 8.2355615168e+01
3.9597749841e+00 8.3206483249e+01
3.9725073796e+00 8.4064604953e+01
3.9852397750e+00 8.4930124256e+01
3.9979721705e+00 8.5803196514e+01
4.0107045659e+00 8.6683988822e+01
4.0234369614e+00 8.7572680344e+01
4.0361693568e+00 8.8469462481e+01
4.0489017523e+00 8.9374538864e+01
4.0616341477e+00 9.0288125248e+01
4.0743665432e+00 9.1210449258e+01
4.0870989386e+00 9.2141749958e+01
4.0998313340e+00 9.3082277294e+01
4.1125637295e+00 9.4032291444e+01
4.1252961249e+00 9.4992061993e+01
4.1380285204e+00 9.5961866952e+01
4.1507609158e+00 9.6941991664e+01
4.1634933113e+00 9.7932727572e+01
4.1762257067e+00 9.8934370892e+01
4.1889581022e+00 9.9947221118e+01
4.2016904976e+00 1.0097157949e+02
4.2144228931e+00 1.0200774732e+02
4.2271552885e+00 1.0305602427e+02
4.2398876840e+00 1.0411670656e+02
4.2526200794e+00 1.0519008505e+02
4.2653524749e+00 1.0627644340e+02
4.2780848703e+00 1.0737605611e+02
4.2908172658e+00 1.0848918665e+02
4.3035496612e+00 1.0961608541e+02
4.3162820567e+00 1.1075698788e+02
4.3290144521e+00 1.1191211272e+02
4.3417468475e+00 1.1308165994e+02
4.3544792430e+00 1.1426580922e+02
4.3672116384e+00 1.1546471820e+02
4.3799440339e+00 1.1667852094e+02
4.3926764293e+00 1.1790732642e+02
4.4054088248e+00 1.1915121733e+02
4.4181412202e+00 1.2041024881e+02
4.4308736157e+00 1.2168444748e+02
4.4436060111e+00 1.2297381064e+02
4.4563384066e+00 1.2427830555e+02
4.4690708020e+00 1.2559786900e+02
4.4818031975e+00 1.2693240699e+02
4.4945355929e+00 1.2828179473e+02
4.5072679884e+00 1.2964587671e+02
4.5200003838e+00 1.3102446698e+02
4.5327327793e+00 1.3241734976e+02
4.5454651747e+00 1.3382428015e+02
4.5581975702e+00 1.3524498503e+02
4.5709299656e+00 1.3667916420e+02
4.5836623610e+00 1.3812649167e+02
4.5963947565e+00 1.3958661718e+02
4.6091271519e+00 1.4105916781e+02
4.6218595474e+00 1.4254374972e+02
4.6345919428e+00 1.4403995013e+02
4.6473243383e+00 1.4554733938e+02
4.6600567337e+00 1.4706547298e+02
4.6727891292e+00 1.4859389391e+02
4.6855215246e+00 1.5013213491e+02
4.6982539201e+00 1.5167972074e+02
4.7109863155e+00 1.5323617065e+02
4.7237187110e+00 1.5480100066e+02
4.7364511064e+00 1.5637372602e+02
4.7491835019e+00 1.5795386348e+02
4.7619158973e+00 1.5954093350e+02
4.7746482928e+00 1.6113446257e+02
4.7873806882e+00 1.6273398533e+02
4.8001130837e+00 1.6433904657e+02
4.8128454791e+00 1.6594920311e+02
4.8255778745e+00 1.6756402563e+02
4.8383102700e+00 1.6918310027e+02
4.8510426654e+00 1.7080603019e+02
4.8637750609e+00 1.7243243689e+02
4.8765074563e+00 1.7406196133e+02
4.8892398518e+00 1.7569426509e+02
4.9019722472e+00 1.7732903109e+02
4.9147046427e+00 1.7896596435e+02
4.9274370381e+00 1.8060479250e+02
4.9401694336e+00 1.8224526614e+02
4.9529018290e+00 1.8388715910e+02
4.9656342245e+00 1.8553026849e+02
4.9783666199e+00 1.8717441468e+02
4.9910990154e+00 1.8881944105e+02
