# freq_w_over_2pi_THz  cumulative_G_native_eV_ps^-1_A^-2_K^-1
3.4632115617e+00 3.3974830794e-06
3.4759439571e+00 3.4381048346e-06
3.4886763526e+00 3.4788996913e-06
3.5014087480e+00 3.5198776772e-06
3.5141411435e+00 3.5610491277e-06
3.5268735389e+00 3.6024245961e-06
3.5396059344e+00 3.6440147656e-06
3.5523383298e+00 3.6858303652e-06
3.5650707253e+00 3.7278820928e-06
3.5778031207e+00 3.7701805397e-06
3.5905355162e+00 3.8127361231e-06
3.6032679116e+00 3.8555590264e-06
3.6160003070e+00 3.8986591426e-06
3.6287327025e+00 3.9420460280e-06
3.6414650979e+00 3.9857288663e-06
3.6541974934e+00 4.0297164374e-06
3.6669298888e+00 4.0740170946e-06
3.6796622843e+00 4.1186387528e-06
3.6923946797e+00 4.1635888824e-06
3.7051270752e+00 4.2088745141e-06
3.7178594706e+00 4.2545022496e-06
3.7305918661e+00 4.3004782808e-06
3.7433242615e+00 4.3468084191e-06
3.7560566570e+00 4.3934981260e-06
3.7687890524e+00 4.4405525540e-06
3.7815214479e+00 4.4879765947e-06
3.7942538433e+00 4.5357749271e-06
3.8069862388e+00 4.5839520767e-06
3.8197186342e+00 4.6325124759e-06
3.8324510297e+00 4.6814605254e-06
3.8451834251e+00 4.7308006605e-06
3.8579158205e+00 4.7805374171e-06
3.8706482160e+00 4.8306754979e-06
3.8833806114e+00 4.8812198432e-06
3.8961130069e+00 4.9321756965e-06
3.9088454023e+00 4.9835486677e-06
3.9215777978e+00 5.0353447973e-06
3.9343101932e+00 5.0875706149e-06
3.9470425887e+00 5.1402331940e-06
3.9597749841e+00 5.1933402025e-06
3.9725073796e+00 5.2468999465e-06
3.9852397750e+00 5.3009214124e-06
3.9979721705e+00 5.3554142966e-06
4.0107045659e+00 5.4103890285e-06
4.0234369614e+00 5.4658567904e-06
4.0361693568e+00 5.5218295289e-06
4.0489017523e+00 5.5783199535e-06
4.0616341477e+00 5.6353415305e-06
4.0743665432e+00 5.6929084673e-06
4.0870989386e+00 5.7510356850e-06
4.0998313340e+00 5.8097387840e-06
4.1125637295e+00 5.8690340034e-06
4.1252961249e+00 5.9289381693e-06
4.1380285204e+00 5.9894686338e-06
4.1507609158e+00 6.0506432067e-06
4.1634933113e+00 6.1124800783e-06
4.1762257067e+00 6.1749977370e-06
4.1889581022e+00 6.2382148758e-06
4.2016904976e+00 6.3021502965e-06
4.2144228931e+00 6.3668228057e-06
4.2271552885e+00 6.4322511064e-06
4.2398876840e+00 6.4984536877e-06
4.2526200794e+00 6.5654487040e-06
4.2653524749e+00 6.6332538585e-06
4.2780848703e+00 6.7018862859e-06
4.2908172658e+00 6.7713624295e-06
4.3035496612e+00 6.8416979181e-06
4.3162820567e+00 6.9129074490e-06
4.3290144521e+00 6.9850046706e-06
4.3417468475e+00 7.0580020667e-06
4.3544792430e+00 7.1319108513e-06
4.3672116384e+00 7.2067408645e-06
4.3799440339e+00 7.2825004721e-06
4.3926764293e+00 7.3591964781e-06
4.4054088248e+00 7.4368340421e-06
4.4181412202e+00 7.5154166058e-06
4.4308736157e+00 7.5949458318e-06
4.4436060111e+00 7.6754215503e-06
4.4563384066e+00 7.7568417188e-06
4.4690708020e+00 7.8392023909e-06
4.4818031975e+00 7.9224977004e-06
4.4945355929e+00 8.0067198588e-06
4.5072679884e+00 8.0918591592e-06
4.5200003838e+00 8.1779039960e-06
4.5327327793e+00 8.2648409015e-06
4.5454651747e+00 8.3526545897e-06
4.5581975702e+00 8.4413280137e-06
4.5709299656e+00 8.5308424367e-06
4.5836623610e+00 8.6211775121e-06
