# omega_THz  Jin_native  Jout_native  Jsum_native  G_like_native  G_like_per_A2_native  G_like_per_A2_smoothed  cumulative_integral_native
4.710986315520102052e-01 1.335240000000000038e-02 -7.028010000000000333e-03 6.324390000000000046e-03 4.923493117392376125e-04 3.848610279324882878e-07 6.295808606791845805e-07 1.895003187055454223e-07
4.838310269993618684e-01 1.159130000000000056e-02 -7.537340000000000012e-03 4.053960000000000549e-03 3.155979336850510213e-04 2.466975017032773672e-07 6.445368823651563189e-07 1.976116041810093021e-07
4.965634224467134761e-01 9.082530000000000117e-03 -8.065819999999999587e-03 1.016710000000000530e-03 7.915015815571153543e-05 6.187032357416926843e-08 6.532949801289926967e-07 2.058738584297334792e-07
5.092958178940650837e-01 6.063200000000000360e-03 -8.613890000000000782e-03 -2.550690000000000422e-03 -1.985694218667976012e-04 -1.552183175511185650e-07 6.565241841644598530e-07 2.142124262118853938e-07
5.220282133414166914e-01 2.870450000000000085e-03 -9.106589999999999477e-03 -6.236139999999999392e-03 -4.854791113308206795e-04 -3.794907098915321902e-07 6.562859880480812568e-07 2.225700353418433153e-07
5.347606087887682991e-01 -1.416079999999999900e-04 -9.419910000000000089e-03 -9.561517999999999753e-03 -7.443574489369459563e-04 -5.818514743832985409e-07 6.554486082573560743e-07 2.309207971429097959e-07
5.474930042361200178e-01 -2.681450000000000153e-03 -9.420790000000000067e-03 -1.210224000000000022e-02 -9.421508690171021992e-04 -7.364632046230035264e-07 6.568540822308380706e-07 2.392751755438694558e-07
5.602253996834716254e-01 -4.570379999999999755e-03 -9.002220000000000014e-03 -1.357260000000000064e-02 -1.056617360490415226e-03 -8.259397013334869532e-07 6.625145989854424962e-07 2.476745374389176905e-07
5.729577951308232331e-01 -5.750129999999999998e-03 -8.101090000000000027e-03 -1.385122000000000089e-02 -1.078307731456909285e-03 -8.428946929773528036e-07 6.731146695947205923e-07 2.561774174482275040e-07
5.856901905781748408e-01 -6.250859999999999576e-03 -6.697729999999999830e-03 -1.294858999999999941e-02 -1.008038621035953512e-03 -7.879665323732942497e-07 6.879967754119278660e-07 2.648425220310979389e-07
5.984225860255264484e-01 -6.137160000000000011e-03 -4.804860000000000207e-03 -1.094202000000000022e-02 -8.518285583332103981e-04 -6.658598006855752563e-07 7.056360250753437836e-07 2.737146639931999252e-07
6.111549814728780561e-01 -5.456439999999999901e-03 -2.457809999999999943e-03 -7.914249999999999410e-03 -6.161187941338628618e-04 -4.816095133783171706e-07 7.244351658290628036e-07 2.828187799534299256e-07
6.238873769202297748e-01 -4.211999999999999598e-03 2.864489999999999810e-04 -3.925550999999999346e-03 -3.056013833819982029e-04 -2.388833694730095857e-07 7.435513470958551984e-07 2.921642723503994006e-07
6.366197723675813824e-01 -2.372029999999999798e-03 3.341799999999999805e-03 9.697700000000000070e-04 7.549591218210142745e-05 5.901386205754059974e-08 7.634536225424400916e-07 3.017581639576788265e-07
6.493521678149329901e-01 8.967559999999999908e-05 6.585030000000000397e-03 6.674705600000000599e-03 5.196211347216151072e-04 4.061789450623279527e-07 7.860043551416697470e-07 3.116223198081427284e-07
6.620845632622845978e-01 3.138719999999999791e-03 9.857750000000000193e-03 1.299646999999999955e-02 1.011766045348191445e-03 7.908801961444100862e-07 8.086511988556170799e-07 3.217742123660472284e-07
6.748169587096363164e-01 6.636170000000000263e-03 1.298400000000000075e-02 1.962016999999999928e-02 1.527416429996701196e-03 1.193955273854105868e-06 8.404345047481333228e-07 3.322726180184758177e-07
6.875493541569879241e-01 1.032869999999999969e-02 1.580099999999999907e-02 2.612969999999999876e-02 2.034178760473777901e-03 1.590082711782091033e-06 8.839325107400502515e-07 3.432502793872583410e-07
