# t(ps)   kx_avg(W/mK)   ky_avg(W/mK)   kz_avg(W/mK)   kiso_avg(W/mK)
# Averaged over 10 runs
2.165000 2.169571 5.763810 5.894080 4.609154
2.175000 2.193790 6.080472 5.967221 4.747161
2.185000 2.200477 6.615029 5.618970 4.811492
2.195000 2.213743 6.502200 4.910205 4.542049
2.205000 2.271887 5.615925 4.001079 3.962964
2.215000 2.367242 4.737900 3.066645 3.390596
2.225000 2.434587 4.666586 2.227023 3.109399
2.235000 2.409657 5.315228 1.554159 3.093015
2.245000 2.292316 5.853647 1.123991 3.089985
2.255000 2.143233 5.706325 1.027307 2.958955
2.265000 2.021774 5.211570 1.313030 2.848791
2.275000 1.941958 5.173407 1.934772 3.016712
2.285000 1.897288 5.866558 2.771337 3.511728
2.295000 1.909218 6.696151 3.697318 4.100896
2.305000 2.022327 6.915703 4.616067 4.518032
2.315000 2.244703 6.528734 5.422674 4.732037
2.325000 2.507143 6.280747 5.969474 4.919121
2.335000 2.700639 6.747253 6.113203 5.187032
2.345000 2.759153 7.610695 5.812447 5.394098
2.355000 2.696740 8.000420 5.163936 5.287032
2.365000 2.565646 7.504736 4.329711 4.800031
2.375000 2.395303 6.656484 3.436683 4.162823
2.385000 2.187795 6.316549 2.559959 3.688101
2.395000 1.968347 6.685128 1.790445 3.481307
2.405000 1.811729 7.101345 1.275235 3.396103
2.415000 1.794644 6.852955 1.154446 3.267348
2.425000 1.924376 6.025752 1.456340 3.135489
2.435000 2.128681 5.389948 2.075047 3.197892
2.445000 2.321564 5.479118 2.858658 3.553113
2.455000 2.469636 5.972891 3.702177 4.048235
2.465000 2.586199 6.116343 4.544941 4.415828
2.475000 2.675175 5.659198 5.301067 4.545147
2.485000 2.704334 5.175083 5.833072 4.570830
2.495000 2.641570 5.372996 6.015523 4.676696
2.505000 2.505674 6.227904 5.817418 4.850332
2.515000 2.362002 6.977481 5.310743 4.883409
2.525000 2.263294 6.999551 4.605674 4.622839
2.535000 2.207271 6.531985 3.795522 4.178259
2.545000 2.160619 6.381074 2.965901 3.835865
2.555000 2.115582 6.963103 2.230605 3.769763
2.565000 2.106365 7.809329 1.723206 3.879633
2.575000 2.166191 8.114167 1.537981 3.939446
2.585000 2.282246 7.670587 1.685286 3.879373
